node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00010010001101000010011000000001110000101110101000100000100111000110010100010000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,5,0,1,0.461
0,10001000101011100001000101000100010100110000000110000010010001000010110001010000,01000100011000111101100010100111001010000111101000011001000011010100100000100000,8,1,0,0.737
0,10001000101011100011000100000100010101100100001010000010010001000010010001101000,01000100011100011101100000101011101011000101000010001001001111010000100001011000,7,1,0,1.049
0,00000010001001001010011001000001110000101110111000100000100101000110010100010000,,7,2,0,22.172
0,00011110001101000010011101000001010000001110100000110000010101000111010100010000,,6,3,0,19.847
0,10001000001011100011100100001100010001110100001010000000010001000000010000001000,00000100111101011101110000110111100010000101000010001000000110101000100001001000,9,0,0,0.073
0,10010010001101000010011001000000010000001110111000100000100111000011010100010000,01000101001100001111100000111111101110000001000000011001001011010100101011001000,7,2,0,2.329
0,00010010001101000010011001000000010000101100100000110000100111000111010000010001,00011100011100011101110000100111001010000101000010011001000011010000100001000010,6,0,0,23.164
0,00011010001001001010010001000001000000101110001000110000100111000011010100010001,01000100011111111101110000100111101010100110000010010001000011010010100001101000,6,1,0,9.14
0,00010010001101000010011000000001110000000110101000100000000011000011010100010000,01010100001100001101100000000101101010000111000010011010000011011000100001001010,9,0,0,11.533
0,00001000101001100011100000001100000111110100001000000010011000000010110001010000,01000100001100011001110010001111111010000001000010111001000011110010000010101000,8,1,0,6.807
0,00011110001101000010011001000001110000101111100010000010100111000111010000010001,00000100011100011101010010100111111010100111000110011001010011110001100001101000,4,4,0,0.031
0,10001000101011100001100100000100010111100100001110000011011001000010010001101000,,5,3,0,24.738
0,10001000101011100011100100001100010101110100000010000010000001000010000001100000,01000100011100011111010000100111111010000100100010000001010010010000100110011000,8,1,0,4.563
0,10001000101011000010100100001100011100110100001000000010111001000010010001001000,,7,2,0,28.611
0,10001000001011000011100100000100010100110100001000000010011000000010010001001000,00000100011110001101100001110111001010000101000010010001001010010010001001001000,9,0,0,9.074
1,00000110011100000100101100010000001011100001110100000100000001110000010101010010,10011000101110000011001000110101010100000010111000000100100011010011100100101011,9,0,0,14.801
1,00000110011100001100101100010000100001100011110100000100000010111000010000110011,,7,0,0,21.194
1,11001110001100001111000000100000001110000111010100001100111000100000111001100000,00011100111111000011010100000100011100000010101110011100110011001101100001011000,7,2,0,0.614
1,00001110001100001100101100010000101001100000110100000110000011111100010001110011,00011100111111110001000110001100001101010010100110101100010011101011000010111000,6,2,0,0.957
1,00001110001100001000011100010000100011100011110100000100000010111100010101110000,01011100001011110011010100000000111101000000011110011100011011100010000011111000,7,1,0,15.775
1,10000110011100001100011100010000100011000001110100000100000010111100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,1,1,9.834
1,11000100101000010111000000100000101110000010010100001000111000110000111011100000,,8,1,0,20.907
1,00000010011100001100011100010000100011100001110100000100000011110000010101110011,00011100111111000001000100001010111101000010001110011100010011011111000000011001,6,0,0,3.049
1,00000010111100001000111100010100101011100011110100000100000011111000010101110011,01111110111111100001011100011000111101000010101110111101010111000010000000001011,3,2,0,0.491
1,00001110101000111011000000100000101101000111010100001000101100110000110001000000,,7,0,0,19.466
1,01000110101000011111000000100000101111000011010000001000111100110000111001000000,01011000101111101011000100000000111101000100101100110100010111000111000010101001,6,0,0,12.392
1,11001110001000001011000010100000111111000111010100001000111100110000101001100000,,5,2,0,18.692
1,00000110001000001100001100010000001011100001110100000100000011111000010001110011,00011100111111110001010101000000011111100000101110001100010010000011001000110000,8,0,0,0.369
1,11000010100000010011000000100000101111000111010100001000000100110000111001100000,,9,0,0,22.67
1,10000110101000011111000010000000101011000111110100001000110000110000111001100000,01011000111111100001000001001000110101000010111110011101010011000111000001001011,7,2,0,21.605
1,11001110001000111110000000100000001110000111010100000000111100110000111111010000,,6,3,0,16.571
1,01001110101000011101000000100000100110000110010100001000101000100000111001100000,01011100101011111001000110000001011001000010100110011100011011000001001000001001,9,0,0,12.926
1,00000110001100000100111100010000100011100001110100000100000001111100000101110011,,6,0,0,23.621
1,00000110010100001100011100010000111011100011010010001100000011111100010001110001,,6,3,0,20.179
1,11001110001000011111000000000000101110000111010100001000111000010000111011100000,,6,1,0,22.345
1,00000110011100001100011000010000101011100001110000000000000011011000010101110011,01011100111111110001000000001000011101000010101010011000011111000011000000011001,7,0,0,0.895
1,11001010101000000111000000100000000111000111010100001000111100100000111001100000,11010100111111000001000100000001111000000011101110111110100011000001000000011001,7,0,0,5.844
1,11001110101000111001000000100000101111000011010100001000001100110000111101000000,01011100111011110011000100000000111101100010101100111000011111000011000001000011,6,1,0,0.121
1,11001010101000011111000000100000101100000100010100000000111100110000111001000000,01011101111111101001000100000000001111000110100010111110000011001011001000001001,8,0,0,1.397
1,11001010101000001101000000100000101110000111010100001000110100110000101101110000,11001100101010101101000000100000101110000111110100001010110111110000101101110000,7,2,0,13.263
1,00000110010000001100000100010000101011100011110100000100000011111100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,0.026
1,00000110001100001100111100010000001000100001110000000100000011110000010101110010,01011100101111000001000110000000011111000000100010111101010011010011001000011110,9,0,0,7.439
1,00000110011100001100111100010000100011100000010100000000000011101100010101000011,01110000111110111001000000101000000101000011101110111100010011000011000000111001,8,0,0,18.243
1,11001110001000111110000000000000111111000111000100000000111100010000110001100000,00011010001011001011001000111101110001000010111100000000010011001111101100111000,7,1,0,11.378
1,00000100011100001100110100010000101001100011010100000100000001111000010001110011,,7,0,0,20.795
1,00000110001100001100011100010000001011100001110100000100000011111100000100110011,,6,0,0,22.832
1,11001110001000011011000000100000101110000111000100001000111000010000111001000000,10011100111101101101000110001000011101000010001110011100010111001110000000001001,8,0,0,6.17
1,01001010101000101111000000100000101111000111010100001000111000110000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,0.021
1,11001011100000111100000000100000101111000111010100001000001100010000111001100000,,7,1,0,16.699
1,00000010001100001100111000010000101011100011010100000000000011011000010101110011,01011110111101100001100101001000110101000010111110111000010111000011001000001000,7,0,0,11.151
1,11001110101000011110000000100000101111000111011100001000101000110000110001100000,01011100111111100001010100010000111111000011101111110100011011000111000000011000,5,1,0,7.854
1,11001110101000000011000000000000101111000011010100001000101000110000111001100000,01011100111100100001010000000010111101000110101100011100010011101011000010011001,8,0,0,0.097
1,11001100101000001011000000100000101111000111000100001000111100100000110000000000,01001100111101010001001100001000111101100010000110111100010011000001000000100000,9,0,0,0.641
