node,origami_data,decoded_stream,errors_positions,success,decoding_time
0,00000100011111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[1],1,0.001
0,01000000011111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[5],1,0.0
0,01000100001111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[9],1,0.0
0,01000100010111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[10],1,0.0
0,01000100011011110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[11],1,0.0
0,01000100011101110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[12],1,0.0
0,01000100011110110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[13],1,0.0
0,01000100011111010001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[14],1,0.0
0,01000100011111100001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[15],1,0.0
0,01000100011111110000100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[19],1,0.0
0,01000100011111110001000000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[20],1,0.0
0,01000100011111110001100000000111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[26],1,0.001
0,01000100011111110001100000100011101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[29],1,0.0
0,01000100011111110001100000100101101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[30],1,0.001
0,01000100011111110001100000100110101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[31],1,0.0
0,01000100011111110001100000100111001010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[32],1,0.001
0,01000100011111110001100000100111100010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[34],1,0.001
0,01000100011111110001100000100111101000000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[36],1,0.001
0,01000100011111110001100000100111101010000011000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[41],1,0.0
0,01000100011111110001100000100111101010000101000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[42],1,0.001
0,01000100011111110001100000100111101010000110000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[43],1,0.001
0,01000100011111110001100000100111101010000111000000001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[48],1,0.0
0,01000100011111110001100000100111101010000111000010000001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[52],1,0.001
0,01000100011111110001100000100111101010000111000010001000000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[55],1,0.0
0,01000100011111110001100000100111101010000111000010001001000001110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[60],1,0.001
0,01000100011111110001100000100111101010000111000010001001000010110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[61],1,0.0
0,01000100011111110001100000100111101010000111000010001001000011010001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[62],1,0.0
0,01000100011111110001100000100111101010000111000010001001000011100001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[63],1,0.001
0,01000100011111110001100000100111101010000111000010001001000011110000000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[67],1,0.001
0,01000100011111110001100000100111101010000111000010001001000011110001000000101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[73],1,0.001
0,01000100011111110001100000100111101010000111000010001001000011110001000001001000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[74],1,0.001
0,01000100011111110001100000100111101010000111000010001001000011110001000001100000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,[76],1,0.001
1,00011100111100001111000100001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[1],1,0.001
1,01001100111100001111000100001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[3],1,0.0
1,01010100111100001111000100001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[4],1,0.001
1,01011000111100001111000100001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[5],1,0.001
1,01011100011100001111000100001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[8],1,0.001
1,01011100101100001111000100001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[9],1,0.001
1,01011100110100001111000100001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[10],1,0.002
1,01011100111000001111000100001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[11],1,0.001
1,01011100111100000111000100001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[16],1,0.001
1,01011100111100001011000100001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[17],1,0.001
1,01011100111100001101000100001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[18],1,0.001
1,01011100111100001110000100001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[19],1,0.002
1,01011100111100001111000000001000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[23],1,0.001
1,01011100111100001111000100000000111101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[28],1,0.001
1,01011100111100001111000100001000011101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[32],1,0.001
1,01011100111100001111000100001000101101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[33],1,0.001
1,01011100111100001111000100001000110101100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[34],1,0.001
1,01011100111100001111000100001000111001100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[35],1,0.001
1,01011100111100001111000100001000111100100110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[37],1,0.001
1,01011100111100001111000100001000111101000110101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[38],1,0.001
1,01011100111100001111000100001000111101100010101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[41],1,0.001
1,01011100111100001111000100001000111101100100101100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[42],1,0.001
1,01011100111100001111000100001000111101100110001100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[44],1,0.001
1,01011100111100001111000100001000111101100110100100101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[46],1,0.001
1,01011100111100001111000100001000111101100110101000101100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[47],1,0.001
1,01011100111100001111000100001000111101100110101100001100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[50],1,0.001
1,01011100111100001111000100001000111101100110101100100100011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[52],1,0.001
1,01011100111100001111000100001000111101100110101100101000011011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[53],1,0.001
1,01011100111100001111000100001000111101100110101100101100001011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[57],1,0.001
1,01011100111100001111000100001000111101100110101100101100010011110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[58],1,0.001
1,01011100111100001111000100001000111101100110101100101100011001110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[60],1,0.001
1,01011100111100001111000100001000111101100110101100101100011010110101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[61],1,0.001
1,01011100111100001111000100001000111101100110101100101100011011010101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[62],1,0.001
1,01011100111100001111000100001000111101100110101100101100011011100101100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[63],1,0.001
1,01011100111100001111000100001000111101100110101100101100011011110001100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[65],1,0.001
1,01011100111100001111000100001000111101100110101100101100011011110100100000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[67],1,0.0
1,01011100111100001111000100001000111101100110101100101100011011110101000000011001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[68],1,0.001
1,01011100111100001111000100001000111101100110101100101100011011110101100000001001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[75],1,0.001
1,01011100111100001111000100001000111101100110101100101100011011110101100000010001,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[76],1,0.001
1,01011100111100001111000100001000111101100110101100101100011011110101100000011000,01011100111100001111000100001000111101100110101100101100011011110101100000011001,[79],1,0.001
2,01110111011111101001001011100011000001100000100001000010001110000011000011100110,11110111011111101001001011100011000001100000100001000010001110000011000011100110,[0],1,0.001
2,10110111011111101001001011100011000001100000100001000010001110000011000011100110,11110111011111101001001011100011000001100000100001000010001110000011000011100110,[1],1,0.001
2,11010111011111101001001011100011000001100000100001000010001110000011000011100110,11110111011111101001001011100011000001100000100001000010001110000011000011100110,[2],1,0.001
2,11100111011111101001001011100011000001100000100001000010001110000011000011100110,11110111011111101001001011100011000001100000100001000010001110000011000011100110,[3],1,0.001
2,11110011011111101001001011100011000001100000100001000010001110000011000011100110,11110111011111101001001011100011000001100000100001000010001110000011000011100110,[5],1,0.001
2,11110101011111101001001011100011000001100000100001000010001110000011000011100110,11110111011111101001001011100011000001100000100001000010001110000011000011100110,[6],1,0.001
2,11110110011111101001001011100011000001100000100001000010001110000011000011100110,11110111011111101001001011100011000001100000100001000010001110000011000011100110,[7],1,0.001
2,11110111001111101001001011100011000001100000100001000010001110000011000011100110,11110111011111101001001011100011000001100000100001000010001110000011000011100110,[9],1,0.001
