node,origami_data,decoded_stream,errors_positions,success,decoding_time
0,00011000001010010010011010010101010110000111100100101010011110101101100100110000,,[],0,33.068
0,00011001101110011000001010111110111100000111011011101000100000100010000000001000,,[],0,66.01
0,10001000101110010101011001010110100101110101101010000011011001100001010000001000,,[],0,22.98
0,01000010100010010000000111010100111101100110101010111100010000010110010000010000,,[],0,24.357
0,00010001000011000000001000000001000000000010000001000000110000000000100000000000,,[],0,329.681
0,00010000001000010110011000010101010100100111100101101010000000100101010000000001,,[],0,405.566
0,10001000101100010001011101010101100001100101011110001001010001000001010000001000,,[],0,131.069
0,00011000001010010100011110010101110110110110110101110010111010000100110100010001,,[],0,12.995
0,00000000000100000000010000000011000100001111110000101001100001101101100100011000,,[],0,54.36
0,00011000001111000000001000011000010100000111111000101000010100101001100100000010,,[],0,62.441
0,10001000001110110101011011010110100101101111001010101000111000001001010000011000,,[],0,6.041
0,11000000000110001000001100000000000000100111110010011101100000100011010000010001,,[],0,55.437
0,10000000001100000100010001010010001001000101101010101000011001101011010000001000,,[],0,39.202
0,00011000001010110100010010100101111110110011110111101010111010111001110100000100,,[],0,33.045
0,00000000000010101100110110011000110110010110100111101000111000100001110000000000,,[],0,38.773
0,00000011000110000100011011010001111100110011100010110110011001000011000000011101,,[],0,46.167
0,00010000000100000011010000000000110011000000100001010011001001001000001100000000,,[],0,42.643
0,00011100001100011100010000010011110110100011111100101110001100011000000000000000,,[],0,40.385
0,10000000000000010000111111000011100000000000110000000000000100001000010011000000,,[],0,102.471
0,00011000000010100110011000010000010110100110000100101010011000000000000000000000,,[],0,22.965
1,00000000000110000010001010111011101011010011110000111001111101000000000000011000,,[],0,52.096
1,10000000011000000010111110001100001111101011010111000000110010101101100010010000,,[],0,10.377
1,00110001000111110100011110100001111011010111110000001101001000100000000000000000,,[],0,35.455
1,10010000001100000100011110111100001111101011000011000101010001100001100010010000,,[],0,39.035
1,10110001100001001111111100111100000101011011010100000111001101100110000000011000,,[],0,20.79
1,10001000010000000100111110111000000110000011111101000111010011110001110000010000,,[],0,32.472
1,00001001001100010111001010100011101011010011110000111100000000100000011000001001,,[],0,250.451
1,00000001000110110110001011100011111111010111100000111000101001100100001000000010,,[],0,30.63
1,00001000000110010110001011100001101010010111100000011100110101100100000000000001,,[],0,24.93
1,00001000001100111100011110110101111111010111110000111101111100100010011000001001,,[],0,10.7
1,00011000011000000110001110111100001100001000010110000101010011110001110010010000,,[],0,39.638
1,11010000011000000110011110111100001111100011011101000100010011101101100010010000,,[],0,18.521
1,11000000001000000100111111111100001101101011110111000111111010101001100010010000,,[],0,17.218
1,00001000001110010010000110000010101001000111110000011000110101100100011000000000,,[],0,43.746
1,00001000001100110110000110110111111001011111110010111101101101100010011000001001,,[],0,16.654
1,01001001001110010001011110100000000001000111110000011101111100000000011000011000,,[],0,33.706
1,00000100000110011110001100001000111100000001111100111100000000000000000001010000,,[],0,67.62
1,00001001001110110111001000000011101011010101110000101100100001100000010000010000,,[],0,29.993
1,11000000011000000110111111111100011111111011111111000111010011011100110010010000,,[],0,29.116
1,10010000011001000000110100001100000111101011111110000101110011110111100010010000,,[],0,61.201
1,01000000000000100111111010000000111101001111110000011001111110000000010000001000,,[],0,43.7
1,00010000011000000110111111101100001111100011011110000101110001001011110000010100,,[],0,18.331
1,10011001001000000110110110111000001111101011010011000011010010001001110010000000,,[],0,28.419
1,00000001001110010111000000000011001001010010010000001101011101100000011000010001,,[],0,57.476
1,10000100011000000000111110010000001011101011010111000111000010011001111010010000,,[],0,33.257
1,00100001100010001000001011110111111110000111111111111101100101100010001000001000,,[],0,16.233
1,00001001001110110111001010100011101010000111110000111101010101000000011000011011,,[],0,34.477
1,00001000001110110111001010100001101111010111110000101101111100000000011000001000,,[],0,22.143
1,01001000001000000001111010111000001111011111011110110111011001101001000010000110,,[],0,20.132
1,00001000001100000010111011000011100010001100010000111101000000100000000000001000,,[],0,50.808
1,10011001101000000110010110110000001011101011010111001111100010111000100010010000,,[],0,17.361
1,00001001001111110100001111110011111001010101110000111111111101101100011000011001,,[],0,7.268
1,10010000011000000110111100111100001111101000010011000101010011101001110010010000,,[],0,16.147
1,00000001001110111011001011100101111100000111100000011101111100000000110000001001,,[],0,27.983
1,00001001001010011000001000100001101001010101010000110100111001100000011100011001,,[],0,47.173
1,00001000000100000011001011110001111110010111100000111101101101100000011000000000,,[],0,49.913
1,10010000011000000110011010110100001111000010000111000111110010101001110010000000,,[],0,21.119
1,11011000010000000100110110111100011111101011010110000100010001000001100100010000,,[],0,27.37
1,00000000001011010101001110100001101011000110010000111100111000100000001000000000,,[],0,48.454
1,00001001001010010101001010100011001111000111110000001101111000100010001000001101,,[],0,37.505
1,00001001000110010111000010100010101001010111110000101100110001000000001000001000,,[],0,58.164
1,00011100001000000110011000110100001111000010010110000101010011101001110010010000,,[],0,29.792
1,00010000001000000110111110111100001011101011011101100100110010101101110010000000,,[],0,19.192
1,00001000000110000101001010100011111111000111110000011111111001100000010000010001,,[],0,27.643
1,10001000011000001010111110111000001111101011011111000101010011111001100000010000,,[],0,14.18
1,10011000000000100110101110000000001111100011000101000100100011100011110000011000,,[],0,28.064
1,00001001000110010011001010110001101110000111110000111111010001100000001000000000,,[],0,24.568
1,00001000011000000100111110110100000111101011111111000111100001111101100010010000,,[],0,20.073
1,10000000011000000010100010001100011111101011110110000111010011110001000000000000,,[],0,55.106
1,11001000001100000001111110011000011111111011111100001101110001111001000010000010,,[],0,26.826
1,11000000000000000110110111111100001111101011111001000111110011011001100010000000,,[],0,24.759
1,10001000011001000010111111111100011111000011111100001101110001100100110010010000,,[],0,37.312
1,10010000011101100010110010111100001101101111111111100111110011011000010010000000,,[],0,15.696
1,00000001000110000010001110100011101011110111111000011001111101100000011000010000,,[],0,30.248
1,00001001000110110101011110100011111111010111110000111101111101100000001000001001,,[],0,11.951
1,00000000011000000110011110110100011111101011110101000101010000101001110010000000,,[],0,25.852
1,10001000011101000110111110011100001111100011010111000111010011100001110010000000,,[],0,12.269
1,10011000001000000100111110011000001101101011010011000101010001110001110010000000,,[],0,20.35
1,10010000001000000010110110111100000010000000010111000101010011111001100010010000,,[],0,45.327
1,00001001000110000011001110100011111010000011110000111101011100000000010000001000,,[],0,61.874
1,00010000011000000100001100111100001101101011000110000001010011101001100000010000,,[],0,49.749
1,10000000001000000100000110111100001111101010010100000100110011110011100010010000,,[],0,22.465
1,00000000001100000110111110111100000111101111111111001111110001111101110000010000,,[],0,13.786
1,10011000001000000110111100111000001111101011010100000101110001011001110010010000,,[],0,13.51
1,00001001001100110101001010100011001111000111110000001101111101100000010000001001,,[],0,35.257
1,11010000001100000110111110111000111111101011111111001111100011111100110010010000,,[],0,10.734
1,00001000000010010101001000110001001111000011010000011101100101000000000000000000,,[],0,59.827
1,00000001000110000111011110100011111111111111111000111111111001100100011000000000,,[],0,16.498
1,00001001001001111000001111110011111111010111111000111111110100100000000000001000,,[],0,13.79
1,00001001001101010110001010100010101001010111110000111101111001100000011000001001,,[],0,12.017
1,00001001001110110100001010100001101011010111110000111100111001100000001000011000,,[],0,21.735
1,00001001100110010110001010100011101110010111110000011111100101100000011000011000,,[],0,34.226
1,00000000000110110110011110110011111111010111111000011101110101100000011000000001,,[],0,14.472
1,00011000011100000000111110111100010111101011111000010111010011111100110010010000,,[],0,60.599
1,00001000001100010111001000100011101001010111000000111101101101100000010000000001,,[],0,27.328
1,00001000001110010110001010100001101111010110110000101000011000100000001000010000,,[],0,63.106
1,10001000011000000100111110111000001111101011010111000101010010101001110010010000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,[],1,0.012
1,11011000011100000100011110110100000011101011010001000101110011101101110010010000,,[],0,19.767
1,00010000011000000100001110111100001111101011011111000101010010111001000010010010,,[],0,32.986
1,10001000011000000110011110101100001111101011000111000101000001000000110010010000,,[],0,39.664
1,01000000001000000110111110111000001111101001111111000111010011111101110010010000,,[],0,17.479
1,10010000001000000110101110111100001100001011010010000101011001111001100010010000,,[],0,20.013
1,00001000000110011111011010101011100011000011100100011101100001100110110000000000,,[],0,29.283
1,01001000000100011111001111111001111111111111110000111111011101100001111000000001,,[],0,12.946
1,10000000011000000110111110110100000110101010010111000001100000001000010010000000,,[],0,24.915
1,10011100000000000110010010100100001111101011010101000101010011100001110010000000,,[],0,34.232
1,00001000000110000000001010000001111000000111100000011101110000100100011000000000,,[],0,29.677
1,10000000011001000011111110011000000111001011010100000101010000001001100000010000,,[],0,36.48
1,00011000011000100110111110110100001111111011110011000100000011101001100010010000,,[],0,17.011
1,10011000011000000010111110111000001111001111010111111111100011101101100000010100,,[],0,13.716
1,00001001000000010101001010110001111111010111111000011101101101100000001000000000,,[],0,55.198
1,00000001001110110011001010100001111111010111100000011100111000100000011000010001,,[],0,32.146
1,01110100000011010001011111010000101100000111111000011100001110100000010000010000,,[],0,27.883
1,00010000001000000000111010111100001111100011010101000101110010101101110010010000,,[],0,24.626
1,10010000011000000111111110010100001111101011010110000111110011101101110010010000,,[],0,6.864
1,00000001000110010110001010010000100011010111100000001101101101100000010000010001,,[],0,25.11
1,00001101000010011110011111110011111111011111110000011000111010100000011000010000,,[],0,21.245
1,10011000001000100001011111111000011111110011111000001111010011100100000000100000,,[],0,32.585
1,00001011000100110110001111100001101111010111110000110001111001100000010000001001,,[],0,25.016
1,00001000000110010110001111101011111111010111110000111101111100100000010000001000,,[],0,23.045
1,10000000011000000110111110111100000011101000010101000100010011101001000010010000,,[],0,28.523
1,00001001000100010001001001100001110000000111111100101111111000100000011000000000,,[],0,50.248
1,10001000011000000110111010111100001110101011100111000101010001001000110010010000,,[],0,23.778
1,10011000011000000110011110111100001111100010010100000101110010101100010010000000,,[],0,17.748
1,00000001001110010110001110100011101111010111110000101101111101100000001100001000,,[],0,16.522
1,00010000001000000100110100111100001111000011111100000111010011111101110010010000,,[],0,20.578
1,00001001000111000110001010100011000011010111110000111101101101100000011000111000,,[],0,33.456
1,00001001001110111111001111101101101011010111010000101100101101100000010000011000,,[],0,21.939
1,00000001000110000111001000110011101111010111100000111111111100100100010000000001,,[],0,17.214
1,10010000010000000110111010111100001111001011010100000100000011001001110010010000,,[],0,64.726
1,10010000010000000010011110111100001111101001010100000001000010001000100010000000,,[],0,71.895
1,00001001001110000101001110100011100001010111100000111000111101000000011000011001,,[],0,23.769
1,00001111001100110111011011100011111111000111110000011101111000100100010000011001,,[],0,20.724
1,10001000010001100110110110111100001011101001010011000111010000011001110010010000,,[],0,27.54
1,10000001000110010010001010100001101100010011100000111111110000110000001000000000,,[],0,12.327
1,10011000001000000100111110101100110111100011010110000001110010101101110010000000,,[],0,15.089
1,01001000001110011101001111100110111111000111111000111111111101100000011000011000,,[],0,11.104
1,00000100000001110000001110111100100111111111011110111111111100111101100110000010,,[],0,12.417
1,00001000001000100101001111110010111111001111111100011111111111100100001000010001,,[],0,16.366
1,10011000011001000010111100111000111111101011011110000011011011011001110000010000,,[],0,16.286
1,00000000000110100101000111100001100000000010000000111000000000100010001100000000,,[],0,58.748
1,00011000011000000011111111111100011111101001001110001111011001111001100000110010,,[],0,16.86
1,11011000010000000010111010111000001111101000000111000111000011111101100000010000,,[],0,40.316
1,00010000011000000110011111111100011111101000000011000111000011001001100000010000,,[],0,47.394
1,10011000010000000110011110110000001111101011011110000100010001101000110110010000,,[],0,24.59
1,00001001100100110101001110100001101011010111110000111101111100000000001000000001,,[],0,18.78
1,00001001001010100101001000100010101111010111110000111101111101100000011000010000,,[],0,21.896
1,11000001001110100110011111110001111111010111111000011111111100110110000000011000,,[],0,9.739
1,10001000010000000110011110111101101111101011110010100111010011111000110010010000,,[],0,14.345
1,00011011101110011100011000101111111000000111111111111101100101100010001000011000,,[],0,13.419
1,00000000001100010111001110000001101001010111010000111101111110100000001000011001,,[],0,22.416
1,00001001001111010001001110100001100011000010110000111101111001100000001000001000,,[],0,27.398
1,00011000011000000110111110100100010111101011111111001111010011101001110010000000,,[],0,13.383
1,00001001001000010111001000000001101001000111110000101100011100000000010000010001,,[],0,83.853
1,00010000000000000110011100011100001111101011010110000111010001110100100010000000,,[],0,56.46
1,00001000000100010001001110000001111001000111010000111101101101000000010000011001,,[],0,29.347
1,00011000011000100110110110010000001111101011111011001111111011111101110010010000,,[],0,14.225
1,10001100011000000110011110111000001111001011111110000101010001000000100010010000,,[],0,38.619
1,00001000001000000100101010011100000111101011010111000101010010101001010010000000,,[],0,39.181
1,00001001001100100111001010000001101001010101000000111100111100000000010000011001,,[],0,22.532
1,00001001000110010110001100000011101011001111110000101101111101100000111000000000,,[],0,26.352
1,00010000011000100110011110110100000111101011010000000101010001101001110010010000,,[],0,22.129
1,00001000011000100110111110110000001110101011010110000001010011001001110010010000,,[],0,45.171
1,10000000010000000100011110111000011111101011110110000111010011111001010010010000,,[],0,21.994
1,01000010100110000110101111110001111111110101111100011100011000001011000000101000,,[],0,16.733
1,00001001000100100101001011100010101010000111100000111000100100100000010000000000,,[],0,86.41
1,10001000001000000110110110111100001101100011110001000110110001101100110010010000,,[],0,24.81
1,00001001001100010111001110000001101011010111110000111111111101100000010000001000,,[],0,7.346
1,00001000001000000110111110110100001111101011010111000101000011101001000010010000,,[],0,14.55
1,11011000011000000110111110111000001011101011010010000101011011100100110010010000,,[],0,43.121
1,00011000010000000110011110011100001111001011010010000001010011100001100010010000,,[],0,216.324
1,00000000100000011110001001100101111110000111110010011101010101100000001000000000,,[],0,111.569
1,01010000010000000110101111111000001111101111111111000001110011101000110100000000,,[],0,112.603
1,00001001001110010111001010100011100010000111110000111101011001100000011000001001,,[],0,112.601
1,10010000001000000110111110100100001111100001000111000111110011001101110010010000,,[],0,91.167
1,10011000011000000110011000111100000000000010010111001000010011100001110010000000,,[],0,171.143
1,00001001001111111111001111100011111111010111111100001111111100100000111000010000,,[],0,27.19
1,00011000000000000001111110001000001111110010111110000111011011111111000110000100,,[],0,56.447
1,10011000011000000110111010111100001111100011011110000101010000101000100000000000,,[],0,41.009
1,00000000001110010111001010100011100011000011110000111111011101100000011000000001,,[],0,39.834
1,00000001000100011011000010100001100010010110110000111100010101100000000000001000,,[],0,99.339
1,00001001001110010101000010000011001010010011100000110101110101000000001000000000,,[],0,100.692
1,10011000011000110110110110111100000111101010111111110111000001111001110010100100,,[],0,20.543
1,00100000001110110101001000000011001000010011111000110101111101100100011000011000,,[],0,21.313
1,10000000001000000100111110111100001011101010010110000101010011100001010010010000,,[],0,17.067
1,01101001000110111111001010100011101111010111110000111101101101100100000000000000,,[],0,25.269
1,10011000011000000110111110110100001111101011010000000111110011001000110000010000,,[],0,20.956
1,00010011001000111100011111101001101110101111111110110001111101100000111000010010,,[],0,16.193
1,00001001000110111110001110110001111111010111111100111101110100100000010000010000,,[],0,26.777
1,10010000011000000110111110101100000111101010000001000100010001101101110010010010,,[],0,33.727
1,00010000011000000110111000010000001111100011011111000101011001001001110010010000,,[],0,70.498
1,00001001001100010011001011100011101011001111100000101101101101100000001000000000,,[],0,34.937
1,00000000001000000010111000111100001111000010000100000011010010011000110000010000,,[],0,66.272
1,10010000010000000010011110011100001110001011000011000101010001101000000010010000,,[],0,85.136
1,11000000101100000111110111111000001111000011111110010111101001100000000001001000,,[],0,27.208
1,00000000001110010011011000100001111010010111110000011001111101100000011000001001,,[],0,50.282
1,00001001000010000111001010100010101011110111110000111101111001100000011000001001,,[],0,25.975
1,01011000001110110010001111100010001111010111110100011101001101100010010000011000,,[],0,27.824
1,00001000001110010010001010100000101111000111110000011101111100000000010000000001,,[],0,60.363
1,10010000001000000100111110111100000111100001110111011101010000101101100000000010,,[],0,88.74
1,10001000001000000010111100111100001111101011011111111111010011001101100010000000,,[],0,29.518
1,10001000011000000100011110111100000111101011011011000000010001000001100010010000,,[],0,42.139
1,11011000010000000010011100011100001111101011000101000101010011101100110010010000,,[],0,50.724
1,00001000010000000110111100111100001111100011011110000111010011001101110000000000,,[],0,21.316
1,00011000011000000110010100110100001111001011010101000001010011000101110010010000,,[],0,38.318
1,00001000001000011110001000100111111100010111110100011101010001100100011000001001,,[],0,40.771
1,11011000001001100010111100111000111110000001110001000110100011111001100010010000,,[],0,75.437
