node,origami_data,decoded_stream,induced_errors,related_parity_bits,related_checksum_bits,success,decoding_time
0,00000000011111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5,11;12;13;14;15;31;51;58;63;67;68,34;35,1,0.009
0,00000100001111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9,11;12;15;17;21;38;51;63;64,34;35,1,0.008
0,00000100010111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;10,11;12;15;18;41;51;58;63;67,34,1,0.38
0,00000100011011110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;11,11;12;15;51;63,34,1,0.005
0,00000100011101110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;12,11;12;15;51;63,34,1,0.005
0,00000100011110110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;13,11;12;15;51;63,34,1,0.006
0,00000100011111010001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;14,11;12;15;51;63,34,1,0.006
0,00000100011111100001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;15,11;12;15;51;63,34,1,0.005
0,00000100011111110000100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;19,11;12;15;48;51;62;63;66,34;35,1,0.007
0,00000100011111110001000000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;20,11;12;15;18;28;41;51;63;65;66,34,1,0.008
0,00000100011111110001100000000111101010000111000010001001000011110001000001101000,01000100011111110011100000000111101011001111000010011011000011111001000001101000,1;26,11;12;14;15;48;51;58;63,34;35,0,0.16
0,00000100011111110001100000100011101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;29,11;12;15;21;48;51;63;64,34;35,1,0.007
0,00000100011111110001100000100101101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;30,11;12;15;21;41;51;61;62;63;66,34,1,0.007
0,00000100011111110001100000100110101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;31,11;12;15;51;63,34,1,0.006
0,00000100011111110001100000100111001010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;32,11;12;13;15;38;51;63;65;67,34,1,0.006
0,00000100011111110001100000100111100010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;34,11;12;15;31;51;61;62;63;64;66,34,1,0.007
0,00000100011111110001100000100111101000000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;36,11;12;14;15;21;51;61;63,34;35,1,0.008
0,00000100011111110001100000100111101010000011000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;41,11;12;15;51;63,34,1,0.007
0,00000100011111110001100000100111101010000101000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;42,11;12;15;17;48;51;61;63,34;44,1,0.433
0,00000100011111110001100000100111101010000110000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;43,11;12;15;18;51;58;63;65;67,34;44,1,0.008
0,00000100011111110001100000100111101010000111000000001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;48,11;12;15;51;63,34,1,0.006
0,00000100011111110001100000100111101010000111000010000001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;52,11;12;15;28;48;51;63;65;68,34;44,1,0.008
