node,origami_data,decoded_stream,induced_errors,related_parity_bits,common_parity_bits,related_checksum_bits,success,decoding_time
0,00000000001111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;9,11;12;13;14;15;17;21;31;38;51;58;63;64;67;68,,34;35,1,0.065
0,00000000010111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;10,11;12;13;14;15;18;31;41;51;58;63;67;68,,34;35,1,0.037
0,00000000011011110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;11,11;12;13;14;15;31;51;58;63;67;68,,34;35,1,0.034
0,00000000011101110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;12,11;12;13;14;15;31;51;58;63;67;68,,34;35,1,0.033
0,00000000011110110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;13,11;12;13;14;15;31;51;58;63;67;68,,34;35,1,0.034
0,00000000011111010001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;14,11;12;13;14;15;31;51;58;63;67;68,,34;35,1,0.033
0,00000000011111100001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;15,11;12;13;14;15;31;51;58;63;67;68,,34;35,1,0.034
0,00000000011111110000100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;19,11;12;13;14;15;31;48;51;58;62;63;66;67;68,,34;35,1,0.034
0,00000000011111110001000000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;20,11;12;13;14;15;18;28;31;41;51;58;63;65;66;67;68,,34;35,1,0.036
0,00000000011111110001100000000111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;26,11;12;13;14;15;31;48;51;58;63;67;68,,34;35,1,0.034
0,00000000011111110001100000100011101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;29,11;12;13;14;15;21;31;48;51;58;63;64;67;68,,34;35,1,0.035
0,00000000011111110001100000100101101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;30,11;12;13;14;15;21;31;41;51;58;61;62;63;66;67;68,,34;35,1,0.036
0,00000000011111110001100000100110101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;31,11;12;13;14;15;31;51;58;63;67;68,,34;35,1,0.033
0,00000000011111110001100000100111001010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;32,11;12;13;14;15;31;38;51;58;63;65;67;68,,34;35,1,0.037
0,00000000011111110001100000100111100010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;34,11;12;13;14;15;31;51;58;61;62;63;64;66;67;68,,34;35,1,0.043
0,00000000011111110001100000100111101000000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;36,11;12;13;14;15;21;31;51;58;61;63;67;68,,34;35,1,0.047
0,00000000011111110001100000100111101010000011000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;41,11;12;13;14;15;31;51;58;63;67;68,,34;35,1,0.037
0,00000000011111110001100000100111101010000101000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;42,11;12;13;14;15;17;31;48;51;58;61;63;67;68,,34;35;44,1,0.039
0,00000000011111110001100000100111101010000110000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;43,11;12;13;14;15;18;31;51;58;63;65;67;68,,34;35;44,1,0.038
0,00000000011111110001100000100111101010000111000000001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;48,11;12;13;14;15;31;51;58;63;67;68,,34;35,1,0.037
0,00000000011111110001100000100111101010000111000010000001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;52,11;12;13;14;15;28;31;48;51;58;63;65;67;68,,34;35;44,1,0.038
0,00000000011111110001100000100111101010000111000010001000000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;55,11;12;13;14;15;18;31;41;51;58;63;66;67;68,,34;35;45,1,0.039
0,00000000011111110001100000100111101010000111000010001001000001110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;60,11;12;13;14;15;17;28;31;51;58;63;67;68,,34;35;44,1,0.035
0,00000000011111110001100000100111101010000111000010001001000010110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;61,11;12;13;14;15;31;51;58;63;67;68,,34;35,1,0.049
0,00000000011111110001100000100111101010000111000010001001000011010001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;62,11;12;13;14;15;31;51;58;63;67;68,,34;35,1,0.053
0,00000000011111110001100000100111101010000111000010001001000011100001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;63,11;12;13;14;15;31;51;58;63;67;68,,34;35,1,0.036
0,00000000011111110001100000100111101010000111000010001001000011110000000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;67,11;12;13;14;15;31;51;58;63;67;68,,34;35,1,0.036
0,00000000011111110001100000100111101010000111000010001001000011110001000000101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;73,11;12;13;14;15;17;21;31;48;51;58;63;64;67;68,,34;35;44,1,0.037
0,00000000011111110001100000100111101010000111000010001001000011110001000001001000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;74,11;12;13;14;15;21;31;48;51;58;63;65;66;67;68,,34;35;44,1,0.036
0,00000000011111110001100000100111101010000111000010001001000011110001000001100000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;5;76,11;12;13;14;15;28;31;41;51;58;61;63;65;67;68,,34;35;45,1,0.037
0,00000100000111110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;10,11;12;15;17;18;21;38;41;51;58;63;64;67,63,34;35,1,0.034
0,00000100001011110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;11,11;12;15;17;21;38;51;63;64,,34;35,1,0.034
0,00000100001101110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;12,11;12;15;17;21;38;51;63;64,,34;35,1,0.035
0,00000100001110110001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;13,11;12;15;17;21;38;51;63;64,,34;35,1,0.036
0,00000100001111010001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;14,11;12;15;17;21;38;51;63;64,,34;35,1,0.035
0,00000100001111100001100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;15,11;12;15;17;21;38;51;63;64,,34;35,1,0.035
0,00000100001111110000100000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;19,11;12;15;17;21;38;48;51;62;63;64;66,,34;35,1,0.034
0,00000100001111110001000000100111101010000111000010001001000011110001000001101000,01000100011111110001100000100111101010000111000010001001000011110001000001101000,1;9;20,11;12;15;17;18;21;28;38;41;51;63;64;65;66,,34;35,1,0.037
