node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00000011000110110100001110000100100010010110010010110001110001000010010100000101,,18,15,0,28.845
0,10111000100001000011001110001110001110110001010000100101110000100101100010000000,,18,17,0,24.608
0,01000000001100000010011000001001110100010011000000001100010000000000100000010000,,22,9,0,36.81
0,00010000001100000000001000000000000000000010001000000100110000000001111000000001,10000010011000000111000100110000100010100100000000001000000011010100101001000000,22,4,0,3.543
0,00010000001000000100110001001000100000010010000000111010011000001011100100011000,,21,12,0,33.473
0,10111000101001000011001100001100000011110001011000100100100000100101100011010000,,15,13,0,19.637
0,00001000001010100011100001001100000101110000001000000010011001000010100000001000,,11,1,0,33.677
0,00000010001000000010011001000001010000101110101000100000100111000011010000000001,00100000011100111111110000100111101010010101000010111001000010001000100000001000,9,0,0,1.445
0,10111000101001000001000000001101000111111000101000100000110000100000100011100000,,16,11,0,30.004
0,11011001000010000000110000001001001100000000000010111000000110010001000101000110,,22,14,0,19.301
0,00000111100110101000000101100101111010001110010010110001100001000000010100011101,,15,16,0,13.622
0,10001000101010100011100100000100000100110100001010000010010001000000010001000000,01000100011100010101100001100111000000101101000010001001001010010000100000001000,10,0,0,0.647
0,00000010001001000010011001000001010010001110011000100001100111000000010100010001,01000100011101000001110001101111101110001101001001011000000010010000100000011000,10,3,0,5.794
0,00001000000000000010000000000000000010000000011000000000111000000001110000000010,,25,5,0,39.887
0,01000101000010100100001100000101111000001010001010110000100001000000010000010101,,18,11,0,33.195
0,00000001000010000000001100100000010000001000010000110000000001000000000000010100,,25,6,0,45.218
0,00010000001001000000111000001001000110000010000000000100000000110000000010000100,,25,9,0,44.834
0,00000010000101000010011001000001010000101101100000100000100011000110100000010000,,12,2,0,31.744
0,01000001000110100100001100100101111000000110000100100011100001000010010000010101,,18,13,0,32.784
0,00000000000110000000000000000000110001100010000110000000000000000000000000000000,,26,3,0,60.067
0,10111000101000000011000100001101000100110000011000100000110000101101000011010000,,16,11,0,28.583
0,00010010001001000010011111000000111000101110111000110000100111000111000100010000,,5,4,0,23.633
0,10001000101011100011100100000100111101100100001110000000101001000010110001010000,,5,3,0,26.885
0,00000000000000000001000001001100001001100001000110100100010000000100100011100000,,22,8,0,42.162
0,01001001000110100001001100100101111000011110100000110000000001000111010000010101,,13,11,0,21.186
0,00011010000001000010011001000001110000001110111000100001100011000011010100010000,00001010101011100011000111000101011101110000001110000010011011000010100001111001,7,2,0,9.907
0,00000010001101101010011011000001000000101110001000110000100100000111010100010001,,7,3,0,23.495
0,00000000000011100010100000001000010100111100000111000010111010010011000000100110,,15,9,0,29.289
0,00011000101000000011000100000101000111110000101110110110111000000100110001000000,,12,9,0,28.299
0,11000000101100000010011001001000110000010010000000110010011000000010000000011000,,19,9,0,33.193
0,00000000001101000010010001000001110000101100101000100000000111000110010100010000,01000110001100011101110000011111011010001111001010010001000011010000100000000000,9,0,0,7.306
0,00000010000100101000001100100101110100001100100010110010100011000010010100011001,,13,9,0,28.144
0,10001000001010100010000100001100011001110100011000100100110000000100100010010000,,14,7,0,27.292
0,10001000001011000000100100000100010100010100001111000010110000000001100001001010,,12,4,0,34.229
0,11111000001001000011000100000111010001010000001110110010011000000111110011010000,00000111111101001001100000101110100010110111000110011001001111111000100010111100,10,10,0,4.401
0,10101000101010000011000000001100000000000000001110000001110000110100100011010000,,16,7,0,37.409
0,00110000100001000011000010000100000101100001001000000100110000000101100011000000,,20,9,0,32.161
0,10101000101001000011000100011101000011000000010100100001000000000101100011000000,,18,10,0,31.545
0,00000101001101100011011110000001111000111110011100110001000101100011100000010000,,11,13,0,20.844
0,00011010001101000010011001001001010000101100101000100000100111000011010100010000,,5,1,0,24.019
0,00000100001101100000011001001001000100001110000010100000000001000000001000111110,,19,10,0,36.486
0,00010000100100000010000000000000010100100000100100000000001011110000111000000010,,22,8,0,38.689
0,10001000101011000010100000001000010000110100000000000010010001000000110000000000,,14,0,0,33.706
0,00001000001011100001100001000100000111110100011100000010111000000010010001011000,10000110001100011101100010100111111010000011110010011101000010010000100001101010,9,4,0,3.113
0,00010010000101000010011001000001110000101100001000100000100111000111010100000001,,6,0,0,27.304
0,00000011000101100100001001001101100000001110101010100011100010000010010100010100,,13,9,0,28.519
0,10101000100000000011000101000101000111110001001110110000000001100101100010010000,,15,11,0,21.732
0,01001001000110100100001110100111111000001000101110110000100001000011010000110001,,14,14,0,26.008
0,00010000000111000000000000000010000001000000001110000001101000000000000001000010,,24,6,0,42.055
0,00000000001101000010011000000000010000001110111000100000000111000111010000010000,10000100001100111101100000000011101110001001000000011000001011010001101010000000,11,1,0,3.436
0,01101001000101000000011000000001100100101000000000100000000100010000001001011100,,20,9,0,30.711
0,00000010001101000010011001000001000000101110101000100000100111000011010100010001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,6,0,1,2.643
0,00000010001101001010011001000000010000101000001000100000100111000011010100010001,,9,1,0,30.258
0,00000110000001000010110100000001110000100111000000011001000011000001110100001000,01000010011100100111010001000001110000000111000010110100001011010000100100011000,16,8,0,20.841
0,01011001001111000000011000001001100110000011000001011000000001000001000000101010,,19,12,0,31.323
0,11101000101001000011000111000101000001110000000110100000110000100000100000000000,01000111111101001101100011100011100000100110000100001100010011000001000000000000,16,8,0,35.87
0,10001000001011100011100000000100010101110100001110000010111001000010010000010000,00100100111100011101100000000111101010000111000010011101001011010000100000100100,6,1,0,0.216
0,10100000101001000001000010001000000001100001011100100000110000100100100111000000,,19,10,0,35.239
0,00001101000100000100001100100101100000001111000011110000000011000111010100011100,,14,11,0,20.252
0,11111000101001000010000100000100000000110000011110100100100000100101100011000010,,17,12,0,30.865
0,10100011001100000000110000000110010000000000000111000000011100000111000000111100,,20,12,0,32.413
0,00000011000110100100001100000001011000001110100000110010000001000010010100010100,,16,8,0,28.816
0,00001000101011100011000000000100000101110100001010000010001001000000000001001000,,11,0,0,30.534
0,00011110000001001100110100001001110000000111000000111000100011000010011000011111,,13,12,0,21.525
0,10011000101011000001000101000101000000100000101100010100011000000110010000100000,,16,8,0,31.978
0,00000010000000000010001000000001010000101110101000100000100011000011000100000001,,13,0,0,37.867
0,10000000001011000010001100001100000000010100001110000000110000000100000000010010,,17,4,0,12.992
0,11011000000110001010000100010001010011101000001000110000010111000111010000010001,,12,9,0,26.733
0,10010000110001111010011000010010000000110100000000000000000001100000010011001000,,20,10,0,23.286
0,00000010001101001010001001001000010000101000001000100000000011000011010100010001,01000100011100001111111010000010000010000001000010001001001111110010100010001001,12,2,0,25.107
0,10111000101011000011000100000100010101110100001110000000010000000100100011010000,01000111001101001111110000100011101010000111000011001010100011001000000000101100,9,4,0,21.03
0,10101000101011000011000100001100000101100000011100100100110000100001000011000000,,14,8,0,32.195
0,00011010001101000010001001000001110000001010101000100010100111000111000100010001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,5,1,1,0.023
0,00001100001000000001000100000101010101010000000011110010010000000100000011000000,,19,7,0,27.431
0,01101000001101000011011010011101010010101100001000100000100111000110010100010000,,9,8,0,26.12
0,01001100000001010000111000000011010000100000001100000101100010000000001100000011,,20,10,0,35.031
0,00000001000110100100001100000101110000001111100000110010110011000110010100011101,,12,11,0,23.657
0,00000010001101000010001001000001110000101110101000110000100111000111010100000001,01000000001100111101110000100111101010000111010010001001000011111001100000001001,4,0,0,0.142
0,10111000101000000011000010001111000111000000001100100000110000100100100011100000,,17,12,0,24.502
0,00010001100100100000001100000101011000001111000010000000100011000110010000010001,,16,8,0,26.256
0,00000001100100000000001100000100110010000110110011000010100011000000010100010101,,18,10,0,33.251
0,10110000100001000010000110000111000111111001011100100111110000101101100000100000,,17,18,0,21.171
0,00011000101011000011100000000100011101110100011000000010111000000010110011000010,01000100001100001111100000000111101111000001101011011101011011010001000100001100,9,6,0,14.05
0,00100001100110100100001100100101111000001100100000110000110011000000010000110111,,16,14,0,23.477
0,01101100100011110010001110100101111000001100100001110000000001000010010000010000,,16,13,0,24.043
0,10000001100011001011100000000100010101010100001010000010011001000010000001110000,,10,3,0,29.548
0,00000000000000000000000000000010000011000000001100000000010000000001000000000001,,28,4,0,51.625
0,00011010001001000010011000000000010000100110101000110010000111000111010100010001,01100100011100011101110010001101111000100001000011011000000011010000100011101000,6,1,0,1.53
0,10001000001011000011101101001100010101110100001110000011111001000010010001001000,10000100011100001101110010111111100110000111000010011111000010111001101001001000,4,4,0,4.426
0,00000010001100000010011000000001010000001110100000100000000111000011010100010000,01000010001100001111110001000111101000000101000000011100000011100000100000001010,11,0,0,5.429
0,01100001000110000001011000100000101100111110011000110000100101000111010000010001,00110001101000000111000100011011001101000001100111010100001110111001101000101000,12,10,0,5.42
0,01101000000110000000011000001101101100100010000001101100000100010011001101010110,,18,15,0,26.028
0,00001110001000100010011001000001010100001110001000100000100100000010010100010001,,11,3,0,32.77
0,00000001000110010000001100100000111000001110010001110001010000000011010100011001,,17,11,0,27.931
0,01101001000111000000011000001001100100000010000000111000000100010001000100111110,,18,12,0,29.947
0,00000010001001000010011001000001011000100110101000100000100111000010010100100001,01100000011100001111110000101101101010010101100010011001000010010100100000001000,9,2,0,2.624
0,10110000101001000011000100001101000011110000001100100001110000100100100001000000,,15,9,0,33.31
0,00000001000100100100001100000100111010001111100011000001000011100000000000011101,,20,14,0,30.386
0,10001000001000100010100100001100011000010100000111000010110011000001000010010000,,14,6,0,34.615
0,00011011001101001011001000000001110000001010101000100000000111000111010100010001,10001000101011101011100100000100010101110001001110001000010111010010100111011000,6,3,0,19.565
0,10000000001011000001100110000100010100100100001010000000010001000000110000000000,00000000011000111101100101100101001010000101000010000001001011000001100000000100,14,1,0,6.599
0,00000000001101000000011000000001010000101100101000100000100011000111010000010000,01000100001100011111100000100011000010001101000010011000000011110100000000000000,11,0,0,1.155
0,00001010001001000010111000000001110000101110001000110110100111000111010100010001,,4,3,0,17.814
0,10111000000001000010001000001000001000100000001110000000110001001010000100001000,,19,7,0,32.126
0,00111000100001000011001101000100000111100001010000100001110000101100100011000000,,19,14,0,32.115
