node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00111100101100000110000010001000001000011000000100001101110000011110001111001101,,11,6,0,27.147
2,00100100001000000011000010001000001000011100000110001010100010000010010111001001,,15,3,0,33.828
2,00101001100000000100000010000100001000010100000110001011000011001010011111001101,,9,0,0,21.426
2,00110101100000000101000010011100001000001000000110110010110001111110011101001101,,10,7,0,20.068
2,00110001101000000100000000000000001000011100000110000011100011111100001110100100,,12,2,0,26.299
2,00011001101000001111000010011100001000111000000000011111100011111100011111101101,,6,8,0,20.611
2,00110011111001011011000111010001100000011000000000010000000010000000010100001100,00110001101000001001001000001001000000011000000110011011101011011010001111001101,11,1,0,27.353
2,00010001101000000000000010001000001000011100000110000011000011111110001111001101,,9,1,0,29.552
2,10110010111001011001000101010001000000011000010001010000000001100000010110001100,11010010011001111111001010100010010000101000100001011000001010000001100011000111,11,2,0,8.013
2,00100101101000000000000010001000001000011100000010000011100001011000001100101101,,14,2,0,28.231
2,00010001101000000110000000000100001000011100000100001010000001011010001011001101,,13,1,0,22.826
2,00110001101000000100000010001000000000011000000010001011100011011010011111001100,11110111011101101001001011100110000000100000000011000010001110010001000001100110,9,0,0,11.137
2,00100001101000000000000010001100001000011100000110001011000001010000010010000101,,14,0,0,35.735
2,00011001101000000100000010001000001000011100000100000011100011010000001001001000,00011001101010100101000110001001001000111100100100010011100011010000001001001000,14,0,0,25.337
2,00010101100000000100000010001100001000011100000010001011100011111010011111001101,,6,1,0,21.102
2,00111001100010000100000000001000001000010100000110000011100010011110011101011001,10011010111001111101100111000101100000101001010010011000000010100001100110011100,10,2,0,4.916
2,00100101001000000100000010011000011000011100000110001011100000111110011111101001,00101001101010000001111001000000100110000111000011001111010010011111101001011111,9,5,0,20.995
2,00110101101000000110000010000100001000011000000110001011100011000010011111000001,11110011011100101001001011110010000001100000100011010110000110000001100011000110,10,2,0,0.636
2,00000001101000000110000010001100001000001000000110001111100001011010010111001101,,10,2,0,32.713
2,10110011010001011011000111010000000000111000010000110001000001000001010000011100,,10,2,0,23.811
2,00010000001000000100000010001001001100000100010000011011110011001000010011001100,00110011001100100001111011111001000100010100111011000010001010000001000001000100,17,5,0,2.266
2,00111001101010000101000010001101001000011100000110001111100011010000011110001101,,6,4,0,22.55
2,00100001101000000100000010001100000000010100000110001001000011011000011011001101,10110011011101101001001001100001010101101000000001000010001110100011000010000110,11,0,0,19.919
2,00100001101000000001000010000100001000010100000010001011100011011110011011000001,01100001011010001011100001000110100100000100000010000111010010011110101000001111,12,2,0,15.266
2,00000000101000000110000000101000001000001100000110001010100011010000011011001001,10110010011101000001001110001011000001100010100000010000101010010001100100000010,15,2,0,16.451
2,00111001101000000001000000001000001000011100000010000001100011011000000110001100,00111001101000000001000000001000011000011101100010000001101011011010000110001100,14,1,0,0.027
2,00010001101000000111000010001100001000011101100100001000100011001000011001001101,01100010101110001001110101010010000100000010011011000100010010000110101011001001,12,4,0,3.425
