node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,10010000000011100000000000011001000111100000011101000011000100001000000000110000,,20,10,0,33.227
0,00010011000100100100011100101100011100001111000011110000100001000111010100010101,,12,13,0,23.505
0,01111100001001100000000100001100010001110000011110100100110000000111000010100110,,16,14,0,27.66
0,00000010001101000010011000000000010000101010101000100000100111000111110100010001,11000101011100011111100101100110101010100000000010011001000011010010100000001000,7,1,0,11.287
0,10001000101011000011100100000000000101100100000010000010001001000010000001001000,,11,0,0,25.273
0,11000000101011100011100100001100111100100000111110000010111011000110110011000000,,6,9,0,16.77
0,11111000111001000011000100000011000101110001111000100100110000000000000010110000,11000111111100101101000000100011101110110001111000011100100110010000100000110100,17,14,0,19.774
0,00000101000100100100001100000101111000000011110011110000000011000110010100011101,,15,13,0,19.093
0,00000000001001000010011001000000010000101000101000100000000011000111000100000001,,13,0,0,40.997
0,10001000101011000011000100001000010101010100001010000010010001000010010001000000,00100100011100101101010000100010111110000101000010101001000010010101100000001000,9,0,0,16.251
0,01100000100010000000011001100000010000001100000001000100010000010110100100010000,,22,10,0,33.369
0,10001000001011100001100000001100010101100100001010000000011001000010100001011000,,7,0,0,25.611
0,00001010001001000010010001000001000000101110001000100000100111000011010000010001,00000100011100001101110000100111100010001101000010011001001011010100101000101000,9,0,0,1.519
0,01000000001001001000011001001001110000001101100010100000000010000100000000111000,10001110001000010001100000000011111100101111000001011001001011010011000100000000,17,7,0,17.27
0,10001000101011100011100010000100010101010100001010000010011001000010010001010000,01000000011110011101110001010110101010100101000010011101000010010100100010101000,6,1,0,9.783
0,00001101000100100100001100100100101000000110110011110000010011100000000000011101,,19,15,0,19.433
0,10111000101000000011001100001110000111110001001100000001110000100100100000000000,,15,10,0,31.214
0,00001100000110100100001000000100101010000111010001110001110001000010010000011001,,18,13,0,28.561
0,10001000101011000011100100001100010001100100001110000010011001000010100001011000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,4,0,1,0.869
0,10001000101111100011100100000100011101010100001000000010110001000010010000000000,01000101011100011111110000100110101110000001000010001001000010110001100010001000,9,3,0,5.93
0,01010001000000000100110001000101100000010010000000000100010000001000100000011000,,25,11,0,27.197
0,00001100001000010000110111000001010100011111110010110010011001000010000000011001,,16,14,0,21.248
0,01011000001001000010000100001111010101110100001110100110110000000101100110000000,,13,11,0,22.642
0,00100110001001010010001001000001100000001111011000100000100010100111101100100000,,13,9,0,21.022
0,10000000001011100011100100000100010101100100001010000010011001000010000000001000,,9,0,0,31.997
0,10001000001001100010000100001001010111110100011111100110110010000110100010010010,10100100101000011011100110111001000111101101011111010100001010111001101000100000,10,11,0,20.416
0,00000000000000000110011011000000110110010001000000011111000011101001000100010001,,19,12,0,33.333
0,11101000101001100010001101001100111101100000011110100101110000100101100010000000,,13,15,0,19.255
0,00000100000000000000000000000011000000001100000000000000000000000001000000000000,,28,2,0,52.879
0,00000000101011000011100100001100000001110000001110000010011001000010010001000000,,9,0,0,28.248
0,00010010001101000010010001000000000000101110101000100000100110000011010100010001,01000100011100011101100001100011101010000000000010010001001011010000100001001000,8,0,0,0.02
0,10001000101011100001100100000100010101100100001000000010111001000010110001000000,01000100011110111101100010100101101010000101000010011101000011010000100000001011,7,1,0,0.079
0,10001000101001100011100000000100010111010100001000000010000001000010010001010000,01100100011100011011110000100110111010100001000010010011000010010001100000101000,10,1,0,2.216
0,00000010001000000010011001000000010000101110101000100000100110000111000100010000,01000100001010111101100000100011101010000101000010011101000010101000100000001000,10,0,0,19.091
0,00000010000001000010100001000000010000100110111000100000100111000100010000000001,,14,2,0,18.69
0,00011000001001000011000101001101000001110000011000100100110000100101100011100000,,17,12,0,28.665
0,10101000001011000000001000001010101000100000100010001010010000000110001101000000,,20,10,0,31.407
0,00010010001101001010011101001001010000101100101000110010100111000011010100010001,01000100011100111101110010100111001010000101000010011101001011010011100001101011,4,4,0,1.825
0,10000000101011100000100100001000000101100100001000000000010001000010100001000000,,13,0,0,33.937
0,10001000001011100010001100001100111100010000111111100110100011000111000010000010,10001010001011101011001100001100111110110000111111100110100011000111000011100010,13,14,0,2.512
0,11001001000100100000001001100110011000101000110010100010100001000111010100000110,01001001101100011111100110100010001101101001100010001001100111001100101100100100,16,13,0,18.95
0,00000110000100100000001100000000011000001110100011110010000011000010000100011001,,16,8,0,19.904
0,00000111000100110000001110100100110010001110000010110001110011000010000100000101,,16,13,0,25.836
0,00100000001000000001100110000000000000000001011000001011111001100111001100001000,,21,12,0,28.741
0,00010110000001000010101001000001010000100100101000110010100111000010011100010001,,9,4,0,20.808
0,00000010001101000010011001000001010000000110000000100000000011000010000100010000,01000100001101001011110000001001100000000101100000011001000111010000100000001001,14,0,0,15.309
0,10111000101010000011001100000000000111110000000110100111010000000101100010000000,,15,10,0,30.558
0,00000000000111011000111111100001101000000111100000000000100000000111000000000000,,18,9,0,29.35
0,00110101000110011100111001011001100000111110000001010000100001100000010000010000,,16,13,0,23.846
0,11001100001001000000000100001101010101010000011111100100110000000100000010010010,,16,11,0,32.735
0,10111000101001000011000101000101000100110000011010010100111000000110110011000000,01100111011100001101100010100011011000100101110000011100101011111001100001001100,12,10,0,3.593
0,00001010001001000010011001000001010000101110000000100000100111000111000100010000,,8,0,0,23.994
0,00000010001101000010011000000001110000000111001000100000100100000111010000010001,,10,1,0,21.103
0,10000000101011100011000100000100011101110100001010000010001001000010110001011000,01000000011111011101100001100011101110000101010010011101000011010100100001101001,5,1,0,3.063
0,00111000011011100011000100000100010110110100001010010000100001000010010001110000,10010111001100011101100000101011111010000100000010010110001010010000100110111000,11,7,0,25.567
0,10111000101001000011001100000000000011110001000100100100100000100101100011100000,,18,13,0,27.24
0,01000111100110100000001100100101111000001100101010010000100000000010010000110100,,17,13,0,27.804
0,10000000010000100000011000000001100000000011000000001000000000001000000000000000,,27,6,0,49.034
0,10011000101000000011000000000001000100100100100100110010011000000000110011010000,01000110011110000011000000100001101100100010010010011001001111011000000000101110,15,6,0,18.343
0,10001000101011100011100000000100010101000100001010000010010001000010010001011000,01100100011100011101100100100100111010000101000010011011000010010010100001101000,7,0,0,2.871
0,00000010001001000010011001000001010000100111001000100000100111000111010100010001,01000100011100011111100000101101111010000101001010011101001010010000100000001001,7,1,0,17.18
0,10001000101011000011100100001100010101100100001000000000010001000010010001000000,01000100011100001101110000100101111010000001000010001100000010011010101001001001,9,0,0,17.153
0,00001110000001000010110001000001010000100110000000111010000001000011011100010001,,12,5,0,33.981
0,00000000101011000011100100001100010101110000001010000010011000000010110001000000,01000000101100001101110000101111101010010101100010011001000011010100100000001000,8,0,0,0.78
0,00001000001010100010100000000100010001110100000000000000011001000010010001001000,,13,0,0,30.652
0,11010010001110000000110000011010101110010000000001111000010011011001100100011000,11011010001110001011110010011010101110010000100001111000010011011101100100111000,20,19,0,16.297
0,11101100001101100000000000001111000111010101011110100110011001100101100011100010,,12,17,0,16.487
0,10001000001100000010000100000000000000110000001110000000010000000001100010000010,,20,4,0,33.28
0,10001000101011100011100010000000010101110100001010000010000001000000010001011000,01000101011110111101010101100111101010000101000010000001000010010000100001101000,8,1,0,6.612
0,00110100101011100001110010000000000000000011001110001111111001100000000100001100,,17,14,0,25.872
0,00010010001101001010011000000000110000101110101000000000010111000101010100010000,,8,2,0,30.931
0,11001100001001100000000100000101000001110000011111100100110000000101100010000010,,17,12,0,28.246
0,00000100000010100100000000010001100000000111000000110010111001000010010100011100,,20,11,0,33.181
0,10001000101010100011100100001000000000110100001010000010111001000010100100101000,,9,3,0,31.345
0,00000001000110111000001110100101101110001111100011110110010001000000010100010100,,18,19,0,19.412
0,10001000001011100011100000000100000000010100001010000010011001000010010011100000,01000100011100111111100001000110000100100100000010011001000010110000100000011100,11,2,0,15.849
0,00001100000000100000001110100100110100100000001100000000010010000100010100100100,,21,10,0,39.493
0,00001000000001101100010110001000000000000111100010111000000011000000001110011110,,20,14,0,29.011
0,10001000101010100011100100000100010101110100001000000010001000000000010001000000,01001100011100110101110010100111101010000101000010011001000010100000000010001000,10,0,0,2.512
