node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,10001000101010110101011101000101100000101111101010101001110001101001010000011000,,7,3,0,14.731
0,00011000001000010110011010010100010110100100100110101010111010101100100100010001,,8,1,0,11.4
1,00001001001010010111001110110011111111000011110000110101111001100000011000011001,,8,3,0,13.208
1,10011000001001000100111110111010001111101111010111001101110011100001110010010000,,6,3,0,4.913
1,00001000001110010111011110010111101001010111110111111101111101100110001100011000,,6,7,0,13.998
1,00001001001110000110101110100011011011010110110000011101111101100110001000011000,,8,2,0,12.667
1,00001001001110010111001000100011001011010111110001111100011101100001111000011001,,8,3,0,22.283
1,10011000011001000110111110111100001011101111000111000101010011100101100000010000,,7,1,0,10.673
1,00000000001110010111001110100010101111000111110100111101111101100100011000011001,,6,2,0,5.964
1,00001001001110110100001111100001111111010111111000111100011001111010011000011000,,8,6,0,14.093
2,00100000100100010110101010110011101010000011000011100111010010010110110000000110,,6,3,0,10.926
2,01100000010001111000001011100011000111000101100110001111011100101000110100000100,,8,6,0,18.103
2,01100000001001011001001011000111000011000001100111001101000000101000110100000100,,8,1,0,12.89
2,00100000001001001000001011000111000011000001100111001101010001101000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,8,0,0,0.281
3,01000110101000111110110111001011000110101100111000110000110101000111000011011110,,8,7,0,9.982
3,01111010001011010011100000001100001001111101100001000110101101110000011100100010,,7,1,0,6.582
3,01000100111000001110110101101010000010101110111000110000000111001011010011001110,,6,1,0,7.574
3,01110011100011010011100110001100011101110101100001000110101100110000011101100000,,8,4,0,63.088
