node,origami_data,decoded_stream,errors_positions,success,decoding_time
2,00110001100000000100000010001100000000011100000100001001100001001110010001001101,,[],0,31.277
2,00011000101000000000000010001100000000011100000100001010000010011010011111001000,11110010011011101001011010000011000001000000001001000011011110000000000001100010,[],0,0.424
2,10110011111001011011000111010001100000111000010000110000000000100000000010000100,,[],0,20.705
2,00110011101000001001000101000001100000111000010000110001000000000000000100001000,,[],0,37.642
2,00100000001000000010000010000100000001101100101100010011100101111001011111000000,01000101001100100001110001100001100010000011010011100111101010100111100000001111,[],0,0.95
2,00100000001000000100000000001100011000011000001100010111100110110100010100010000,01000100101011110001010111100100000011100101100001000000001111000001001011000000,[],0,1.955
2,00110001000000001000000110001000001000100100001100000011100010011110011110001100,,[],0,33.044
2,00100001101000000100000000000000000000011000000110001010100011010010011101001100,11011011011101101001001010100010000001100100000001000000001010000001000010000010,[],0,7.49
2,00110001001000000100000000001100001000011100000110001011100011110110011110001101,,[],0,30.994
2,00110001001000000100000010001100001000001100000110001000100001011110010101111100,,[],0,25.466
2,00100001100010000101000000001100001000011000000111001011100011011010010110001101,10110001101101011011010111011011100000011010010000110000001010101001000011000100,[],0,5.806
2,00111001101000000100000000001100001000011100000100001010000011000110010110001100,01000011001100011111001010000011010001100000100011010010001110000001000011100110,[],0,22.658
2,00100111011011010100001110110001100000101000010000100000000100100000010110000100,,[],0,30.671
2,00010001100000000100000010001100001000011000000110000011100011001110000111001001,,[],0,27.386
2,00000000000000000000000000001110000000000100000110010001000000010010001100001100,,[],0,44.605
2,00110011101001000011000111000000000000010000010000110001000000100000000110011000,,[],0,32.328
2,00100001101000000010000000001100001000011100000110001011100011111110011101001100,11011011001111111001001011100011000001100000100011010000001110101000100110000110,[],0,0.216
2,00010000001000000100000011001000001000011100000110000011100011111010010111001100,01110011001111111111000011100011000001100001100001000010001110000101001001000000,[],0,5.789
2,00110001101000000000000010001100001000011000000110001001100011111000010111001100,01110011001111101001011001100010000001100110000001100010001110000010000011000110,[],0,0.434
2,10111010101001110011000111010001100000111000010000110001000000100000010011101100,01010111011110111111001011100011000001100000100001000010001110101011000111011000,[],0,0.427
2,00100001101000000100000000001100001000011100000010000011000011011010011111000100,11010001001101101001010011001011000000110000100001000010001110010101000010000110,[],0,0.984
2,00000101101000000110000010000100001000011100000100001011100011110010011111010000,11110110001111001001001011100011000001000000100011000010101111000101100000110110,[],0,10.621
2,01111101001000000100000010001100001000011100000110001010100011011000010111001101,01110011011101100111101010100011000001100110100011100010001110000001000101110100,[],0,0.782
2,10110011001000001010000101010001100000110000010000010001000011100000000110001010,,[],0,25.772
2,00111101101000000100000110001000011000010100000110001010100011001110010111001100,01110011011100111011011010101001000001100101100001000111101010010001000011110110,[],0,19.847
2,00111001101000000110000000001100001000111100000110000011100011011010010111001100,,[],0,19.799
2,00000011100110101000000100100101111010001111010001110001110001000000010100011101,,[],0,23.814
2,00100101001000000010000010001100001000011000000010001011100011011110010110001100,01100011001111111001001011100010000000110000100001010001001110000001100011010101,[],0,14.52
2,00011111001000000100000010001000001100011100000110001011100011111100011111001100,,[],0,27.116
2,00110011100000000110000010001110001000011100000100001011100010011110010011001100,00110011001001111001001011100011011001001000100011001010001110010001101011001111,[],0,7.521
2,00110111101000000100000110001100011000111000000100011011100001001110010110001100,,[],0,25.593
2,00000011001100000100000010001000001000011100000000001011100011011010001111001100,,[],0,24.256
2,00110001101000000100000010001000001000011100000110000001100010011010010111001000,01110011001001101111100001100011000001100000100001001011001010000011000011000110,[],0,0.292
2,00110001100000000110000010001100001000011100000110000011100001011000010111000101,,[],0,30.992
2,00110110111000110001000110010001000001111000010000110001000001100000010110011100,11011011101100111001011001100011100000101000100011001010001110000001100011100110,[],0,0.03
2,00110100101000000100000010001100001000011100000110001011100011010010010111001001,01110010011111001001000011100011000001100100100001000010001110101011100111010010,[],0,5.543
2,00101100000000101110000001110000000101100100001000110100000110000001000100101000,,[],0,23.348
2,00110111101000000100000010001100001000011100000110001001100001111000010111001000,,[],0,31.546
2,00010001000000000111000010000100000000011100000110001011100011011000011111001100,00110011111010111011000111010001100000111000000110100001000011101000000010001100,[],0,1.514
2,00110001101000000110000010001000001000011100000010001011100011111100010111001100,01110001001111110001001011101011010000100100100001001011001011000101100011000110,[],0,7.474
2,00110011111001010011000110011001100001111000010000001000000001100000000001001000,11110011001100111001011001100011100001100100110001110000010010010101100001001000,[],0,10.147
2,00010010101001011010000011010001101000111000110000010001000001100010000111000100,,[],0,30.262
2,00111110110000010110000000010000000100110110010100001111001001000000010010010100,,[],0,24.883
2,00110001100000000100000010001100001000011100000110001011100001011110010110101101,,[],0,25.307
2,00111001001000000100000000001000001000011100000100001011100011011100001100001100,,[],0,30.321
2,00110001101000000100000000000100000000011100000110001011100001011110010101000100,,[],0,35.439
2,00011000001000000010000010001000001000001100000110001011100011010110011111001000,10110010001101011001001111100011000001110000100000010110001010100010100001100000,[],0,2.326
2,00100001000000000100000010001100001000011100010110001001100011011010011111001100,,[],0,28.278
2,00110001001000000100000010001100001000011100000100001110100000011010010101001100,,[],0,33.816
2,00100101101000000000000000001100001000011000000000001011100011010000000110001100,01100011011111000001001011100010000000000000100001000000001110101000000000010111,[],0,4.4
2,00111001100000000100000110001000001000010000000110001011100010010110010011001100,00110011001011111001001011100000010001100100100001000110011011000001001011100110,[],0,3.165
2,00111100001000010100000010000100001000010000000110001010100011011000011111001100,11110011001101100101001010101010000000100000100101000010100110001101000011110100,[],0,16.267
2,00110001101000000100000010001100001000000100000110001011100010001110010101001100,00010011001000111001101011100011000001101100100000010010001110000101000011000111,[],0,2.738
2,10110001101001001010000111000000100000111000010000110001000010100000000110001000,10110001101001001011001111000100100000111000110010110001000010101000100110001100,[],0,4.726
2,00011001101000000100000000001100000000010100000100000010100010011000010111000101,,[],0,37.384
2,00100001000000000100000010001100001000011100000010001010100011011010011110001100,,[],0,29.851
2,00000110001000100011100010000100000001101100010000001011100111011011000111000100,00000110001010111011100010001110000011101100000000001111100111011011000111000100,[],0,1.856
2,00010001001001001011000101000001100000110000000000010001000000100000010110001100,00100110001111001001000010100011000001110000000010000011001010001001000011000010,[],0,6.569
2,00101001100000000100000010000000001000011000000100000011100001011000001111001101,,[],0,33.004
2,01011011110001101111010000010000000000111100010000011001000001100000100001111000,,[],0,18.873
2,00110011000000010010000111010001100000111000010000110001000001100000010110011000,,[],0,29.2
2,00111001100100000101010010001100001000011000000110001011100001011010010100001100,00111010101101011111000011010001100000011000011000110001001010100000101110011100,[],0,19.09
2,00010001001000000100000000001000011000011100000100001011100000010000010101001101,01010011011001010001001011110011000001000101100001100100001011010001000001000100,[],0,1.947
2,00010001100000000101000010001100001000011100000100001011100011011010010011011101,10111011001001011011000111100001100000111110010000110001000010100010100110001001,[],0,5.427
