node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,10111000101001000011000100000101000001100001011100100000110000100000100011000000,,16,9,0,22.07
0,11010001001000000000010001101001100000010110000000010010010100000010010010001000,11100010001000101001010010010101100000100110000001010001101011000100001101100100,20,10,0,18.164
0,01001000000100000010011000001000110100000000000001111100000000001000100100111010,,21,11,0,35.935
0,10100000001010000010000100001010001111010000011110000100110000000100000010110010,,18,11,0,26.126
0,00000100011011011001011011000000000101100000110110001111111001100001000000001100,10001001001011101101000011011001101000000110110010011111010010101011100011000100,18,17,0,8.98
0,01001000001011100011000100001101011100010100011111100100110000000110000110000110,,13,13,0,13.907
0,00001101000101100111011100000101111000001110100010100010100001000110010100011111,,10,13,0,17.523
0,11010000001101000010110000001000110110000011000000000110001101100100010010001100,,19,14,0,30.354
0,10001000101011000010100100000100010101110100001000000010011001000010100001001000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,7,0,1,13.595
0,00110001100001010110011111110001100111000100100000000001000010000111000100101000,,17,15,0,19.896
0,10000000101001100011100000000000000101110100001010000010011000000000010001100000,01000000011100111001000010100111101000000100010010011001000110000000000000011001,12,1,0,13.188
0,00001110000100000000001100000100111000000111110001100001110000000000000100011101,,18,11,0,22.216
0,10000000101011100011100101000100010001100100001000000010010001000010010001000000,01000000011100111101100010101101101000000001000010001001001010011000101000001000,10,1,0,3.756
0,10001000101010100010000000001100000111100100001010000010000001000000110001001100,,11,2,0,31.571
0,10001000001011000011100100000000010001110000001010000010011001000010010001110000,00000100011110001101000000101111110010000101100100011001000010010000100010110010,9,1,0,5.559
0,00001000100011010010010010000000001100000000110110001011111001101001000000001000,,19,12,0,28.9
0,00000000001101000010011001000001010000001111001000100000000111000001010100010001,01001100011100100111100010000111110010010101000000011001001011010000100001000010,10,1,0,9.592
0,00100010000000001100110011100011010000011100100000000000000100001011001001110000,,20,12,0,27.328
0,10001000101011100001000100000000000100110100011010000010011001000000010000001000,11000100011000011101010000101011011000000101100010011001000010010010100001101000,11,1,0,3.338
0,00001110000100100100011000001101010000001110100010100000100001000010010100000101,,14,7,0,30.594
0,00101000000110100000100000100000010110010100000111000011110001000010000000001000,,17,7,0,24.064
0,10001000101011100011100000000100010001110100001010000010011001000000000001000000,,9,0,0,34.977
0,10001000000011100010000100001010000000000000010110100100010000000101000010100010,,21,9,0,25.72
0,00000011001001000000001001001001010000001111000010100010100001000010010000010101,00000111011100001001100010101011110000100101010000000001001010010000100000001100,15,6,0,12.652
0,01000011000100100000001110101100110000000100100010100000100010000011010100011001,,16,10,0,29.764
0,00001110000000001000000001000001000001110110100100010100001010010000000100000001,,20,8,0,34.748
0,10001000001001100011100000000100010101110100001010000010111001000010110001000000,00001100111101011001110000000111101010000101000011011101000011110000100000011000,7,1,0,23.776
0,10001000100011000001100100000000011100010100001010000010010001000010010001010000,,11,1,0,24.822
0,00001110001001000010011000000001110000101111101000000000100111000101010000010000,00100101001100010101000000101111111010100101100010011000001010010000100001111000,8,2,0,13.808
0,10001000001011100011100000000100000110110100011110000010010001000010100001110000,,8,3,0,22.796
0,00000000000000001011000100101010010001000110000011100001100011000110000010000000,,22,11,0,31.283
0,10001000101010100010100100001100010101100100000010000010010000000010110001001000,01000100011110110101110000100101100010000101000010001001000011111000100001001000,8,0,0,3.855
0,10111000110110110001000010000000010000000011000100111111010001000101000100011000,,19,16,0,24.703
0,00000010000110100100001100000100101000000111100000110001110011000010000100011101,,16,11,0,28.972
0,00001010001101000010011001000001010000001110101000100000100011000011000100010000,00001000001101011011011001000001010000001110101010110000100011000011000100011000,8,0,0,2.216
0,00001000000110100000001100000100010000001100100011100000000011000000000000010100,00000101001101000001110000000011001000110001000000101100001111111000000000100100,22,8,0,16.086
0,11101000101011000010001110001100110101110000000110100000110000000100100011000000,,12,9,0,24.844
0,10111000100001000011000000001111000000110001001100100000110000000100100011110000,,16,10,0,29.745
0,00000111000100100100000000100100110010001001100010100000000011000010010100010101,,18,10,0,24.668
0,00010010001101000010001001000001010000101110101000100000000111000111010100010000,01000100001100111101100000000111101010000101010110011011001011110000101001001000,6,0,0,0.297
0,00100010000010100000001110000001100000001000000000110000000011000000001100001000,00100010001010100011011010000001110000001001000000110000010011000000001100001000,22,7,0,16.152
0,00001100000001110000100011000010010000010111100111110010010001000000000000011001,,18,12,0,28.626
0,01000100001100000000010000000011100000110001100110000000011000000010000000001000,,23,9,0,31.05
0,10001000001011100011100100000100010100110100000010000010011001000000100001000000,01010100011100011101100000100111010010000110000010011001000011000010100010001000,9,0,0,2.33
0,10101000101011000011001100001011000011100000011100000100100000000100100010000000,01000101111100001101010000110001110000110011101001000100101011011000001000000100,17,10,0,0.056
0,00110000101001000011001101001110000100100001001100100000010000100000100011000000,,17,9,0,31.297
0,00000010001101000000011001000001010000101110101000100000000111000111010000010001,00010100011101011111100001000111101010000101000010011001000011110110000100001000,7,0,0,1.973
0,00000010001101000000011001000001010000101001101000100000000111000111010100010001,10000110011101011101100000000110011010001101000010011001000011111010000000001000,8,1,0,26.223
0,00000000101111110000100000000000001001100011000110001111110001100010000100001000,,17,11,0,23.066
0,10001000101011000011000000001100010101110100001000000010011001000000010001000000,,9,0,0,27.929
0,00000001000111100000001100000101111000001110100111110011000011000011010100010101,01000101011100001101110011100001101001110111101000011100000111111100100000001100,12,12,0,6.646
0,01111100100100100000011100000100100000000000001000111000000100000000001101000010,,21,11,0,38.529
0,10001000101010100010100100001000000101110100001010000010011001000010010001001000,10010010001100001101000010011001000010100100010111000100001010111110101000100010,7,0,0,9.099
0,00111000110010110001000010000000000011000010111110111111110001000000000000011000,,18,15,0,23.276
0,00011000100000000011001110010000100000000000010000000000000101000110000110011100,00111001101011100011100000100000001000000000000110001001111011000000001100011000,21,9,0,18.885
0,00011100100111000000001100100000110110101101000011000100000110000011000000110100,,17,13,0,26.884
0,00010010001101000010011000000001010000101111100000100000000111000111010100010000,,7,1,0,29.728
0,00000010001001000010011001000000110000100111101000110000100111000111010000010001,00000100011110011101110000100111111010000011000011111101100010011010100000001000,6,1,0,6.04
0,00000010001101000010011001000001010000001110101000100000100110000011010000000000,00000000101000101101110100100111101010110101000000010001001011010000100000001000,10,0,0,19.91
0,00000001000110100100001100100100101000001101110001110000000001000011000100010101,,18,12,0,26.329
0,00111000000000100000100110000110010000110001100110110011110001000110010000010000,,16,11,0,29.188
0,00001110000100000000001101001001110100001110000010100000100011000111010100000101,01000001011100011111100000100011110000100111100000001101001011000010000100111010,11,6,0,4.959
0,10100000000000000000000100000000000010000000100100010000001100000000010010000000,,27,6,0,46.48
0,00000001000101101000011000001000010000001110000010100000000011000010010100001101,10110000111001000011010000000101000111110000001010010000011011011110100010000000,17,7,0,2.817
0,00001001000100100100001100100100111000000110000000110000110001000000000100011101,,18,10,0,22.887
0,00010010001001000010001001000001010000100000101000100000100111000101010100010001,01000100011110010101100000100100001010000101001010011111000110110000100001001000,9,0,0,18.74
0,00001011000100100000011100001001010100000101100010110000100010000000000000011101,,17,9,0,31.46
0,01100001000010100000001100100101001000001000100000100000100001000011010000010001,,20,9,0,32.764
0,00011000101001000011000101001100000111110000101110100000100000100100100001000000,,14,8,0,21.719
0,01100110000010000110001001000001100000100111001000111000100101000011011100010001,,11,8,0,28.151
0,10001000001011100011100100000100000101110100001010000010001001000000010001001000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,8,0,1,6.93
0,10001000101011100011000000000000010000100100000010000010011001000010010001001000,01000101001100111111000000000001000010000100001110011101000010011000100001001000,11,0,0,7.318
0,00001010001001000010011001000000010000101110101000100000100110000111010100010001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,6,0,1,0.635
0,01111000000001000010100001000001110000000111101001011000110101000011100110001000,,13,10,0,27.442
0,10001000111000100001100100000000010101110100001010000010001001000010110001001000,11000100011000010011000000111111101110000101000010010001100011110000100001111000,8,1,0,17.943
0,10001000101011000001100101000100010101010100001010000010011001000010010001000000,,8,1,0,21.263
0,00000000000100000000000100000011111100001000000000110000110101000111010000000001,,17,5,0,33.243
0,00001000000001100011001100101100110000100000010000000000001001000001110000011011,,16,7,0,19.414
0,00000000001011100010100100000100000000010100001111000010100000000001000000000010,,18,4,0,38.414
0,00011010000100000010010001001000010000101110101000100010100011000001010100010001,,9,2,0,27.558
0,00000100101000010000000000000000101000000110100000000000000101000010000000000000,,24,4,0,38.954
0,00000001001100000000011001000001000000100110101000110000100001000001000100010000,,14,1,0,31.301
0,00100001001001010001000000000001000110000100000001100000000000010000000001001000,,25,8,0,31.649
0,00000101000100110000001010000100110000001111110011100001000001000100010100000101,,18,12,0,23.887
0,00000010001001000010001001000001010000101100101000100000100101000111010100010001,01010100011100011101100000101111001010000101000010001001001011010000100000101000,8,0,0,5.069
0,10000000101011000011110000000100000100110000001010000010000001000010010001011000,01000000011100001101110000101111011000000101001000001001000010010001100000101010,11,1,0,25.566
0,11010000100010000000010001101101110000000011000000010110000100000101000001001100,,21,13,0,25.037
0,00100100000011100000100000011000001001100000100010110010010100001111000000011000,,22,14,0,27.782
0,00000000001100000000000001000000100000000110011001000010110000010110000000000000,,22,5,0,41.49
0,11110001000010000100110001100000100100010011000000011010011001001010100010011000,,19,15,0,26.287
0,00000000000110000100001000000011000100100111000000010011111000000111010000000001,,19,9,0,30.625
0,11000000001110000000011000100001110000000001000001011110001100100100000000001100,,22,13,0,32.062
0,00000000000001001000011001001001010100001110100000100010100010000000000000001000,,19,5,0,25.429
0,00011000100000000011001100111000100111000010011000000001000001001100110100011101,,18,14,0,24.239
0,00001010001101000010011001000001011000100110101000100000000111000110000100010000,,8,1,0,27.829
0,10001000101011100011100001000100000101010100000010000010010001000010010001100000,01000100011100111101000010001110101000100100000010101001010010010001100100011000,10,2,0,5.246
0,10001000101011000011100100000100010100110100001010000010011001000010010001010000,01000100011110111101100010100111001010000111100010011001000011010000100000101000,6,0,0,0.578
0,00010010001001000010011101000001010000101110001000100000100100000111010100010001,,7,1,0,24.446
0,10110100111000110000000000000000011100000010101100010011110001000100000000011000,,19,12,0,22.631
0,10001000101011100001100100000100010101000100001010000010011000000010010001001000,01001100011000011111110000100111001010000101000010011001000010010000000001001000,8,0,0,3.715
0,00001110000000001000000100001001000100000110000010111110100010000010011100011101,10111000111001000011010101111101000001100000100110010000101010011001000001110100,18,12,0,10.533
0,01001101000010100000001000100110100000001000101010110000100001000111010000000101,,17,10,0,28.88
0,00010000000000000010000000000000010100000000100100000000000011110000111000000000,,25,6,0,41.366
0,01100001000011100101001100100111111000001100111000110000100001000110010000010100,,15,14,0,26.232
0,00000000000000000000000000000000000111101001011110000010110000001000000000000000,,24,6,0,44.976
0,10001000101011100011100101000100010100110100001010000010111001000010010001010000,01000100011110111101100010100111001010000111100010011001000011010000100000101000,5,2,0,0.022
0,11111100000001000001101100001100000000110011010110000001000001000010000110000100,,18,12,0,30.459
0,00100010000000000010011000000001110000100111101000100000100100000011010100010001,,11,2,0,39.71
0,00001001000110100100001100000100000000001111100010100000100011000000010100001101,,18,10,0,30.533
0,00010010001101000010011000000001010000101110101000010000100110000110010100010001,01101100011000011101011000101111101010000101000010011000100011111000100001001000,6,0,0,0.289
0,10010000101001000010000000100000110000000000000000110000000100100000000000001100,,23,6,0,40.822
0,00011100000000000000000000100000000100100000000111000000011000000000100000000010,,24,5,0,33.117
0,01001001000010100001001000100011100000001000100000110000100001000101010000010001,10001000001010100011000100001100000101100100000111000100010010010101000011010011,17,7,0,14.069
0,00001000000000000011000100011100011101000110011000000010000000000000000000000000,,20,4,0,37.679
0,10101000000001000011001000000111000111110001101100100001000000100101100011110000,,17,14,0,30.855
0,10111100101001000001000101001101000101110000000110100100110000100100100010100010,,15,13,0,20.675
0,00001010001001000010010001000001000000100110101000100000100010000110100100010000,01100100011000011011110000110001101010100100000010010001000010010110100000101000,12,1,0,13.961
0,00011010001001000000001000000001000000101010101000100000100111000110010100010001,01000100011100011101101010100110101010000100000010001000000110011001000001101000,9,0,0,2.81
0,00000000000010000010010000010010110010010101000000001001000100000010100000100000,,25,10,0,36.492
0,00011100000000111100110110000010111100011101110000100010100101000011010000001011,,16,17,0,22.778
0,10000000101001100011100100000000010101100100001010000010011001000011000000010000,,10,1,0,26.497
1,11001100101000101111000000100000100110000011010000001000110100010000101001000000,,10,0,0,30.724
1,11001110001000111111000000100000001111000011010000001000111100110000111001000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,8.423
1,00000110011000001001111000010000001010000001010100000100000001111000010101110011,10011001001011100011001000011100010101100010101100000000100010000111101100111010,10,1,0,0.985
1,00000000001100001000111100000000101010100001010000000100000001111000010001100000,00001000001111100001000100000000010100000010111010111101010011100011000000000000,15,0,0,29.898
1,11001110001000011111000001100000101110000101110100001000111000110000111001000000,00011100111111100001011110001000011101100011111010011101011011100011000000001001,6,2,0,8.711
1,01001110001000011011000000100000001111000010010100000000110110110000111001000000,,10,1,0,19.069
1,00000110011100001100011100110000011111100011110100000100000011011000010101110011,01011101111101110001000101000000111101100001111110011100110011100011100010011001,4,3,0,0.281
1,00000110011100001100111100110000101101100011110100000000000010110000010101110011,11011100111011110001000000000001111101000010110110111110111011000011001000011011,5,2,0,12.487
1,11001110101000011111000000100000101111000111010100000000111110010000111000000000,,5,1,0,20.769
1,01001100101000011111000000000000101110000111010100001001110110110001111000000000,,8,3,0,23.903
1,11000110100000011111000000100000101111000101010100001000111000110000111000100000,,6,0,0,12.857
1,00100000001000000000101000100000000100000011000001000010000000100000000010000110,,29,7,0,32.223
1,11000110101000011111000001100000101100000000010001001000111110110000010001100000,,10,3,0,24.131
