/Users/Tanmai/Downloads/encoded_data.csvLine number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100011010110111101010111001101001010101011011011010010110100101100001100000,1,[63], ,1,[(6  3)],0,0,01000100011010110111101010111001101001010101011011011010010110110101100001100000,01000100011000010111010001100,0.001
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100011010110111101010111001001001010100011011011010010110110101100001100000,2,[43, 32], ,2,[(4  3)  (3  2)],0,0,01000100011010110111101010111001101001010101011011011010010110110101100001100000,01000100011000010111010001100,0.002
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100011000110111100010111001101001010101011011011010010010110101100001100000,3,[12, 22, 59], ,3,[(5  9)  (1  2)  (2  2)],0,0,01000100011010110111101010111001101001010101011011011010010110110101100001100000,01000100011000010111010001100,0.003
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100010010110111101010111001000001010101011011011000010110110101100001100000,4,[54, 34, 32, 10], ,4,[(1  0)  (3  4)  (3  2)  (5  4)],0,0,01000100011010110111101010111001101001010101011011011010010110110101100001100000,01000100011000010111010001100,0.003
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100011010110101000010111001001001010001011011011010010110110101100001100000,5,[32, 41, 20, 18, 22], ,5,[(2  0)  (1  8)  (3  2)  (2  2)  (4  1)],0,0,01000100011010110111101010111001101001010101011011011010010110110101100001100000,01000100011000010111010001100,0.005
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100011000110101101000111001100001010101001011011010010010110101100001100000,6,[59, 34, 12, 18, 45, 24], ,6,[(3  4)  (5  9)  (4  5)  (2  4)  (1  2)  (1  8)],0,0,01000100011010110111101010111001101001010101011011011010010110110101100001100000,01000100011000010111010001100,0.009
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100011010010111101010110001000001010101001010001010010110110101100001100000,7,[28, 32, 14, 49, 45, 34, 51], ,7,[(4  5)  (7  7)  (3  4)  (2  5)  (2  8)  (3  8)  (5  8)],0,4,01000100011010010111101011111001001001110101011010001010011110110101100001100100,01000100011000010110010001100,0.009
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
0,01000100010010110101101010101001100001000101011011011000000110110101000001100000,8,[34, 27, 68, 39, 10, 54, 57, 18], ,8,[(3  9)  (1  0)  (3  4)  (2  7)  (6  8)  (5  4)  (1  8)  (5  7)],0,0,01000100011010110111101010111001101001010101011011011010010110110101100001100000,01000100011000010111010001100,0.016
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
Line number in file, origami, Induced Errors, Errors Positions, status,error,error location,orientation,decoded index,decoded origami, decoded data,decoding time
