node,origami_data,decoded_stream,errors_positions,success,decoding_time
0,01010100001101000001000000000101010000010100001110100010111000000001100011010010,,[],0,23.537
0,10001000101011000010100000001000010000110100000000000010010001000000110000000000,,[],0,30.101
0,01101101000010100100011100000111111000001000101000110000000001000111010000100010,,[],0,28.017
0,11010000001010000010110001001001101100000010000000111000001010001011000100011000,11010010001010100011111001001001101100000010000000111000001010101111100101011000,[],0,0.045
0,00000010001101000010011001000001010000100101101000100000000111000011010100010000,,[],0,24.937
0,10000000101011000001100110000100011110100010001110000000001000100000000000000000,,[],0,33.552
0,00000010000110010000001100100101110100001110100010110010100001000010010100010100,,[],0,24.88
0,01001000000010001000000110011011010001101000001000110000010101000111010000010010,,[],0,15.907
0,00100000001000000100110001011100100000010010000110111010011000001011100100011000,,[],0,22.142
0,00000010001101001000011001001011010000001100001001100010000010000110100000100000,,[],0,31.983
0,00000000001001000010011000000001010000101110100000100000100011000001000100010000,,[],0,28.709
0,01000000101100000010011001001000110000010010000000110010011000000010100000011000,,[],0,39.566
0,00101100100011110010001110100101111000001100110001110000000001000011000000010000,,[],0,20.483
0,01010000001010000000101000000000101100000010000011111000001100010011001000111000,,[],0,27.119
0,00010000100001100000000010010000000000000110001100010000000000000001000000010110,,[],0,42.764
0,00000010000001000010010010000001110000011111000100001110000010000100000000010001,,[],0,32.54
0,10000000011000000100110001000001101000100110000000001100010000000000000000010000,,[],0,30.042
0,11111000001001000011000100001111010001010000101010110010111000000101110011010000,01000111111100001001110001100010110010110101010000011101001111111000000010101101,[],0,21.946
0,00010000001101100010011101001000011010101010101000101000000101000100010000010000,,[],0,18.97
0,00001110000000100010011001000001010100001110000000100000100000000010010100010000,,[],0,31.514
0,01000000000001000000011000000000000000001000000001110000000010000000010000001000,00010000011100000011000000001110100000010000000010000000011010000010100001000010,[],0,11.15
0,00000010001001000010011001000001010000101110100000000000000011000111000000010000,,[],0,33.548
0,00000000101011100011100100000101010001110100001010000010000001010000010001000000,,[],0,25.949
0,10111000000001000010001000001000001000100000001110000000010001001010000001001000,,[],0,28.007
0,00111000000000100110000001110000001101110100000010001010100000100000100000010000,,[],0,27.027
0,10000010001100000010011001000011110000011101000001100000000011001110101000100000,,[],0,22.167
0,00001000001011000000100100000000010100010100001111000010110000000001100001001010,,[],0,27.684
0,00110000000010000010011110110001110010000110000000000000000110011101101100001000,,[],0,26.636
0,00000000000010100100011100100101110100001110000010110000100011000010010100011101,10111001101101000011100100001101010001110000101110100100111010111101100000000000,[],0,11.835
0,10101000000011000010101100011000000010110000111000000000100000001010000100001000,,[],0,28.182
0,00001000000000000000010011000001000000000110000110011111110001011111000111000100,,[],0,24.498
0,00011000100000100011000101101000110111000010011000000001000001000110110000011100,00111000001101100111000110000000011001000011101100010110110011001110100101011000,[],0,4.801
0,00011000100011000011100000000100011101110100011000000010111000000010110011000010,,[],0,30.87
0,00011100010100100001100100000111100011110000000110010010011000000010010001000000,,[],0,23.791
0,00001110000101100010011001101001110000000110101010100010100001000011010100010011,,[],0,21.2
0,00000110001101101000011000001000010000001110000000100001100111000010001100011100,00000110001101101011011000101110010010001110000000100001100111100010001100011100,[],0,3.872
0,00000000000000001000101100001010010000000000001010000010000000000110000001100000,,[],0,39.37
0,00001000101100100010101100001100011011110100011000000110111001000110100010010000,,[],0,24.668
0,01100011001100000001110000000110010000000000000111000000011000000111000000111100,,[],0,27.522
0,00100001001000100100100000110000000011000001101110010000001001000010110000011010,,[],0,29.115
0,00000010001100000010111001000001010000100010001000100000100011000110000100000000,,[],0,25.524
0,00001000000110100001001100100100000000001110011011100000000011000101010100010101,11101000111010100011010000000111011001110000000001100101110010000111100010010010,[],0,15.887
0,00001011000100100100001101101101100000001111000011110000110011000011010100011111,01000111111110001101110110110111110000110110000010001101111111001001000001101100,[],0,0.948
0,00010011000100100100001101001101100000001110100010100011100010000010010100011100,10111000111001010001000111000101100101110000000110110010110010101110101011001000,[],0,16.146
0,00011010001101000010001001000001110000001010101000100010100111000111000100010000,,[],0,23.23
0,00001000000011100010000100001000000100000000001111000100110000000011000010000110,,[],0,33.501
0,00001011001101001000010000001001000100001011000011100010100110000010000100001000,,[],0,30.468
0,00001010001001000010011000000001110000101110001000100110100111000111010100010010,01000100101110111101100110100111110110111111000010011000000010010000100000101001,[],0,24.288
0,00011010001001000010011000000001010000101110001000100000000111000011010100010000,01000100001100001101110100000111100010000101000110111000001011010011100001101000,[],0,19.842
0,00000000010011100000110110100000000010010000011001000010111100010100100011000010,,[],0,30.705
0,00000010001101101100001000000010110000001111000001100100000010000100001000101000,10000010001101111101001000000010110000101111001001110100000011000100001000101001,[],0,0.042
0,00000010001000001010011001000001010000101110101000100000100101000111010000000000,00010000001101110011000010011101001010101001010111100100000110111000100000100000,[],0,3.96
0,00011010001000000010011001000001000000101110000000100000101011000111000100000000,,[],0,29.252
0,00010010001101000010011001000001110000001111101000100000101011000111000100000000,,[],0,22.158
0,00010000001001000010011001000000010000101110101000110000100111000011010100010000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,[],1,30.594
0,00001010000000010000010111011011011000000000010000000011000001000111000000001000,,[],0,36.574
0,11111000101001000010000101001101000101110000001110100000111000100101100011000000,,[],0,24.203
0,01000010000101001000011001001011110000011111110101100001000010001100101000111000,,[],0,19.835
0,11010000001010000110110001000000100100000010000000101000011000000010000100010000,,[],0,32.72
0,00000010001100101000011100001001000100101100100111100011100010000100001000011010,,[],0,30.244
0,01001000001000000000010000001001101100001110000000100000000000010001001100100000,,[],0,28.66
0,01110100000101100000000101000101000100110000000011000010111100100000110011100010,,[],0,27.764
0,01011000000110000000011000001000101100101010000000101000001000000011001100110100,,[],0,27.24
0,00000110001000000000011000000001010000101110101000100000101011000011000100010000,,[],0,36.17
0,00000000000101000000011001000000010000101110001000110000100111000110010100010000,,[],0,36.321
0,00011000000001100000000110000000010000000001000011100001000000000110100100110000,,[],0,31.091
0,00101000100011000010100001001100000100100100001000000010011001000010110001000000,,[],0,37.062
0,00000010000101000000011001000001110000101111101000110000100011000110000000010000,,[],0,29.014
0,01000100000010100000001111100111111000001000111010110000100001000110010000010110,,[],0,26.193
0,00000001001100110000111100000011011000000001000100000010110000011110001000100100,,[],0,27.735
0,10101000100001000010001100001111000011110000010000000001110000000100100010100000,,[],0,26.987
0,00001000000011100011000000000100010101110000001000000000011000000010110000000000,,[],0,33.245
0,01110000000110000010011000000000100000000111000000010110011000000010100110011000,,[],0,64.241
0,00000000000000000000111100000000110000100011110000010010000000000000000000000000,,[],0,138.047
0,10100010001100000101110011010011001000100110000000111000010010000010000100011000,10110110001110010101110011110011001000100110000000111010010010100010000100011001,[],0,314.609
0,01101001000011100000001000100111100000001100100010110000100011000011000000110000,,[],0,20.262
0,00011010001000000000011101000000111000010111100000011011000101000111100000001000,,[],0,955.848
0,01011100000001000001010100001100000100011001000111000000010001000011000111001100,,[],0,28.688
0,00110100010000100001100100000110000011110000001110010000011000000110010001000000,,[],0,38.06
0,00010110001101001000001001011000110000011110000001100001100110000110101000111010,,[],0,1002.998
0,00001010000101101000011100001000010000001010000000000100000110000100001000100010,,[],0,26.483
0,00011000001001000010011001000001000000101101101000100000100010000011000100010000,01000100001101001101101100100011011010000100000010011001010011010100100001100000,[],0,3.3
0,00010010001101001000011001001011010000001110100110000011000110000010101000101000,,[],0,24.502
0,00100001100011000010100110001000010100110000011010010100011001101000000000110001,,[],0,27.472
0,00010010001101000010001001000001000000000110100000010000100101000111010100010000,,[],0,29.208
0,00001000001011100010100100001100101000011100001110000001110010000101000010110010,,[],0,421.771
0,01000000001010100011100100001100010100110000001000000010000001000000110000000000,00000001101100010101110000100111001010000101011000000011000011000010100000101000,[],0,12.342
0,00001101000110100100001100100101110000001100101010110001100001000011010100010001,,[],0,18.642
0,01101001000001000000011000001101110110100000000000111100000100001001010101011110,,[],0,32.247
0,01101000000111000010001000100100010010011001000000101100000100000100010010000100,01010101101101001111100110010011010010000001001001100000110110001000000010000100,[],0,28.406
0,00000001100110000000001100100100111010000110110011000010100011000000010100010100,,[],0,26.818
0,01001001000011000001011111000010000000101000001000110000100100000111010000000000,,[],0,29.102
0,00000000000000000000011010000000011000000001000000001100100000000000000000000000,,[],0,445.846
0,00001100000001000001100110001100010010100000001100000000000000100100011010001110,,[],0,33.383
0,10000001000000000100110001001101101100010010000000011000011010001000000010011000,,[],0,24.579
0,01010000001011000110111001001000110100110011000001110000010000000011100110011000,,[],0,24.369
0,00000010001101001000011001001001110000011101110111100011100010000000101000101010,10001010101001000011100011100011011101111111000001011001101011011011100001001000,[],0,1.181
0,00000000001011000010001100001100000000010000001110000000010000000100000010010010,,[],0,42.487
0,10100010011000001100100010010001101000100010000000111100010000000011000100010000,,[],0,24.602
0,10110000101011000011001100001010000111100000001100100001110000100100100011000000,,[],0,29.16
0,10110010001010000000110000010011001100000110100000110000000011000010000001010100,,[],0,25.131
0,01011001000110000000111000001001101100100000100010111000000110010001000101000110,,[],0,18.847
0,00010010001001000010011001000001010000101100101000100000000011000111000000010000,,[],0,28.693
0,00001001100110100000001100100101111000001111001010000000110001000010010000010000,,[],0,31.216
0,00000000001110000000100100001100011100010100000111000010011000000011100010000010,,[],0,31.689
0,01001001000110100100001100100101111000001100111001100000100001000010010000010000,,[],0,29.105
0,00000110000100100100001100001000010010001111100001100010100011000010000100011100,,[],0,33.607
0,00000000001001000001100000100000000100000011001000000000110010000000000000010110,00000000001001100101101000100000010100010011101000000000110010000000100000010110,[],0,11.319
0,00010010001001000110011111000000110001101110111000100000101011000111000100010000,00010010101001100111111111000000110011101110111000100010101011000111001100010000,[],0,6.237
0,01100001000111000001001000100000100100011100011100110000100101000111010000010001,,[],0,23.107
0,00000000000000100011000010000111000001100110111000110111100111110011010000000000,00101000001011011111100111101101011101101110010011100001000011000100100000001000,[],0,7.45
0,00011010000001000010011001000001010000001110111000100001100011000011000100010000,,[],0,29.437
0,10010010000111000000011101001011010000010000110100100001100010001110100000100000,,[],0,24.476
0,00000000000000000000001000010000010011110001001011000000001000000000000000000000,,[],0,53.488
0,00010010001001000010011001000001000000101110001000100000100111000111000100010000,,[],0,25.33
0,00000000001101000000011000000001010000101100101000100000100011000111000000010000,,[],0,27.975
0,00000111000100100000001100100101100100001110010011100000100001100011000100011101,,[],0,25.513
0,00001110000100000010011001000001110000001110101000100000100111000111010100000000,,[],0,23.845
0,11011000001011000000110000001001101100100110110001110000000000010001001000011100,,[],0,23.048
0,00101000001101100011000100000100000100100000000000000000011000000000100000010100,,[],0,48.107
0,00101001100001100000001100100111111000001100011101110000100001000111010000000101,,[],0,22.991
0,01001001000011000001001000100001101010001100001100110000100101000000010000010000,,[],0,33.499
0,00000000001101001010011001000000010000101100001000100000100111000011010100010000,,[],0,33.794
0,00000000001101001000011101001000110000011011100111100011100110000100001000111110,,[],0,22.985
0,01000001000101100011001101100001100000101110001000010000100101000111010000010000,,[],0,22.15
0,00000011001101001000011001001001010000000110101010100000100011000010010100011010,01000110101100101101100010100001101010100111001010011001001011010010001010001100,[],0,3.648
0,00011010001001001000011000000001010000001011100111100101100010000100000000111110,,[],0,32.491
0,00011110001100000010111001000010110001101100100001100000000110000011001000110000,,[],0,18.016
0,00101001001111110001110010000000001101100010001100011110010001000010000000001100,,[],0,27.252
0,00000010001100000010001001000001010000101100100000100000100111000101010100010001,01001100011100110101100000100111001010000111000010001101001011001000100000101000,[],0,28.939
0,01011000101101000000000101101101000001100100011000010010110001010110000001100000,,[],0,31.259
0,00001000101011000011000101000100010101100000001010000010001001000000110001001000,01000100001100111101111010100001111010000101000000011001000011001010100001001000,[],0,7.795
0,00000100001100000000011001000001010000101100101001110000101110000010000100000000,,[],0,37.257
0,00110000000000000010011100110011111010000000110000000000000100000001101100011000,,[],0,28.136
0,01000010000000000000011110000001110000000010000001000000000100000011100000001000,,[],0,39.387
0,00000010001100000000011000000001010000001110100000100000001011000111000100010000,,[],0,38.979
0,00001000001011100000000000001101011100010000001110100110110000001110000010110000,,[],0,31.514
0,00011000000001000000000111111010000000001100100000100000101000001000000000010000,,[],0,38.74
0,00001111000000001010011000011110100010111110100010001101000011100000001010010000,,[],0,15.805
0,00000000000000000001000010000000000000000000000100000000010000000000100000000000,,[],0,42.726
0,11111000101011000011001000001110110111110100011110000000110000100101100010110000,,[],0,18.987
0,00000000000000000000010000000000000001100011000110000000000000000000000000000000,00000010001100100101010000000001100011000110000000000000001010000000000000000000,[],0,830.237
0,00000110000000011000010001100001001100000111100000011010000101001001100000010100,,[],0,40.895
0,00011110000001101100110100001001110000000111000000111000100011000011010000011111,00000111111100001101111000100001111001100111000000110110001110111011000001111100,[],0,9.099
0,00001000100011000011000000000100011100110100011110000011011001000000110000000000,,[],0,362.225
0,00001000001011000011101101001100010101110100001110000011111001000010110001001000,,[],0,22.485
0,00011000100101010000011001101010000011111100000100010110010001000000010010000010,,[],0,16.879
0,00000010001101001010001001001000010000101000001000100000000011000011010100010000,01000100001100011101100000000110000010000001000010011001001111010010100000101100,[],0,4.907
0,00000000001100000000000000000010000110000100001100001000110000000000000000000000,,[],0,46.756
0,00000001000100100000001100101001111000001101010000100000100011000110010100011100,,[],0,25.112
0,01001010001001000010011100000001110000101110011000100000001011000101000000010000,00100100001100010101100000001011110110000111001110011110010010010000100100101000,[],0,26.82
0,00110010000100000001001111110011010101001110000000011100101000011110010000011000,,[],0,23.821
0,00000000001000000100101100111111111000100111100001000001100100000010010000000000,,[],0,25.401
0,00101000100110110001000000000000001111000010100100001110010001000000000100001000,,[],0,109.804
0,01000011000110100100001101000101101000001100100010100010100000000000000100010000,,[],0,26.871
0,00011000100001000011001111000000110101000010011000000001000100000100100100011110,,[],0,36.056
0,00010010001001000010011001000000000000100110100000000000000111000101010000010000,01001101001110010101000000000101111000000000000010011001000010011000101001001000,[],0,3.222
0,01111000001101000011011010011101010011101100001000100000100111000110010100010000,,[],0,23.396
0,00000000000010100011000100000100010000010000001110000010011001000010010001001000,,[],0,32.783
0,00000010001101000010011001000001000000101110101000100000100111000011010100010000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,[],1,15.856
0,00010010000001000010011001000001010000001110100000000000100111000011010100010000,,[],0,34.69
0,01101001000011000001000100000011011000100100101000110000100101000111010001100010,,[],0,22.558
0,00100000000000000000001000100010010111110100011110001000011000010001000000000000,,[],0,33.195
0,00011010001001000000011001000001010000101100101000010001001011000110000100010000,,[],0,35.475
0,01110100000110000000110100010011111110001111000000101000010100010001110100111110,,[],0,71.074
0,00000000000000000000000000000000000000000111100000110000000000000000000000000000,,[],0,31.816
0,10000010000000010001100001000000000011010000001010110000011001100110000001001000,,[],0,26.871
0,00000000000100000000010000000000000000000110000010110000001100000000110000000000,,[],0,37.691
0,01001110000101001000011001001011100000011110011011000001100010000100100000111110,,[],0,20.242
0,01010000000100000000011001000000000100010000000000011110001101000101000000001100,,[],0,44.827
0,01011110000011000010110000000011110000011101001010110100101011000111100011000000,,[],0,20.916
