"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b00000010000000001000000000000000011010000001010001000100001000000000000000000000",4,1656.8332291448523,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",28,2,0,0,0.6883937034905897,385.5371083577474,126.48049284509347,4.651610071060077,0
1,"b00000000000100001100110100101011100010000011100000001001100010000001000000000000",2,4472.877997783204,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",24,8,-1,0,0.7399757931327163,132.01296764636785,33.10602554444175,2.0195253856834094,0
2,"b01100000011001001001001011000001000011010000101110001001011101101000110000000110",2,5338.431517338138,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",10,4,0,0,0.7311853763924735,9.730246477842767,204.52302309912542,2.3225756957973607,0
3,"b10000000000000000000000000000100000001000000000010111100111000000000000000000000",2,1317.611395277856,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",30,5,0,0,0.7365571589538144,230.62534917041222,268.0492702521547,1.2963136544882579,1
4,"b01101000000011010011100000001100010101110100000001010110101100100000011000100010",3,5382.695727280568,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",13,0,0,0,0.6143870073337686,236.87741390866722,330.3151533540832,5.441092082296544,0
5,"b00000000000000000000000100000111111110001110111111111001110000000010011000000000",5,2398.2564327139053,"b0000000101111100110000001100100110100100011111001000000001011110110011010000100",19,14,-1,0,0.7497224614490721,486.5397808230801,423.524034299885,3.89206679063982,0
6,"b00001001000110010111001010000001111111010111110000111001101000000000010000011001",1,2175.1677136362687,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",13,2,0,0,0.7348599723269396,308.71446837427544,52.988245877833116,6.224703931761005,0
7,"b00000000000001101001111001000011101011001000101001111001101000100000100000000000",2,1613.3579460270505,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",19,9,-1,0,0.7440327405837273,141.8936395208041,404.0043032089869,3.3744184256211387,1
8,"b00000000000000000000010110010000000001101110100100000000010001100000000000000000",5,3061.393367647348,"b0000000101111100110000001100100110100100011111001000000001011110110011010000100",27,9,0,0,0.7358500900269848,220.27309979440452,251.7183933719027,5.041262675128087,0
9,"b00000000000000000000000000000000000100010011110111000011000000001000000000000000",5,1637.9565607682805,"b0000000101111100110000001100100110100100011111001000000001011110110011010000100",25,5,1,0,0.7179398698926169,309.45860416169364,340.33353874882164,3.1346206170352477,0
