node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00010000001000010110011000000101000000101100100110100011111110101100100100010000,,15,4,0,41.183
0,00000000000000000011010001100010000110101100111010111011111000000001110000000000,,22,8,0,33.246
0,01111000001010100000111111110111111000010111110010111111011011111111101011111100,,13,25,0,11.612
0,00000000000000010100011111101001000010101000101000100011111001001000100000010000,,23,8,0,51.06
0,10001000101110010100011111111100101111100111111000111111001001101101000000011000,,8,11,0,12.662
0,00000000000001000000000111111010010101111111011100011001011100100100000000000000,,24,12,0,30.612
0,10000000001100000000001001010010100000001101100000110000100001001111001101000000,,23,6,0,92.405
0,10101000001100011011011100000000110100000000000000101000001001111111000001110000,,20,8,0,55.98
0,00010000001100000100010000010100010110000001100100001011011000100001110000010001,,19,3,0,72.073
0,00001000101110010001000001010100101111100001111110001011011101101010010000001000,,12,6,0,27.162
0,01000000000100000000001101010000100101110101001110000000111001101010010000000000,,20,4,0,45.996
0,01100000001110000000011100010001010101000011111000010011111101101111110000010010,,18,13,0,35.815
0,00001000001111000100011010010101111111110111110100111011111010101110110100011001,,5,10,0,10.223
0,00010000001011110100010111110001111110000101110110000001111000000000110000000010,,19,11,0,41.243
0,00000000100000110001001111011100110100000100111000101000011001101000110000011000,,16,5,0,36.615
0,00000000000111000000001111100000100110011110101110110000011000000000100000000010,,25,10,0,44.262
0,00011000000111110100011011010101100110111101100100000010111010101001100100010001,,9,6,0,23.582
0,00110000001110010100011111110101111110001110110000100011111010111111110110010001,,8,13,0,21.928
0,00011000000010010000000011111001011111000110001100101011011110101100000100010000,,16,8,0,46.938
0,00000000000111100000001011000001110110000110110110001011011010100011100100010000,,18,8,0,31.975
0,01000000000100000000011010000000100000000000101100000001111000000011000000000000,,29,4,0,58.33
0,10001000101000110001011000010100111110001101111000101011011001101001000000011000,,11,5,0,38.1
0,00010001000001100001011100000100100010000110101100001011011000000100100000011100,,23,9,0,45.711
0,00001000101110100111001100011000100110100001111000101101011001100001000000000000,,15,5,0,27.126
0,00000000010000001100011001111000001110110110110000001100000010000000000000000000,,27,8,0,62.666
