node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00001000100000110101000011010001100110100111111010101011111001101100010010011000,,13,9,0,14.758
0,10001000100110010101011001000000100110101101101010001000001001000001010000010000,,14,1,0,60.458
0,00011100000000010010011010000101011111100110100100110000011011101101110000010000,,12,5,0,27.012
0,10011101110111010101011001001001111010001110111100011001010100000010000000011000,,18,15,0,43.599
0,01000000000001100000111110100000000110010011000001010100111000000000100000000000,,27,8,0,43.121
0,00000000100000000000000100010100000011101000100110011011000001010000000000000000,,28,5,0,60.066
0,00000000000100000000010100000000010111111001011100111100011000110001110000000000,,25,10,0,53.33
0,00011000000000000010000011000000000000001100001100000100110001110010100001000001,,29,8,0,72.052
0,00000000000000000010010001000000000010000000000001000000011000000111100000010000,,30,2,0,51.539
0,10001000101010110101011101000101100000101111101010101001110001101001010000011000,,7,3,0,14.878
0,10001000001110010001011000010101100100100100000000110000011001101001010000001000,,16,2,0,40.104
0,00011000001010010110011010000101011110100100110100111010011010101000100100000001,,10,3,0,50.665
0,00010000001000010100011010010101000000101100000100001010111000001001110000000000,,18,1,0,51.453
0,00001000101110000101011001011100111000100001101010101110000000000000000000000000,,20,5,0,45.757
0,01110101100111100000000001010010011100000000100000000110000100001100010000010000,,28,12,0,248.771
0,11000000000111000000001100000000011000000000110000000001001000000010000000000000,,31,5,0,56.931
0,00010000001010110110011011100101111110100110111110001011111011101100110100010000,,8,10,0,13.634
0,00100000000001100000010011110000101101000111111000001100111010000000010000000001,,25,11,0,51.16
0,01000010000100100000001000100101010010100100111100101010110000101000000100000000,,23,7,0,42.139
0,00011100000011100000000100001101100000000110100000101000100000100000101100000000,,25,6,0,59.313
0,00011000001000010110011010010100010110100100100110101010111010101100100100010001,,8,1,0,11.494
0,10011000000000000011011100001100111101101111100011000000011001110000000000001000,,19,8,0,58.606
0,11100000011110000111010000011100000110011110111101011010110001000100001110000000,,19,14,0,47.656
0,10001000001110110101011000010100100100100101101010101001011001100000010000011000,,9,0,0,27.041
0,00001000001010110001011001010100100110100101101010101001011001101001111000110000,,10,4,0,62.538
0,00100000000101011100000101000011101100001011001100100010111000101000011010010000,,22,11,0,70.246
0,00000000010000010101011001001100111100100100101000100001010101101010010000011000,,17,5,0,205.082
0,01000000000111000000001101100001011100111110111110101000111010100101010100010000,,16,10,0,26.527
0,00000100101000100110001001010101000110100101111010001001011000101001000000011000,,16,5,0,60.718
0,00000000001100000000111001110110000101100000000000000000000000000010000000110000,,27,3,0,681.327
0,11000000100010010100001001010001111100100010111010011011000000001011100000011000,,19,9,0,51.68
0,00000000101000010000001000000000011000000000001000000000100000000000110000000000,,33,3,0,69.708
0,10110000001011100000011000100000010111000011000101101100111100110010100100101000,,20,12,0,1001.727
0,01100100101010100000101001100010110000100000111100100000111010000000001000011000,,24,11,0,46.654
0,00010000001001000000001110100111001100010000011110011111011001100001100100000000,,22,11,0,471.054
0,00001000101110010100011001010100100110111101101010101001001001100001010000001000,,10,2,0,745.334
0,00000001100010100000011011010001000001011000001000001010000000010111010000000110,,28,11,0,73.028
0,00010000001001010000011010000001000110110111000100101010111010100001100000000001,,14,1,0,27.716
0,00011000000010000010001010010111010100010101100100001010010010101100010100000000,,16,2,0,1015.771
0,10001000100110010101011100011000000011000001111100000001010000000000000000000000,,22,4,0,45.639
0,01000001001100000101011101100000010000100011110011011001110001100101100000010010,,21,12,0,35.124
0,00000000000011000000011000000000001100000111000000111101110010000000000000000000,,28,5,0,88.174
0,00000000000011000000011001010001110001010101111111001010010010101001100000000000,,20,7,0,419.492
0,10000000000000000010011000010000110000000000100000000000010000010011000000010000,,30,3,0,528.497
0,10001000101110000101011001000000100100000101000010101000001001100000000000001000,,18,0,0,36.054
0,00000000000000000000011100000000111000111001101000000101011000100000010000000000,,26,4,0,96.885
0,00000000001101100101011011010100100100100001101000001000011000100011000000000000,,18,2,0,969.095
0,10001000000110110000010000010100000111001101111110101011000100001100000000000000,,19,6,0,54.905
0,00000000000110100000011000000100011011000000110010000001000001000000000000000000,,29,4,0,41.265
0,00010000001110010110011110000100000100000100100100101000011000000000110100010001,,17,2,0,497.506
0,00001000000000110000000011000000000000001000000000100000000000000000010000000000,,33,1,0,113.306
0,00011000001010010010010010010001010110100100100100000010011010101001110100010001,,11,0,0,973.498
0,11000000000000000000000000000011010100000111101000000011001100000101000001000010,,30,9,0,108.237
0,00000000001001000000000000000000010000010000110100100000001110000001101000000000,,29,3,0,1176.519
0,00000000000000000000001100000000111000000111010111000000011000000111110000000001,,27,7,0,56.157
0,10000000101110100001011000010100100110001101101000101000001000001001000000010000,,16,1,0,163.686
0,10001000101010010110011001000100100101100001101010001111100000101000000000000000,,17,4,0,26.692
0,00000000001111010100000000000101100111101100100010100001011000101001010000001000,,17,3,0,39.978
0,00000000101000110101001010000000100100100101101010101001011000101001000000001100,,16,2,0,72.964
0,00000000001010000000001000000000111100000110000110000000110000111011110000100001,,24,6,0,87.111
0,00011000001101100000011011110000011111000100010000111010011011101101110000010001,,14,9,0,21.326
0,00011000001000010010010010010101010110110101100000100000011010100000110100010001,,13,1,0,124.356
0,00111100001010010110011010011001011111100101110100101010011010101101100100000100,,9,8,0,40.05
0,01000000011101001001010100100100110001010110101110000000111000000011000000011100,,22,11,0,41.057
0,01011000001110110100011011010100000111000000000000000000000000000000000000000000,,27,5,0,671.442
0,00010000111110000001111111000111100111001111101101111100010001100011000010100001,,14,14,0,36.351
0,00001100000100000100000000000010000001101101111100100001000000000000000000000000,,27,3,0,346.536
0,00000000000000000100101000100101000100100100100100011010011010101101110000010001,,18,3,0,39.775
0,01000000000001000000000010000000110000000111100101000010111100010011010000000000,,26,6,0,871.551
0,01000000001101010000011101010100000001111100111001110001000100111000001010110000,,20,11,0,55.739
0,00000000000000000110001010010110111110100100000100100010000010001001100000010001,,20,3,0,1032.979
0,01100000000000000000111000000000011110010000100011000000011000000101100000010100,,26,6,0,276.271
0,00001000101110110101010101010101100100000100101000001000011001100000010000001000,,14,1,0,36.897
0,00000000001100000000011111000000010001010111010011000001111000000111000000000000,,25,8,0,54.221
0,00010000000011110100011010010101010110100000000100001000011010000000000000000000,,20,1,0,158.65
0,01000000101100011101011100111011010100000111000000100000110110100000000101001000,,22,12,0,28.534
0,00000000001111110111011000000100000110100100101000101010010010101100110100000000,,15,4,0,32.732
0,00110001000110001100000001000000111101100000100100101010101010101100110100010001,,18,8,0,52.157
0,00000000000010000000101100000011110000000001000000000001010000000001100000001000,,30,4,0,70.4
0,00000010000000000000000010000000110100110100000101000111010011011000100001000000,,27,7,0,49.207
0,00000000000110000000011000001000000000100000000000000000000001101111000001000100,,30,4,0,476.967
0,00000000000110000000111000010001000000000100100100000110111000000011000000000000,,27,4,0,969.563
0,00001100000010100010011000000001000100101001111010000011101000000110010001001000,,23,8,0,56.347
0,00001000000010100000000000000000000011001101000100000000011100000000000000000011,,31,5,0,57.042
0,00101010001110111101011110000011010111110000001000001001100111000000000001100000,,21,13,0,970.382
0,00000000000001000000010110000000011000010001011011000011111000000001100000000000,,28,7,0,66.978
0,00001111000010110110000001010000010010110000011011001000010011100000001100000000,,24,10,0,55.155
0,10000000000010000000001100000010010010001001100001100100001110011111110000011110,,24,11,0,655.811
0,00000000001000000000110000000001010110000100100100101010111000001101110000000000,,20,1,0,59.475
0,00000010000011100100111101000001100100010000000100100010011000000001100000000010,,25,7,0,270.837
0,00000000100000000001010010000110000000001001110001100110000000100000010010000000,,29,6,0,509.047
0,00001000000000110000000000010100000000000111100000000110000000011000000000010000,,30,4,0,86.818
0,00001000000000000000001001001100000110000000101100000000000010001000000001100001,,30,5,0,244.037
1,10011000011000100110111010110000001111101010010111000001000010001100100000000000,,14,0,0,34.43
1,00000000000000110110001110111111001011100011001100000101110011101001000010010000,,16,4,0,22.133
1,00011000001010111000001111101011101110010110100111010100001101110000011000001000,,17,9,0,21.412
1,00000101000010010110011010011001111000111111110100111101011011000000110000011001,,16,10,0,27.777
1,00011000001110100110011010000111101100000010000110011100000101100011011100001000,,20,8,0,36.622
1,00001000001110010111001010100111001011011111100001101111000001110000001100000000,,16,6,0,32.324
1,11111001110110001111111001110111101111011011111101001111110011011110000010010000,,12,19,0,10.225
1,00010000010001000011001111110100011111000000010101000011110001111011110000010000,,17,6,0,22.527
1,00011000001000000001111110111000011111110010111100001011111001011010000100000100,,20,12,0,15.142
1,10011000010100000110010000111010001111100011010111000101010000000000000000000000,,20,2,0,46.567
1,11000000000110000111001010110001101101001111111010011000101100000110010000010001,,17,7,0,60.56
1,00000001000100010011001010100011101111010111110000110001111101100000011000001001,,11,1,0,11.257
1,00001000000110000111000100000000001011010110110000111101101100100000010000001000,,18,0,0,29.966
1,00001001001010010111001110110011111111000011110000110101111001100000011000011001,,8,3,0,14.43
1,00011000101110110000001110100110101100000111110010111000000101100110001100010000,,16,6,0,75.956
1,00001001000110100111001010100010001000010111110000111101111101100000001000011000,,11,0,0,23.875
1,00001001000110110111001110100000000001000110110000000101111101100000010000001001,,15,0,0,37.583
1,10001000011000000010110111110101000111111111100000000110000000011000000011000000,,22,8,0,42.063
1,10000000001001000110111111100000000111001010010001000000010011101101110010010000,,15,1,0,19.175
1,00000001001110000111001010100000001010011111111000111101111001100000011000011001,,11,2,0,7.344
1,00001001001010010001001110000011101000010111110000111101111100100000011000011001,,10,0,0,37.77
1,10011000001001000100011011111000111100101011000111000101000001101001110010010000,,13,3,0,24.121
1,00000000000000100100000011110111100000010110010110101101001100000010000000000000,,26,5,0,45.483
1,10010000011000000110111110111000001111101011111011000110110010101100000010000000,,11,3,0,25.788
1,10010000011000001010111100110100110111100011010111000101010010001000110000000000,,15,3,0,42.46
1,00010001000100000111111010000000100001011100110000111100001101000000001000001001,,21,4,0,56.794
1,00001000001100000000000010000010001001010110110000111101111101100000011000001000,,18,0,0,46.476
1,00011001100110000111001010000010111011011111110001011101111001100000111000001001,,11,6,0,29.664
1,00001001000100000110001010100011101001010111110000000100110101100000010000011000,,16,0,0,40.392
1,00000000001000000000001000000011111100000000011000010101101100000111000000011000,,27,4,0,52.786
1,00000000110000010011000110000001111110000110000000000000000000000000001100010000,,31,5,0,56.233
1,10000000001001000100111010111100111111101011000110000111110011100011010010010000,,11,4,0,16.826
1,00000000000010011110001110100011001011110110110000111101111101100000011000010001,,11,2,0,20.311
1,00000000000100000111001011000011101011010111110000101111101101000100001000000000,,16,2,0,27.678
1,00000001000000110111000110110000111011000101110000110001000001100000001000000000,,21,2,0,70.412
1,10000000011000100000011010111100000100101001000001000000000010111101100000010000,,21,1,0,56.389
