"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b01000110101100001100010111111001111110110111111000111010000011111001110011111110",0,4456.1619365933875,"b0100010011100110110011010110101000011011111011100011000000011100111101001101111",9,15,0,0,0.9310087655262499,488.65014078979874,42.12904368215538,5.763726080705876,0
1,"b01000000101000000100110111111010000110101110101100110000100011001110010011011110",0,7670.372579677913,"b0100010011100110110011010110101000011011111011100011000000011100111101001101111",9,4,0,0,0.82854505231458,286.68851050543253,472.2276203966918,3.8614300721769554,0
2,"b01110010001011010010100000001100010001110101101111000110111000110000001100100000",0,5948.849259589921,"b0100010011100110110011010110101000011011111011100011000000011100111101001101111",13,4,0,0,0.8157729612795389,167.61625105492547,327.12574975929545,4.172910296506634,1
3,"b01000100001000000100000101110000000110000110111000110000000001101011110011001100",0,6152.1779953852565,"b0100010011100110110011010110101000011011111011100011000000011100111101001101111",17,3,0,0,0.8705541316259215,115.54282640773725,214.82195691596354,5.771619566080098,2
4,"b00111000000011000010000110011100111111111111101011011111101001100000011101100000",0,5420.31868034098,"b0100010011100110110011010110101000011011111011100011000000011100111101001101111",13,12,0,0,0.8704882428786194,305.3134534051411,7.245533974752604,1.236580042717803,2
5,"b01000101111100011100110101111011000110101111011000110000000101101111100011101110",0,7115.1510619470455,"b0100010011100110110011010110101000011011111011100011000000011100111101001101111",7,9,0,0,0.8090421864959992,384.22875740865044,441.9030964432241,1.3166720939501237,2
6,"b00000000000000001000000000100000010000000011001000000000000000100000000011001100",0,668.3519240645913,"b0100010011100110110011010110101000011011111011100011000000011100111101001101111",34,3,1,-1,0.7894890967817093,402.85533481305373,428.334628175341,2.369812452405327,3
7,"b00000111110000000100100101111000000110001110011000110000000001001111000011011110",0,5647.150213951046,"b0100010011100110110011010110101000011011111011100011000000011100111101001101111",13,3,0,0,0.8550770264134,224.3861813738704,159.9011865903738,3.8757866743456555,3
8,"b01000000101100011100111111111011001110111110111110110010100101111111100011111110",0,4133.769033117687,"b0100010011100110110011010110101000011011111011100011000000011100111101001101111",6,15,0,0,0.8990508081907621,408.02470401894607,49.81610682215626,2.847248685896167,4
9,"b11111001001111000011000000001100001101000101100001011110001100110100010100100010",0,6641.140689871851,"b0100010011100110110011010110101000011011111011100011000000011100111101001101111",11,3,0,0,0.8136174426708578,127.95994302680035,291.08731997219417,3.9618301597846752,4
10,"b01000100111100000100110000111011010110101111111100110011011001100001110011001110",0,4571.798927476628,"b0100010011100110110011010110101000011011111011100011000000011100111101001101111",12,12,0,0,0.8518758214103432,487.23837834474165,151.87992172323717,1.4778791200517403,5
11,"b01111011000111111110100001011100111111110111111111011111101101110000111101100000",0,5441.536516284026,"b0100010011100110110011010110101000011011111011100011000000011100111101001101111",6,17,0,0,0.9087155695279284,448.92657006054407,93.4292173217636,4.329220614611131,5
