Cluster ID,Binary String,ID,Match Score,Exact String,False Negatives,False Positives,Row Shifts,Column Shifts,Fit Quality,X Position,Y Position,Theta,Group Number
1,b01111011001010010010100000000000001101110101100011011110001100110000011000100010,3,6385.794977796992,b0100010011100110110011010110101000011011111011100011000000011100111101001101111,11,2,0,0,0.7612534792044223,225.34936106261634,337.3313485519809,4.488648081097291,0
2,b00111011001011011011101100000100011001110001100011010110101100110000000000100000,3,5245.923339839371,b0100010011100110110011010110101000011011111011100011000000011100111101001101111,12,4,0,0,0.8673609232961056,133.5804602438965,6.036247582894372,2.633772968384731,1
3,b00100011000011011111100100001100011100111101100001000110001100111000001100100010,3,6176.848231916635,b0100010011100110110011010110101000011011111011100011000000011100111101001101111,11,4,0,0,0.7626620588287228,348.09261287334874,237.27034279717708,5.978590260745449,2
4,b01000010000000101000110100100010000110101110111000110010010111000111000010010110,3,6374.848782444076,b0100010011100110110011010110101000011011111011100011000000011100111101001101111,13,3,0,0,0.7434807748651743,176.8100167254392,316.55639771063625,5.132760608380714,3
5,b00000100001000001100110001101010000110101110110000110000010111001111010011011110,3,7289.432008305516,b0100010011100110110011010110101000011011111011100011000000011100111101001101111,8,1,0,0,0.7637135611309848,297.43560023475925,456.1807754,5.551450426104813,4
6,b01000100011000001100010101001000000110101110010000110001100111001110000001011110,3,6511.890485781336,b0100010011100110110011010110101000011011111011100011000000011100111101001101111,12,2,0,0,0.7506016462127562,203.71238391878356,337.7139827307737,2.540377233658145,5
7,b01000100110000001100110001001010000110001010101000010000100011000010000000011010,3,6331.6822376980845,b0100010011100110110011010110101000011011111011100011000000011100111101001101111,18,1,0,0,0.7569796571533587,88.92730613337541,19.04305864652487,3.043670552675313,6
8,b01110001001011010010000000011000010001110101100010011110001101110000011100100010,3,6235.533380595396,b0100010011100110110011010110101000011011111011100011000000011100111101001101111,13,4,0,0,0.8089993703264197,392.77178486770094,166.71313837446806,0.2924399394268384,7
9,b00101000000011110010100000001100000100010101110000010010101100110000001100100010,3,6811.259202887958,b0100010011100110110011010110101000011011111011100011000000011100111101001101111,16,1,0,0,1.0048619508710217,273.5178609594317,407.4648526553406,2.8885747555847807,8
10,b01111010000010010010000000001000111100010101100001011110000101101000000100100010,3,6076.517559726765,b0100010011100110110011010110101000011011111011100011000000011100111101001101111,17,4,0,0,0.7776639907416134,122.24592096262089,391.7672677800183,0.6565063209544734,9
