node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00010000001011010110011010010101111110100110110101101011011010101101110100010000,,4,4,0,108.745
0,10000000100110010000011111010110100101100101111010101001011001101011010000011000,,6,2,0,254.743
0,00011000000010010110011000000101010110100110110101101010111010101001110100010001,01000100011010110111101010111001101001010101011011011010010110110101100001100000,6,1,1,0.106
0,00011000001000010100010010000101010110000110100111101010111010101101110100010001,,7,1,0,102.821
0,00011000001010010010011010010101010110100111110101101011010010101111110100010001,,5,4,0,313.888
0,10001000101110110101011111010110100101100101111110101001111000101001110000011000,,3,5,0,93.771
0,00010000001010010100011011010101010110100110100101100000111010101001110100010001,,7,1,0,48.337
0,10001000101110010101011000010110100101100111001010101001001001101011010000011000,,6,1,0,63.708
0,00011000000010010110011010010101000110100110110100101011111010101101110100010001,,5,2,0,75.483
0,10001000100110110101011110000110000101100101101010101001001001100001010000011000,,8,1,0,320.431
0,00010000000010010110011010010101111110100110110101101010011010101001110100010001,,6,3,0,221.014
0,00010000001000010110011000010101010110100110110101101010111010101000100100010001,,8,1,0,271.919
0,00011000001010010110011011110101010011100110100100101010111010101001110100010001,,5,3,0,105.507
0,00011000001010010110011010110101111110110110100001101011111010101101110100010001,,2,4,0,48.68
0,00011000001010010110011010010101110111110110100101111011111010101000110100010001,,3,4,0,16.371
