node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,10000001011010110011010010101111110100110110101101011011010101101110100010000,,4,4,0,108.745
0,10000000100110010000011111010110100101100101111010101001011001101011010000011000,,6,2,0,254.743
0,11000000010010110011000000101010110100110110101101010111010101001110100010001,1000100011010110111101010111001101001010101011011011010010110110101100001100000,6,1,1,0.106
0,11000001000010100010010000101010110000110100111101010111010101101110100010001,,7,1,0,102.821
0,11000001010010010011010010101010110100111110101101011010010101111110100010001,,5,4,0,313.888
0,10001000101110110101011111010110100101100101111110101001111000101001110000011000,,3,5,0,93.771
0,10000001010010100011011010101010110100110100101100000111010101001110100010001,,7,1,0,48.337
0,10001000101110010101011000010110100101100111001010101001001001101011010000011000,,6,1,0,63.708
0,11000000010010110011010010101000110100110110100101011111010101101110100010001,,5,2,0,75.483
0,10001000100110110101011110000110000101100101101010101001001001100001010000011000,,8,1,0,320.431
0,10000000010010110011010010101111110100110110101101010011010101001110100010001,,6,3,0,221.014
0,10000001000010110011000010101010110100110110101101010111010101000100100010001,,8,1,0,271.919
0,11000001010010110011011110101010011100110100100101010111010101001110100010001,,5,3,0,105.507
0,11000001010010110011010110101111110110110100001101011111010101101110100010001,,2,4,0,48.68
0,11000001010010110011010010101110111110110100101111011111010101000110100010001,,3,4,0,16.371
1,10000011000000110111110111100001111101010010111000101110011101011100010000000,,8,1,0,79.476
1,1001000110000111001010000011101011010110110000111101111101100000010000011001,,9,0,0,135.214
1,1000001110110101001010100011111111010111110000111101011100100110011000011001,,5,2,0,92.937
1,1001001110110111001110100011101010010111110000111111111101100000011000110001,,4,2,0,23.501
1,1001000110010101001110100001101011010101110000111101111101100000011000111001,100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.111
1,10010000011001000110111110111100001111001011110111000101010011101101110010000000,100100001110110111000101110010110101110000111110111110111110011001101001100001,5,1,1,0.144
1,1001001100010111001110110011101111000111110000111101111001100000011000001001,,7,2,0,57.794
1,10001000011000000110011110110100001100101011010111000101110001101101110010000000,,9,0,0,141.962
1,1001001100110111001110100001101001010111110000111111111101100000011000001000,,7,1,0,70.072
1,1001000010100111001010100011101011010111100000111101101101100000011000001001,,9,0,0,1764.11
1,1000001110110111001010110011101111010111111000111101100101100110011000011000,,5,3,0,85.691
1,1001001110110111001010100010101111010111110001011101111101100000011000001000,,7,2,0,196.24
1,1001001110010111001110100011111111000111110000111101011101100000011000011001,,5,2,0,40.317
1,1001000110110011001010100011101111010101110000011101111101100010001000011001,100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.182
1,1001001010100111001010100001101001010111110000111001111101100000011000001001,,9,0,0,91.691
1,10011000010000000110111110111000001111101011010011000101010011100001010010010000,,9,0,0,458.438
1,1001001110010111001110110011111001010111110000111101111001100010001000011000,,6,2,0,91.162
1,1001001100010110001010100011001010010111100000111101111101100000011000011001,,9,0,0,234.87
1,1001001110110111001110100011111111010111110000011101111111100000011000110001,,4,4,0,212.578
1,1001000010010110001010100011101111000111100000111101111111100110011000011001,,7,2,0,1644.397
1,1000001110110011011110100011101011010111111100111101111100100000001000011001,,6,3,0,83.303
1,10011000011000000110110110110100001101101011010110000101110011100101100010010000,100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.161
1,1001000110110111001010100011101101010111010000111111111101100010011000011000,,6,2,0,110.747
1,1001001110110111011100100011101111010111100000011101111101100000011000010001,,6,2,0,61.381
1,1001110110110001110100011101011010111110000101101111101100000011000001000,100100001110110111000101110010110101110000111110111110111110011001101001100001,7,0,1,0.089
1,10011000011000100000111111101100001111111010010101000101110011101001110010010000,,7,2,0,135.183
1,1001000110010111001010100011101011010111010000011101110101100000011000011000,,9,0,0,224.682
1,10011000011001000110111010111001001111001011010111000111010001101101100010010000,,7,2,0,168.903
1,10011000001000000110101110111100001111100011011111000101110011101101110010010000,100100001110110111000101110010110101110000111110111110111110011001101001100001,5,1,1,0.141
1,1000001110110111001110100010001111010111010000011101111101100000011000011001,100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.162
1,1001001100000111001110100011101110010101110000111101111101100100011000011001,100100001110110111000101110010110101110000111110111110111110011001101001100001,6,1,1,0.356
1,1001001110010111001110100011111111000111110000111001111101100000011000001001,,6,2,0,75.731
1,10001000001000000110111110111000011111101011110111000101110001101101010010010000,,7,2,0,89.221
1,1001001010010111001110100011101111010001110000111101111101100000010000011001,100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.286
1,1001001110110111001010100011101101010111110000101101111001100000011000001000,,8,1,0,166.038
1,10010000011001000110111111111100001111101011111010000111110011001101110010010000,,5,4,0,171.031
1,1001001100110111001110100010000111010111110000011101111100100010011000011001,100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.767
1,10011000011000000110111110111100011110101011111111000111110011001101110010010000,,4,4,0,109.512
1,1001001010110111001010100001101111010111110000001101111101100010011000010001,100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.712
1,1001001110010111001110100011111011000111111000111101111101000000011000001000,,7,2,0,228.963
