node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00100000001100010110101010110011100110000001000011100011010010010110011000000010,10000001101001011001100011010000110000111110011001101010110011011101100010000010,6,0,1,0.735
2,01100000010001001001001011000111000111000001100111001001010101101000110000000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,7,1,1,27.953
2,01100000011001001001001011000011000001000001100111001101010101101000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,6,0,1,15.943
2,01100000010001101001001010000110000011000001000101001101010101101000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,8,0,1,2.361
2,00000000101000010100101010110011100110000011000011000011010010010000011000000110,,9,0,0,296.533
2,01100000011001001000001011000111000011000001100011001101010101101000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,6,0,1,0.03
2,01100000011001001000001011000101000001000001000111001101010001101000110100000100,,9,0,0,341.132
2,00100000101000010110101011110011100110000011000011100011010010010110011000000110,,4,1,0,98.753
2,01100000001011011001011011000111000011000001100111001100011101101100110100000100,,5,4,0,159.037
2,00100000101000010100101010110011100110000011000011100011100010010010011000000100,,8,1,0,177.417
2,01000000011001101001001010000101000011000001100110001101010101101000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,7,0,1,0.101
2,00100000100100000110101010110011100110000011000011100011000010010010011000000010,10000001101001011001100011010000110000111110011001101010110011011101100010000010,8,0,1,0.376
2,01100000010001101001001011000100000011000001110111001001011101101000110100000100,,7,2,0,304.068
2,01100000001001001001001011000111000011000000100111001100010101101000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,7,0,1,5.965
2,01100000011001101001001011000110000011000001100111001101010101101100110000000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,4,0,1,0.045
2,01100000011001001001001010000111000011000001100111001111000101101000010100000100,,7,1,0,521.693
2,01100000001001101001001011000011000011000001101111001101010101101000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,5,1,1,0.116
2,01010000010001101001001001000101000011000001100111001100010101101000110100000100,,8,1,0,343.259
2,00100000101100010010101010110010100010000011000011100011010010010010011000000010,10000001101001011001100011010000110000111110011001101010110011011101100010000010,8,0,1,0.068
2,00100000101100010110101010010011100010000011000011100111010010011000011000000110,,7,2,0,120.316
2,01100000000001001001001011000010000011000001100111001101010101101000010100000100,,9,0,0,349.01
2,00100000101000010110100010110011100110000011000010100011010010010010011000000110,10000001101001011001100011010000110000111110011001101010110011011101100010000010,7,0,1,0.09
2,01100000001001111001001011100111000110000001100111001101011101101000110100000100,,5,4,0,93.693
2,01100000011001101000001011000111000011000001000111001111010101101010110000000100,,5,1,0,126.071
2,01100000010000001001000011000111000011000001100101001101010101101010110000000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,8,0,1,5.461
2,00000000101100010110001010110011100110000011000011100011010010010110011000000110,10000001101001011001100011010000110000111110011001101010110011011101100010000010,5,0,1,0.097
2,01100000010001101001001011000011000011000001000100001101010101101000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,8,0,1,0.225
2,01000000011001101001001000000111000011000001100111001100010100101000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,8,0,1,0.124
2,01100000000001001001001011000111000011000001100101001101010101101000010100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,8,0,1,5.483
2,00100000101100000110001010110010100110000011000011000011010000010010011000000110,,9,0,0,457.313
2,01100000011011001001001111000101000011000001100111001101010101101000110100000100,,5,2,0,190.532
2,00100000101100010000101010110000100110000011100011100011010010010010011000000110,,8,1,0,289.286
2,01100000001001001001001010000100000011000001100111001101000101101000110100000100,,9,0,0,333.492
2,01100000010001101001001011000101000011000001101111001101010000101000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,7,1,1,51.968
2,00100000011001101001001011100111000011000001100111001101010101101000110100000100,,4,1,0,50.568
2,00000000101100000110001010010011100110000011000011000011000010010110011000000110,,9,0,0,202.19
2,01100000001001001001111011000111000011000001100111000101010001101000110100000100,,7,2,0,261.345
2,01100000011001000000001011000111000011000000000111001101010101101000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,8,0,1,0.081
2,01000000011001001001000011000011000011000001100111001101010101100000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,8,0,1,0.052
2,01100000011001001001001011000101000011000001100111001101010101100000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,6,0,1,0.383
2,00100000101100010110100010110011100110000011000011100100010010010110010000000100,,8,1,0,226.013
2,00000000011001101001000001100111000011000001100111001111010101101000110100000100,,7,2,0,225.248
2,00100000101100010110101010110011000010000001000001100011010010010110011000000110,10000001101001011001100011010000110000111110011001101010110011011101100010000010,7,0,1,5.241
