node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00010000001011010010011010000101010110000110100101101010111010100001110000000001,,9,0,0,400.731
0,00011000001010000110011010010101010110100100100101101010111010101001000100010000,01000100011010110111101010111001101001010101011011011010010110110101100001100000,8,0,1,0.11
0,00000000001011010110011010010100010100100110100101101010011010101101110000000000,,9,0,0,479.901
0,00010000001010010100011010010101110110100010100101001010111010101101110100010001,,6,1,0,120.84
0,00011000001000000110011010010101010100100110100100001010111010100101110000010001,,9,0,0,239.905
0,00011000001010010110011010010100010100100110100101101010011010001001110000010000,,9,0,0,592.241
0,10001000001110110101001001011110100101101100101010101001011001101000010000001000,,7,1,0,329.265
0,00011000001000010110011010010101000100110110100101111010001000101001110100010001,,8,1,0,226.334
0,00010000001010010110011010010101010100010010100100101010011010101101110000010001,01000100011010110111101010111001101001010101011011011010010110110101100001100000,8,0,1,0.127
0,10001000100110010101011001010100100100101101101010101001011000101001010000001000,01000100011010100111101010011001101001010111011011011010010111110111001001000000,8,0,0,0.383
0,00011000001010000110011010010101010110110110100101101000011000001001010100010001,01000100011010110111101010111001101001010101011011011010010110110101100001100000,8,0,1,0.194
0,00010000001010010110011010010101010100100110100100001010011010101101110100010001,01000100011010110111101010111001101001010101011011011010010110110101100001100000,7,0,1,3.309
0,00011000001011110010011010010101010110100110100101101010010010101100110000010000,,7,1,0,168.829
0,00011000001010000110011010010101010110000110000100101010011010101100110100010001,01000100011010110111101010111001101001010101011011011010010110110101100001100000,8,0,1,0.076
0,00011000000110010100011010010101010110100100100100101010011010101001110100010001,,8,1,0,379.355
0,00011000001010010110011010010101010110110110100001101010010010100001100100010001,01000100011010110111101010111001101001010101011011011010010110110101100001100000,7,0,1,0.094
0,10001000001110010101011001010010100100101100101010101000011001001011010000001000,,9,0,0,379.687
0,00010000001110010110011010010100010110100100100101101000011010101101110110010001,,7,2,0,348.039
0,00011000001010010110001010010101010110110110100100100010011000001001110100010000,,9,0,0,244.9
1,00001001001100010111001110000011101011010111100000111101111100100100011000011000,,7,0,0,129.04
1,00001001001100010011001110100011101011010111100000111001111101100000011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,0,1,0.039
1,00001001001110110010001010100011101011010111110000011100111100100000010000011001,,9,0,0,117.93
1,00000000001110110111001110100010101001001111110000111101111101100000011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,4.633
1,00001001001110010111001110100000001011010111110000110100111101100000011000001001,,9,0,0,99.029
1,00001001001100110111001010100001101011010111110000111101011001100000010000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.206
1,10011000011001000110101111111100001110101011010111000001110011001100100010010000,,7,1,0,66.026
1,00001001001110110001000110100011001011010101110000111101111101000010011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,0,1,1.755
1,00001000001100010111001010100011100110010111010000111101111101100010011000011001,,8,1,0,179.697
1,00001001001110110111001110000001101101010111110000101111111101100000011000001001,,7,2,0,115.827
1,00001001001110110111001110000000101011010111110000111101111000100000010000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.07
1,00001001001110010011001010100011111011010111111000111101101101100000011000011000,,7,2,0,410.421
1,00001001001110110111001110000011101001010111110000101100110100100010011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,0,1,4.353
1,00001000001110111111001010100011101111000111110000111101111101000000011000001001,,7,2,0,156.814
1,10011000011000000100110010111100001111101011010111000101010011101001110000010000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.159
1,00001001001110100111001000100011111111000111110000111101110101100000011000011001,,7,2,0,304.082
1,10010000011000000110111110111000000111101010010101000111110011101101110010010000,,7,1,0,213.083
1,00001001000110010111001010100011101011000111110000111101110001100100011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,0,1,0.076
1,10011000011001100110101110111100011111100011010111000101010001101000110010010000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,6,1,1,5.974
1,00001001001110110111001010100011101010010101100000110101011101100000011000001001,,9,0,0,380.581
1,00001001001110110111001000100011101001011110110000111101111101100000011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,6,1,1,0.076
1,00001001001110010111001010100011101011010111100000110101111101000000011000001001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.25
1,00001001001110110100001110100011111110010111110000011101111101100000011000011001,,6,2,0,89.747
1,10011000011000000000111110111100001111101011010111000101010001101001010010010000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.041
1,00001001000110010111001011110011111111010111110100111101111101100100011000011001,,4,5,0,66.807
1,10011000010001000110111110111100011111101111000111011111010011101101110010010000,,4,5,0,72.289
1,10011000011000000110111011111100001111101011011111000101110010001001110010010000,,6,2,0,143.34
1,00000001001110110111001010000011101111010111111000111100111001100010011000010001,,7,2,0,64.466
1,00001001001110110111001010100011101011010111110000111101101101100000011000010000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,6,0,1,0.073
