node,bit_index,total_occurrences,fail_occurrences
2,54,595,31
2,25,595,27
1,35,741,26
2,77,595,25
2,2,595,23
2,78,595,23
2,73,595,22
0,29,465,22
2,6,595,21
2,22,595,20
2,26,595,20
2,37,595,20
2,74,595,20
1,3,741,19
2,44,595,19
1,47,741,18
1,76,741,18
2,59,595,18
1,34,741,17
2,7,595,17
1,9,741,16
1,53,741,16
1,79,741,16
2,1,595,16
1,4,741,15
1,50,741,15
2,24,595,15
2,49,595,15
0,1,465,15
0,9,465,15
1,5,741,14
1,23,741,14
1,57,741,14
2,3,595,14
2,72,595,14
0,20,465,14
0,73,465,14
2,0,595,13
0,26,465,13
0,76,465,13
1,8,741,12
1,42,741,12
1,75,741,12
2,5,595,12
0,52,465,12
1,52,741,11
2,9,595,11
0,42,465,11
0,34,465,10
1,1,741,9
0,74,465,9
1,37,741,8
2,30,595,8
1,32,741,7
1,60,741,6
2,60,595,6
0,19,465,6
0,55,465,6
0,30,465,5
1,10,741,4
1,33,741,4
1,46,741,4
0,32,465,4
1,38,741,3
2,10,595,3
2,19,595,3
2,58,595,3
0,11,465,3
0,41,465,3
0,43,465,3
0,48,465,3
1,19,741,2
1,61,741,2
1,67,741,2
0,10,465,2
0,12,465,2
0,31,465,2
0,36,465,2
3,5,153,2
1,11,741,1
1,18,741,1
1,41,741,1
1,44,741,1
1,68,741,1
2,14,595,1
2,31,595,1
0,5,465,1
0,14,465,1
0,60,465,1
3,8,153,1
3,24,153,1
3,35,153,1
3,78,153,1
1,16,741,0
1,17,741,0
1,28,741,0
1,58,741,0
1,62,741,0
1,63,741,0
1,65,741,0
2,11,595,0
2,12,595,0
2,13,595,0
2,16,595,0
2,38,595,0
2,66,595,0
2,67,595,0
0,13,465,0
0,15,465,0
0,61,465,0
0,62,465,0
0,63,465,0
0,67,465,0
3,10,153,0
3,15,153,0
3,17,153,0
3,19,153,0
3,30,153,0
3,33,153,0
3,41,153,0
3,44,153,0
3,60,153,0
3,65,153,0
3,66,153,0
3,67,153,0
3,68,153,0
3,79,153,0
