bit_index,total_occurrences,fail_occurrences
9,1801,42
1,1801,40
73,1060,36
3,1336,33
26,1060,33
76,1206,31
54,595,31
5,1954,29
74,1060,29
37,1336,28
34,1206,27
35,894,27
25,595,27
77,595,25
78,748,24
42,1206,23
52,1206,23
2,595,23
29,465,22
6,595,21
44,1489,20
22,595,20
47,741,18
59,595,18
7,595,17
79,894,16
24,748,16
53,741,16
4,741,15
50,741,15
49,595,15
23,741,14
57,741,14
72,595,14
20,465,14
60,1954,13
30,1213,13
8,894,13
0,595,13
75,741,12
19,1954,11
32,1206,11
10,1954,9
55,465,6
11,1801,4
41,1359,4
33,894,4
46,741,4
38,1336,3
58,1336,3
31,1060,3
43,465,3
48,465,3
67,1954,2
61,1206,2
12,1060,2
14,1060,2
36,465,2
68,894,1
18,741,1
16,1336,0
62,1206,0
63,1206,0
13,1060,0
17,894,0
65,894,0
66,748,0
28,741,0
15,618,0
