orig_idx,k,flipped_indices,status,incorrect_count,correct_count,total_error_fixed
0,2,1;5,-1,0,0,2
0,2,1;9,-1,0,0,2
0,2,1;10,-1,0,0,2
0,2,1;11,-1,0,0,2
0,2,1;15,-1,0,0,2
0,2,1;16,-1,0,0,2
0,2,1;17,-1,0,0,2
0,2,1;19,-1,0,0,2
0,2,1;20,-1,0,0,2
0,2,1;21,-1,0,0,2
0,2,1;26,-1,0,0,2
0,2,1;29,-1,0,0,2
0,2,1;30,-1,0,0,2
0,2,1;31,-1,0,0,2
0,2,1;32,-1,0,0,2
0,2,1;34,-1,0,0,2
0,2,1;36,-1,0,0,2
0,2,1;41,-1,0,0,2
0,2,1;42,-1,0,0,2
0,2,1;43,-1,0,0,2
0,2,1;48,-1,0,0,2
0,2,1;51,-1,0,0,2
0,2,1;52,-1,0,0,2
0,2,1;55,-1,0,0,2
0,2,1;60,-1,0,0,2
0,2,1;61,-1,0,0,2
0,2,1;63,-1,0,0,2
0,2,1;68,-1,0,0,2
0,2,1;73,-1,0,0,2
0,2,1;74,-1,0,0,2
0,2,1;76,-1,0,0,2
0,2,5;9,-1,0,0,2
0,2,5;10,-1,0,0,2
0,2,5;11,-1,0,0,2
0,2,5;15,-1,0,0,2
0,2,5;16,-1,0,0,2
0,2,5;17,-1,0,0,2
0,2,5;19,-1,0,0,2
0,2,5;20,-1,0,0,2
0,2,5;21,-1,0,0,2
0,2,5;26,-1,0,0,2
0,2,5;29,-1,0,0,2
0,2,5;30,-1,0,0,2
0,2,5;31,-1,0,0,2
0,2,5;32,-1,0,0,2
0,2,5;34,-1,0,0,2
0,2,5;36,-1,0,0,2
0,2,5;41,-1,0,0,2
0,2,5;42,-1,0,0,2
0,2,5;43,-1,0,0,2
0,2,5;48,-1,0,0,2
0,2,5;51,-1,0,0,2
0,2,5;52,-1,0,0,2
0,2,5;55,-1,0,0,2
0,2,5;60,-1,0,0,2
0,2,5;61,-1,0,0,2
0,2,5;63,-1,0,0,2
0,2,5;68,-1,0,0,2
0,2,5;73,-1,0,0,2
0,2,5;74,-1,0,0,2
0,2,5;76,-1,0,0,2
0,2,9;10,-1,0,0,2
0,2,9;11,-1,0,0,2
0,2,9;15,-1,0,0,2
0,2,9;16,-1,0,0,2
0,2,9;17,-1,0,0,2
0,2,9;19,-1,0,0,2
0,2,9;20,-1,0,0,2
0,2,9;21,-1,0,0,2
0,2,9;26,-1,0,0,2
0,2,9;29,-1,0,0,2
0,2,9;30,-1,0,0,2
0,2,9;31,-1,0,0,2
0,2,9;32,-1,0,0,2
0,2,9;34,-1,0,0,2
0,2,9;36,-1,0,0,2
0,2,9;41,-1,0,0,2
0,2,9;42,-1,0,0,2
0,2,9;43,-1,0,0,2
0,2,9;48,-1,0,0,2
0,2,9;51,-1,0,0,2
0,2,9;52,-1,0,0,2
0,2,9;55,-1,0,0,2
0,2,9;60,-1,0,0,2
0,2,9;61,-1,0,0,2
0,2,9;63,-1,0,0,2
0,2,9;68,-1,0,0,2
0,2,9;73,-1,0,0,2
0,2,9;74,-1,0,0,2
0,2,9;76,-1,0,0,2
0,2,10;11,-1,0,0,2
0,2,10;15,-1,0,0,2
0,2,10;16,-1,0,0,2
0,2,10;17,-1,0,0,2
0,2,10;19,-1,0,0,2
0,2,10;20,-1,0,0,2
0,2,10;21,-1,0,0,2
0,2,10;26,-1,0,0,2
0,2,10;29,-1,0,0,2
0,2,10;30,-1,0,0,2
0,2,10;31,-1,0,0,2
0,2,10;32,-1,0,0,2
0,2,10;34,-1,0,0,2
0,2,10;36,-1,0,0,2
0,2,10;41,-1,0,0,2
0,2,10;42,-1,0,0,2
0,2,10;43,-1,0,0,2
0,2,10;48,-1,0,0,2
0,2,10;51,-1,0,0,2
0,2,10;52,-1,0,0,2
0,2,10;55,-1,0,0,2
0,2,10;60,-1,0,0,2
0,2,10;61,-1,0,0,2
0,2,10;63,-1,0,0,2
0,2,10;68,-1,0,0,2
0,2,10;73,-1,0,0,2
0,2,10;74,-1,0,0,2
0,2,10;76,-1,0,0,2
0,2,11;15,-1,0,0,2
0,2,11;16,-1,0,0,2
0,2,11;17,-1,0,0,2
0,2,11;19,-1,0,0,2
0,2,11;20,-1,0,0,2
0,2,11;21,-1,0,0,2
0,2,11;26,-1,0,0,2
0,2,11;29,-1,0,0,2
0,2,11;30,-1,0,0,2
0,2,11;31,-1,0,0,2
0,2,11;32,-1,0,0,2
0,2,11;34,-1,0,0,2
0,2,11;36,-1,0,0,2
0,2,11;41,-1,0,0,2
0,2,11;42,-1,0,0,2
0,2,11;43,-1,0,0,2
0,2,11;48,-1,0,0,2
0,2,11;51,-1,0,0,2
0,2,11;52,-1,0,0,2
0,2,11;55,-1,0,0,2
0,2,11;60,-1,0,0,2
0,2,11;61,-1,0,0,2
0,2,11;63,-1,0,0,2
0,2,11;68,-1,0,0,2
0,2,11;73,-1,0,0,2
0,2,11;74,-1,0,0,2
0,2,11;76,-1,0,0,2
0,2,15;16,-1,0,0,2
0,2,15;17,-1,0,0,2
0,2,15;19,-1,0,0,2
0,2,15;20,-1,0,0,2
0,2,15;21,-1,0,0,2
0,2,15;26,-1,0,0,2
0,2,15;29,-1,0,0,2
0,2,15;30,-1,0,0,2
0,2,15;31,-1,0,0,2
0,2,15;32,-1,0,0,2
0,2,15;34,-1,0,0,2
0,2,15;36,-1,0,0,2
0,2,15;41,-1,0,0,2
0,2,15;42,-1,0,0,2
0,2,15;43,-1,0,0,2
0,2,15;48,-1,0,0,2
0,2,15;51,-1,0,0,2
0,2,15;52,-1,0,0,2
0,2,15;55,-1,0,0,2
0,2,15;60,-1,0,0,2
0,2,15;61,-1,0,0,2
0,2,15;63,-1,0,0,2
0,2,15;68,-1,0,0,2
0,2,15;73,-1,0,0,2
0,2,15;74,-1,0,0,2
0,2,15;76,-1,0,0,2
0,2,16;17,-1,0,0,2
0,2,16;19,-1,0,0,2
0,2,16;20,-1,0,0,2
0,2,16;21,-1,0,0,2
0,2,16;26,-1,0,0,2
0,2,16;29,-1,0,0,2
0,2,16;30,-1,0,0,2
0,2,16;31,-1,0,0,2
0,2,16;32,-1,0,0,2
0,2,16;34,-1,0,0,2
0,2,16;36,-1,0,0,2
0,2,16;41,-1,0,0,2
0,2,16;42,-1,0,0,2
0,2,16;43,-1,0,0,2
0,2,16;48,-1,0,0,2
0,2,16;51,-1,0,0,2
0,2,16;52,-1,0,0,2
0,2,16;55,-1,0,0,2
0,2,16;60,-1,0,0,2
0,2,16;61,-1,0,0,2
0,2,16;63,-1,0,0,2
0,2,16;68,-1,0,0,2
0,2,16;73,-1,0,0,2
0,2,16;74,-1,0,0,2
0,2,16;76,-1,0,0,2
0,2,17;19,-1,0,0,2
0,2,17;20,-1,0,0,2
0,2,17;21,-1,0,0,2
0,2,17;26,-1,0,0,2
0,2,17;29,-1,0,0,2
0,2,17;30,-1,0,0,2
0,2,17;31,-1,0,0,2
0,2,17;32,-1,0,0,2
0,2,17;34,-1,0,0,2
0,2,17;36,-1,0,0,2
0,2,17;41,-1,0,0,2
0,2,17;42,-1,0,0,2
0,2,17;43,-1,0,0,2
0,2,17;48,-1,0,0,2
0,2,17;51,-1,0,0,2
0,2,17;52,-1,0,0,2
0,2,17;55,-1,0,0,2
0,2,17;60,-1,0,0,2
0,2,17;61,-1,0,0,2
0,2,17;63,-1,0,0,2
0,2,17;68,-1,0,0,2
0,2,17;73,-1,0,0,2
0,2,17;74,-1,0,0,2
0,2,17;76,-1,0,0,2
0,2,19;20,-1,0,0,2
0,2,19;21,-1,0,0,2
0,2,19;26,-1,0,0,2
0,2,19;29,-1,0,0,2
0,2,19;30,-1,0,0,2
0,2,19;31,-1,0,0,2
0,2,19;32,-1,0,0,2
0,2,19;34,-1,0,0,2
0,2,19;36,-1,0,0,2
0,2,19;41,-1,0,0,2
0,2,19;42,-1,0,0,2
0,2,19;43,-1,0,0,2
0,2,19;48,-1,0,0,2
0,2,19;51,-1,0,0,2
0,2,19;52,-1,0,0,2
0,2,19;55,-1,0,0,2
0,2,19;60,-1,0,0,2
0,2,19;61,-1,0,0,2
0,2,19;63,-1,0,0,2
0,2,19;68,-1,0,0,2
0,2,19;73,-1,0,0,2
0,2,19;74,-1,0,0,2
0,2,19;76,-1,0,0,2
0,2,20;21,-1,0,0,2
0,2,20;26,-1,0,0,2
0,2,20;29,-1,0,0,2
0,2,20;30,-1,0,0,2
0,2,20;31,-1,0,0,2
0,2,20;32,-1,0,0,2
0,2,20;34,-1,0,0,2
0,2,20;36,-1,0,0,2
0,2,20;41,-1,0,0,2
0,2,20;42,-1,0,0,2
0,2,20;43,-1,0,0,2
0,2,20;48,-1,0,0,2
0,2,20;51,-1,0,0,2
