bit_index,pair_votes,triplet_votes,total_votes,max_votes
5,125,0,125,125
10,125,0,125,125
19,125,0,125,125
48,125,0,125,125
60,125,0,125,125
1,103,0,103,103
9,103,0,103,103
51,103,0,103,103
14,94,0,94,94
44,94,0,94,94
30,90,0,90,90
63,90,0,90,90
61,88,0,88,88
3,72,0,72,72
12,72,0,72,72
37,72,0,72,72
67,72,0,72,72
16,68,0,68,68
26,68,0,68,68
73,68,0,68,68
74,68,0,68,68
11,66,0,66,66
15,66,0,66,66
32,66,0,66,66
34,66,0,66,66
42,66,0,66,66
52,66,0,66,66
76,66,0,66,66
18,59,0,59,59
24,59,0,59,59
58,59,0,59,59
64,59,0,59,59
78,59,0,59,59
8,57,0,57,57
33,57,0,57,57
35,57,0,57,57
66,57,0,57,57
79,57,0,57,57
21,53,0,53,53
68,53,0,53,53
0,37,0,37,37
2,37,0,37,37
6,37,0,37,37
7,37,0,37,37
22,37,0,37,37
25,37,0,37,37
49,37,0,37,37
54,37,0,37,37
59,37,0,37,37
62,37,0,37,37
65,37,0,37,37
72,37,0,37,37
77,37,0,37,37
4,35,0,35,35
13,35,0,35,35
23,35,0,35,35
46,35,0,35,35
47,35,0,35,35
50,35,0,35,35
53,35,0,35,35
57,35,0,35,35
75,35,0,35,35
17,31,0,31,31
20,31,0,31,31
29,31,0,31,31
31,31,0,31,31
36,31,0,31,31
41,31,0,31,31
43,31,0,31,31
55,31,0,31,31
38,22,0,22,22
