node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00010000001000010110011000010101010110100110100101101010011010101000100100010001,,9,0,0,22.839
0,00111000001010010110010000011001010110110110100101101010111000101001010100010001,,7,2,0,14.714
0,10001000101110010101011000010110100101100101001010101001001001101001010000011000,01000100011010110111101010111001101001010101011011011010010110110101100001100000,7,0,1,0.016
0,10001000101110010100011001010110100101101100101010101001011001100001110000001000,,7,1,0,11.001
0,00001000101110000100001001010110100101100101101010001001011001101001010000011000,,9,0,0,21.734
0,00011000001110010110011010000101010110100110100001101010111010101011010100010001,,6,2,0,15.436
0,00010000001010000000011010010001010110110110100101100010111010101001110100010000,,9,0,0,12.092
0,10001000101110010101011001010010000101100101101000101001010001101001010000011000,01000100011010110111101010111001101001010101011011011010010110110101100001100000,8,0,1,0.017
0,00010000001000000110011010010101010110110110000101101010111000101011110100010001,,7,1,0,10.252
0,00010000000010010110011010010101110110100110100101101010011010101001110100000001,,7,1,0,10.093
0,00011000001010010110011010010001110110100110100101111010011010101001110100010001,,5,2,0,5.37
0,00010000001010010110011010010101000010100110100101101010011010101001110100010000,01000100011010110111101010111001101001010101011011011010010110110101100001100000,8,0,1,0.019
0,00010000001010000110011010010100010110100010100101001010011010101001110100010001,,9,0,0,32.692
0,10001000100110110101010101000110000101100101101010101001001001100001010000011000,01000100011010110111101010111001101001010101011011011010010110110101100001100000,8,0,1,0.024
0,10001000100100010101010001010010100101100101101010101001011001100001010000011000,,9,0,0,29.459
0,10001000101110010101011001010110100101100101101010101001011001101001010000011000,01000100011010110111101010111001101001010101011011011010010110110101100001100000,4,0,1,0.005
0,00010000001010000110011110010101010100100110100101001010011010101001110100010001,,8,1,0,13.258
0,00011000001010010010011010010101010110100110100101101010010010100101110100010001,01000100011010110111101010111001101001010101011011011010010110110101100001100000,6,0,1,0.008
0,00011000001010010110011010010101010110100110100101111010011010101000110100010001,,5,1,0,6.003
0,00011000001110010100011010011101010100100110100100101010111010101100010100010001,,7,2,0,12.302
0,00010000001010010110010010010101010110100110100101101010011010001001110100010001,01000100011010110111101010111001101001010101011011011010010110110101100001100000,7,0,1,0.014
0,10001000101111010100011111010110110101101101111010101011011001101001010000011100,,3,6,0,10.013
0,10001000101010110100011111010110100100101101001010101001011001001001010000011000,,6,1,0,14.179
0,10001000101100110101011111000110100101100101101010101001011000101001110000001000,,6,2,0,8.752
0,10001000001110010101010001010110100101100101101110101001011001101001010000011000,,6,1,0,8.217
0,10001000101110010101011101010100100101100101100010101001011101101001110000011000,,5,2,0,8.216
0,00010000001010010100011011010101010110100110100101100000011010101001110100010001,,8,1,0,9.195
0,00011000001000010110011010010101010010100110100100101010011010101001110100010001,01000100011010110111101010111001101001010101011011011010010110110101100001100000,7,0,1,0.018
0,10000000100110110000011001010110100101100101101010101001001001101001010000011000,01000100011010110111101010111001101001010101011011011010010110110101100001100000,8,0,1,0.03
0,00011000000010010110011000000101010010100110100101101010011010101001110100010001,01000100011010110111101010111001101001010101011011011010010110110101100001100000,8,0,1,0.027
0,10001000101100010111011101010100100101100101101010001001011001101001010000000000,,8,1,0,14.316
0,10001000101110010101011100010110100001000101101010101001010001101011010000001000,01000100011010110111101010111001101001010101011011011010010110110101100001100000,7,0,1,0.4
1,10011000001000000110011110111100001111001011010111000101000011101101100010010000,00100100001110111111000101100010110101110100101110111110111110001001101001100000,8,0,0,0.011
1,00001001001110110011001100100011111011010111110000111101111101100000011000110001,,5,2,0,8.961
1,00001001001110010011001010100011101011000111100000111001111101100000011000001001,,9,0,0,18.302
1,00001001001110100010001010100011101111010111110000111101011101100000011000011000,,8,1,0,15.262
1,00001001001110100101001010000010101011000111110000111101111101100000011000001001,,9,0,0,16.074
1,00001001001110010111001010000001101011010111110000111101011100100000011000011000,,9,0,0,22.51
1,00001001000110010111001110100011101110010111110000111101101101100000011000011000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.071
1,10011000011000000110100110111100001111101011110100000111110011101101100010010000,,7,2,0,6.259
1,10011000000001000110111110111000001111101011010111000001010011101101110010010000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,6,0,1,0.01
1,00001001001100010011001110100011101011010101010000111100111101100000011000011000,,9,0,0,16.886
1,00001001001100110011001010100011101111010111110000011101111101100100011000010001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,6,1,1,0.01
1,00001001001110110111000010000011101011010111110000111101111101100000001000011000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,0,1,0.065
1,00001001001110110111001000100011101111010111100000011101111101100000011000010001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.011
1,00001001001110010111001011100011101011000111110000111001111100100010010000011001,,7,1,0,14.287
1,10000000001000000110111110111100001111101011010111000001010011101001110010010000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.813
1,00001001001110010111001010100011001011010111111001111101110100100000011000011001,,7,2,0,7.5
1,10011000011000000110110110110000001111101011010111000101010011100101100010000000,,9,0,0,9.503
1,00001001000110110001001100100011101001010111110000111101011101100000011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.012
1,00001001001110010111001110100011101111000111010000111100011101100000011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.013
1,00001001000110110011001010100011101011010101110000011101111101100010001000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,0,1,0.017
1,00001001000110110111001010100011101001010111010000111101011101100010011000011000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,0,1,2.753
1,00001001001100010111001110100001101001010111110000111101111101100000011000001000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,4.251
1,00001001001000010101001110100011101001010111010000111101111101100000010000011001,,9,0,0,24.305
1,00000001001110110110001100100011101011010111110000101101111101100000011000001000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.018
1,00001001000110010111001110100011101001010110100000111101111100100000011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.021
1,00001001001110110111001010100010101011010111110001011101111101100000011000001000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.368
1,00001001001010010111001010100011101011010001110000101101111101100000010000011001,,9,0,0,60.575
1,10011000001000000110101110011100001111000011010111000101110011101101110010010000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,0,1,0.011
1,10010000011000000110111110111100001111100001010110000101110011111101010010110000,,7,2,0,9.783
1,00000001001100100111001010000011101011010110110000111101111101100000011000010001,,9,0,0,10.51
1,00001001001110010111001010100011101010010111110000111101111101100000011000010001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,6,0,1,0.005
1,00001001001100110111001010100011001011010110110100111101111101100000011000011001,,6,1,0,8.718
1,00001001001110010111001010100011101011000111110000111101111101000000011000001000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,4.152
1,00000001001110110111001010000011101111010111111000111101111101100000011000011000,,6,2,0,5.918
1,00001001001100010101001110100011101011010111110000111001111001100000011000001001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.041
1,10011000011000000110111010111100000110101011010110000101010001101101110010010000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.882
1,00001001001100110111001110100010001111010111110000011101111100100010011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,6,1,1,0.118
1,00001001001110010111001110110011101001010111111000111111111001100010001000011000,,6,3,0,10.33
1,00001001000110010111001110000011100011010111110000111101011101100000011000010001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.014
1,00001001001110100111001010100011101011010111100000111001111001100000011000001001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.079
1,00001000001110110101001010100011101111010111110000111101011100100000011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.013
1,00001001001100010110000010000001101011010111110000111101111101100000011000011001,,9,0,0,34.561
1,00001000001110010111001010100011101011010111110000111100111101100000001000000001,,9,0,0,12.034
1,00001001001111110011001110110011111111011111110100111111111101000110011000011001,,2,7,0,6.675
1,00001001000110010111001010100011101011000111111000111101111001100000011000011000,,8,1,0,21.443
1,10011000011000000100110110111000001111101011010101000001010011101001110010010000,,9,0,0,15.138
1,10011000011000000110111110111100011110101011011111000101110011001001110010010000,,5,2,0,5.132
1,00001001000110010101001110100001101011010101110000111101111101100000011000111001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.013
1,00001001001100000111001110100011101010010101110000111101111101100000011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,0,1,0.016
1,00001000001110110011011110100011101011010111111000111101111100100000001000011001,,6,2,0,7.414
1,10011000011001000110111110111100000111001011010111000101010011101001110010000000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,6,0,1,0.033
1,00001001001110110111000110100011100111010111110000011101111101100000011000110001,,6,2,0,11.258
1,00001001001010110111001010100010101011010111110000111100110101100000010000001001,,9,0,0,16.097
1,00001001000110100111001010100011101011010111100000111101101101100000011000001001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.014
1,00001001001110110011001010100010101111010111110000011101011001100000011000011001,,8,1,0,10.756
1,10011000011000000110111110111100001111101011010010000001010011101100010010000000,,9,0,0,10.435
1,10011000010000000010011110111100001111100011010111000101100011101001100010010000,,9,0,0,22.416
1,00001001001110010111001000100011101011010111110000111101100100100000011000011001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.011
1,10010000011000000110111110011100001110101010010110000101110011100101010010010000,,9,0,0,7.014
1,00001001001110110111001010100001101010010111111000111001011001100000011000011001,,8,1,0,7.611
1,10011000011000000110111110110100001101101011010101000101110001101101110000000000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,8,0,1,0.473
