k,indices,error_count,nodes
2,1;5,3,0;1;2
2,1;9,3,0;1;2
2,1;10,3,0;1;2
2,1;11,3,0;1;2
2,1;12,2,0;2
2,1;13,2,0;2
2,1;14,2,0;2
2,1;15,1,0
2,1;19,3,0;1;2
2,1;20,1,0
2,1;26,2,0;2
2,1;29,1,0
2,1;30,2,0;2
2,1;31,2,0;2
2,1;32,2,0;1
2,1;34,2,0;1
2,1;36,1,0
2,1;41,2,0;1
2,1;42,2,0;1
2,1;43,1,0
2,1;48,1,0
2,1;52,2,0;1
2,1;55,1,0
2,1;60,3,0;1;2
2,1;61,2,0;1
2,1;62,2,0;1
2,1;63,2,0;1
2,1;67,3,0;1;2
2,1;73,2,0;2
2,1;74,2,0;2
2,1;76,2,0;1
2,5;9,3,0;1;2
2,5;10,4,0;1;2;3
2,5;11,3,0;1;2
2,5;12,2,0;2
2,5;13,2,0;2
2,5;14,2,0;2
2,5;15,2,0;3
2,5;19,4,0;1;2;3
2,5;20,1,0
2,5;26,2,0;2
2,5;29,1,0
2,5;30,3,0;2;3
2,5;31,2,0;2
2,5;32,2,0;1
2,5;34,2,0;1
2,5;36,1,0
2,5;41,3,0;1;3
2,5;42,2,0;1
2,5;43,1,0
2,5;48,1,0
2,5;52,2,0;1
2,5;55,1,0
2,5;60,4,0;1;2;3
2,5;61,2,0;1
2,5;62,2,0;1
2,5;63,2,0;1
2,5;67,4,0;1;2;3
2,5;73,2,0;2
2,5;74,2,0;2
2,5;76,2,0;1
2,9;10,3,0;1;2
2,9;11,3,0;1;2
2,9;12,2,0;2
2,9;13,2,0;2
2,9;14,2,0;2
2,9;15,1,0
2,9;19,3,0;1;2
2,9;20,1,0
2,9;26,2,0;2
2,9;29,1,0
2,9;30,2,0;2
2,9;31,2,0;2
2,9;32,2,0;1
2,9;34,2,0;1
2,9;36,1,0
2,9;41,2,0;1
2,9;42,2,0;1
2,9;43,1,0
2,9;48,1,0
2,9;52,2,0;1
2,9;55,1,0
2,9;60,3,0;1;2
2,9;61,2,0;1
2,9;62,2,0;1
2,9;63,2,0;1
2,9;67,3,0;1;2
2,9;73,2,0;2
2,9;74,2,0;2
2,9;76,2,0;1
2,10;11,3,0;1;2
2,10;12,2,0;2
2,10;13,2,0;2
2,10;14,2,0;2
2,10;15,2,0;3
2,10;19,4,0;1;2;3
2,10;20,1,0
2,10;26,2,0;2
2,10;29,1,0
2,10;30,3,0;2;3
2,10;31,2,0;2
2,10;32,2,0;1
2,10;34,2,0;1
2,10;36,1,0
2,10;41,3,0;1;3
2,10;42,2,0;1
2,10;43,1,0
2,10;48,1,0
2,10;52,2,0;1
2,10;55,1,0
2,10;60,4,0;1;2;3
2,10;61,2,0;1
2,10;62,2,0;1
2,10;63,2,0;1
2,10;67,4,0;1;2;3
2,10;73,2,0;2
2,10;74,2,0;2
2,10;76,2,0;1
2,11;12,2,0;2
2,11;13,2,0;2
2,11;14,2,0;2
2,11;15,1,0
2,11;19,3,0;1;2
2,11;20,1,0
2,11;26,2,0;2
2,11;29,1,0
2,11;30,2,0;2
2,11;31,2,0;2
2,11;32,2,0;1
2,11;34,2,0;1
2,11;36,1,0
2,11;41,2,0;1
2,11;42,2,0;1
2,11;43,1,0
2,11;48,1,0
2,11;52,2,0;1
2,11;55,1,0
2,11;60,3,0;1;2
2,11;61,2,0;1
2,11;62,2,0;1
2,11;63,2,0;1
2,11;67,3,0;1;2
2,11;73,2,0;2
2,11;74,2,0;2
2,11;76,2,0;1
2,12;13,2,0;2
2,12;14,2,0;2
2,12;15,1,0
2,12;19,2,0;2
2,12;20,1,0
2,12;26,2,0;2
2,12;29,1,0
2,12;30,2,0;2
2,12;31,2,0;2
2,12;32,1,0
2,12;34,1,0
2,12;36,1,0
2,12;41,1,0
2,12;42,1,0
2,12;43,1,0
2,12;48,1,0
2,12;52,1,0
2,12;55,1,0
2,12;60,2,0;2
2,12;61,1,0
2,12;62,1,0
2,12;63,1,0
2,12;67,2,0;2
2,12;73,2,0;2
2,12;74,2,0;2
2,12;76,1,0
2,13;14,2,0;2
2,13;15,1,0
2,13;19,2,0;2
2,13;20,1,0
2,13;26,2,0;2
2,13;29,1,0
2,13;30,2,0;2
2,13;31,2,0;2
2,13;32,1,0
2,13;34,1,0
2,13;36,1,0
2,13;41,1,0
2,13;42,1,0
2,13;43,1,0
2,13;48,1,0
2,13;52,1,0
2,13;55,1,0
2,13;60,2,0;2
2,13;61,1,0
2,13;62,1,0
2,13;63,1,0
2,13;67,2,0;2
2,13;73,2,0;2
2,13;74,2,0;2
2,13;76,1,0
2,14;15,1,0
2,14;19,2,0;2
2,14;20,1,0
2,14;26,2,0;2
2,14;29,1,0
2,14;30,2,0;2
2,14;31,2,0;2
2,14;32,1,0
2,14;34,1,0
2,14;36,1,0
2,14;41,1,0
2,14;42,1,0
2,14;43,1,0
2,14;48,1,0
2,14;52,1,0
2,14;55,1,0
2,14;60,2,0;2
2,14;61,1,0
2,14;62,1,0
2,14;63,1,0
2,14;67,2,0;2
2,14;73,2,0;2
2,14;74,2,0;2
2,14;76,1,0
2,15;19,2,0;3
2,15;20,1,0
2,15;26,1,0
2,15;29,1,0
2,15;30,2,0;3
2,15;31,1,0
2,15;32,1,0
2,15;34,1,0
2,15;36,1,0
2,15;41,2,0;3
2,15;42,1,0
2,15;43,1,0
2,15;48,1,0
2,15;52,1,0
2,15;55,1,0
2,15;60,2,0;3
2,15;61,1,0
2,15;62,1,0
2,15;63,1,0
2,15;67,2,0;3
2,15;73,1,0
2,15;74,1,0
2,15;76,1,0
2,19;20,1,0
2,19;26,2,0;2
2,19;29,1,0
2,19;30,3,0;2;3
2,19;31,2,0;2
2,19;32,2,0;1
2,19;34,2,0;1
2,19;36,1,0
2,19;41,3,0;1;3
