bit_index,pair_votes,triplet_votes,total_votes,max_votes
5,123,0,123,123
10,123,0,123,123
19,123,0,123,123
60,123,0,123,123
67,123,0,123,123
1,105,0,105,105
9,105,0,105,105
11,105,0,105,105
44,92,0,92,92
41,88,0,88,88
30,84,0,84,84
3,74,0,74,74
16,74,0,74,74
37,74,0,74,74
38,74,0,74,74
58,74,0,74,74
32,70,0,70,70
34,70,0,70,70
42,70,0,70,70
52,70,0,70,70
61,70,0,70,70
62,70,0,70,70
63,70,0,70,70
76,70,0,70,70
12,66,0,66,66
13,66,0,66,66
14,66,0,66,66
26,66,0,66,66
31,66,0,66,66
73,66,0,66,66
74,66,0,66,66
8,57,0,57,57
17,57,0,57,57
33,57,0,57,57
35,57,0,57,57
65,57,0,57,57
68,57,0,57,57
79,57,0,57,57
24,53,0,53,53
66,53,0,53,53
78,53,0,53,53
15,49,0,49,49
4,39,0,39,39
18,39,0,39,39
23,39,0,39,39
28,39,0,39,39
46,39,0,39,39
47,39,0,39,39
50,39,0,39,39
53,39,0,39,39
57,39,0,39,39
75,39,0,39,39
0,35,0,35,35
2,35,0,35,35
6,35,0,35,35
7,35,0,35,35
22,35,0,35,35
25,35,0,35,35
49,35,0,35,35
54,35,0,35,35
59,35,0,35,35
72,35,0,35,35
77,35,0,35,35
20,31,0,31,31
29,31,0,31,31
36,31,0,31,31
43,31,0,31,31
48,31,0,31,31
55,31,0,31,31
