"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b10110011110000011011000111010000000000101000010000010001000000100000110011000000",2,5118.8083146653025,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",13,2,0,0,0.9931415387742444,33.78614713079063,451.6492440690788,-0.09381532521953866,0
1,"b01000010010000001100001010010000001010100001110000001100000001111000000000000010",1,3375.5402728774616,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",18,3,0,0,0.9458589320551777,378.6580506445152,18.62813483667396,3.9205581860712133,0
2,"b11010111110001110011001111010010100100011000010000110001000101000000010111110100",2,2951.8549778431343,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",10,10,0,0,1.0914530226944754,462.08124362080616,7.714642721915309,5.274734591398737,1
3,"b00110000100011000110011101110001101100000000010000000010001110010101101100001000",3,3584.915178438523,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",9,19,0,0,0.9127010077762314,38.8266929571143,259.9463567362856,4.413289928638118,0
4,"b00000000010000000000001000000000000000000011011111100101111100011101000000000001",3,1463.5428795982539,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",14,16,0,0,0.8542166590424272,327.356429262742,271.42198390029574,4.497004655156189,0
5,"b10010010110001110100010000001010000000010100010000001000000101100010000001101000",3,1853.56666676841,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",14,18,0,0,1.2367459381808679,313.4284301486125,158.58710047251392,6.104919266269045,0
6,"b01001000001011010000000001100000001010000000000010000000000001010000011110000000",3,3418.8318877533957,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",6,4,0,0,0.8207753258915984,327.5037890307476,490.9891474225322,0.9688500998364411,0
7,"b10000110100000001000011101110000100001000011000111100110001100001000000001100000",1,2217.1570008447247,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",20,10,0,0,0.8939625026649392,411.4666428627112,479.0643390508798,4.530899636990273,0
8,"b00001000001010000000000000000100011000010000010000100101110000100111000010100110",3,1644.0487235229384,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",12,14,0,0,0.8211830379294531,169.77231179802976,509.4411817634868,4.0290519648848715,0
9,"b01101000000101000001010000001001110110001000000000101100000001000000100100101010",3,2841.0549697852034,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",13,17,0,0,1.1455536015903047,281.7120134308493,463.40982183196843,5.6985541202290335,0
10,"b00000001100000110110000000000000000000000101000000000110000000001001001000000010",3,3364.810294321264,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",11,6,0,0,0.8192835086393433,351.4571478000217,170.7494703640408,5.04065193075175,0
11,"b00000000000000000000011100000001001000000000111000111100100000011000000000000000",3,2102.0115779643243,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",15,11,1,-1,0.7350668668926793,430.02603426336293,465.97369704723064,1.9434952396074512,0
12,"b10000010111001001011000001010011100000110000010000110001000010100000010100000000",2,4780.620919486024,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",14,2,0,0,0.8709780442965261,454.6715181455895,335.36224249307594,3.274782877590957,1
13,"b01001110001000011111000010100001101111000001000100001000111110110000110001100000",1,5224.498521511516,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",7,3,0,0,0.8090511536325586,132.39991811427444,95.8333648638786,0.7162041436092016,0
14,"b00010000001001000010110000001000000000000000101011010001001001000000011010000000",3,1348.3472702544,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",16,15,0,0,1.0441838184110677,283.68380580804285,328.3675306995823,1.3280890238914476,0
15,"b00100000110000001000100000011000011011000100101100100000011000000101100100101100",3,2959.323770093073,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",13,19,0,0,1.2852616636199155,161.01429936380097,144.75839138556447,3.2096045034114944,0
16,"b00100000100001110010000110000100011000100001101010000110000010001010000000010001",3,843.9344103320416,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",11,15,0,0,0.8374726582966524,118.14079458535123,178.1864459959738,0.7473697201667577,0
18,"b00000000000000000011000110000100001001101100001000011011100111011011010111001000",2,2013.9143084658767,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",17,9,0,0,0.8167691010890271,501.2301570784857,271.99714503993124,1.991495004392236,2
19,"b11010000001010000010010000001000100100110010000001111000001010011011100000101000",3,2295.8409245628113,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",13,20,0,0,1.237142379554151,110.83314762182403,271.0522906922458,5.226934790536696,0
20,"b00100001101000000100000010001100001000011100000110001001100011011010011111001100",2,6724.576194343341,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",7,0,0,0,0.7933411261237248,195.34742489919523,6.2566106953950325,3.172623577584024,2
22,"b10000110100000001111001010100001111110000010010100001000111110110000111001100000",1,4364.889614633677,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",8,5,0,0,1.0982169969748494,163.56024426875265,85.59838420808178,1.2107416352846756,1
23,"b11001110101000001101000000100000100111000110010100001000101100100000111011100000",1,5491.836440446925,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",7,1,0,0,1.0556852490164246,456.004000386798,481.10020493760317,4.909701029783555,2
24,"b00000011000110110100001110000100100010010110010010110001110001000010010100000101",0,2066.3265972499184,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",18,15,0,0,0.9032010828367383,403.8193680690708,376.3138061135623,6.034563148697371,0
25,"b00011001101000000100000010001000001000011000000100001011101011111100011111001101",2,3950.288649972301,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",7,2,0,0,0.9020832648045919,463.1556295555851,395.21703349032026,0.2730055588636454,3
26,"b01101000000110000000001100000100110011000001100000001100000000100100110000010100",3,2308.108589346992,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",13,16,0,1,1.2470780899091773,298.8082447329713,78.89984452037727,5.5446822230547586,0
27,"b01000110101000111110000000100000101101000111010100001000111100110000111001100000",1,6014.28491747146,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",4,0,0,0,0.8340216521201433,321.1436818745322,501.1632331580561,1.0677309456530177,3
28,"b01000000100010101110001001111011001001110000001000011101100000111000000000000000",3,2499.8700672528626,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",10,18,0,0,0.8201579702383064,448.0761682538019,264.7235308716263,4.53962488675108,0
29,"b00000100011100000100011100010000100011100001100100000100000011111000010101100011",1,4716.587291057358,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",8,0,0,0,1.0403243660143415,260.68772692024777,473.41832544346954,2.5286378484087537,4
30,"b11010001000110000010111000001001100100010011000000011100001001000001100010001100",3,1315.5607485176351,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",15,23,0,0,1.1289089134171566,265.69827400223403,91.40276054737056,3.9904577685712463,0
31,"b00011100111111110001010011000000001100000001110110001110111000010011001110001100",3,2699.6423580466885,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",7,24,0,0,0.9332746776184772,397.77344545692864,218.42107852560835,6.277222323926068,0
32,"b00001000001010100000000000000100001110000000001001000000001011011000000000100000",3,2262.0197569374623,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",10,7,0,0,0.7634577752173585,231.81968455924127,151.11933888887106,4.2080461402619935,0
33,"b01100100000111010000000100100000000100000000001100010000100101110000001001000000",3,1307.7232547563613,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",13,14,0,0,0.8691716076894149,504.0695278252776,76.50659907031512,2.4105865166631366,0
34,"b00000000000000000000000000000000001000000000100000000001000000110000000000000000",3,5230.01754207735,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",16,2,0,-1,0.8265048576583885,189.56189573533362,228.71968896085508,0.19538859707088066,0
35,"b00110000100010000111011011110001100100000000110000000000000010011111011000111000",3,4173.257115874611,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",9,19,0,0,1.2262284478850347,294.4027992935709,240.74563174875448,1.81589150872,0
36,"b01001000001010000000000000000000000010010000010000000000000001100000011000000000",3,5104.503727672209,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",8,0,0,0,0.8651280940021782,8.916855475428871,315.5805511258581,3.6376230165092815,0
37,"b01010010000010000000011000001001101000000000000001011000000000001001100000001110",3,2344.2547599673094,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",15,15,0,0,1.189691532844804,296.0276099716718,209.2796510833977,3.8064527516219333,1
38,"b11001110001000010010000000000000001111000101010000001000100100010000111000100000",1,5452.837829918216,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",13,0,0,0,0.9378794824656815,126.7221489177624,407.51979482331507,6.118623408094384,5
39,"b00110001100000010100001111010001111110000000110000001110000110011111101100000000",3,2130.161072849074,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",9,22,0,0,0.9592439408075156,39.56556719579664,15.915609228276761,0.8442064920984778,1
41,"b10111000100001000011001110001110001110110001010000100101110000100101100010000000",0,1356.1465384263608,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",18,17,0,0,1.0095564357817897,484.106894196641,125.77367422965577,2.5437205867998296,0
42,"b00110111101000000100000110001100011000111000000110011011100001001110011110001001",2,4321.851224390461,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",9,7,0,0,1.0935339241157098,408.1374645451504,118.76028378932966,0.016693563797416225,4
43,"b00001100001001100010000100001111001100010000000110000101000001000011000110000100",3,2752.4118274231737,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",11,16,0,0,0.9608798550923915,344.8330661807583,205.46275905911014,4.862352428285169,1
44,"b01010011101000000100000010001000001000011100000100000010100010011000011111001011",2,4539.578933730309,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",12,3,0,0,1.1498084382272284,421.03066461272397,110.91748048576724,3.857420216254664,5
45,"b01100100100111000000001000000001000110001111000000000100000100010001001100111110",3,2923.746621791831,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",12,19,0,0,1.3014785359224714,155.2508288032193,334.9001706083392,6.233030890948505,1
46,"b00110000000110000110011000110000000010000001110000000000000000010001101000111000",1,2700.2472043622993,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",24,9,0,-1,0.9269952069185956,92.65296176278406,36.45380565520549,3.0922954847019315,6
47,"b01101000000101000000011000001100100000101000000001111000000100010011001101010110",3,3187.8920626960958,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",14,21,0,0,1.130412682239644,120.58582636088461,156.7510664546948,0.9183365191705376,1
48,"b01000000001100000010011000001001110100010011000000001100010000000000100000010000",0,2841.5413554259753,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",22,9,0,0,1.159498892090627,356.5040353887221,86.2177896768439,1.7592514834812623,0
49,"b10010011110001110011000111000001100000011000010000110001000000100000010110001000",2,4601.593188449291,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",10,1,0,0,1.1803059723328442,291.4239581594842,280.7902465794684,4.16639683540735,6
50,"b00001000000000100010001000001000001000110000011010000100010000000101000100100110",3,3632.5861533893017,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",12,12,0,0,1.0080406129558959,30.208862171110287,246.7431287043181,2.283581848465328,1
51,"b11001100101000000011000000100000100110000111010100001000001100110000111001100000",1,5877.621517839978,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",9,0,0,0,1.3104618339403213,476.41155596645143,326.7191578924086,4.395044150406596,6
52,"b00111001101000000111000010001000001000011100000110001011100011011010001111001101",2,4994.52030415405,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",5,2,0,0,1.0882078430828068,206.2250539427073,134.56589831843684,4.583813266151687,7
