node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00000010001000000010011001000001010000101110101000100000100111000011010000000001,00100000011100111111110000100111101010010101000010111001000010001000100000001000,9,0,0,1.519
0,00010010001001000010011111000000111000101110111000110000100111000111000100010000,,5,4,0,23.461
0,10001000101011100011100100000100111101100100001110000000101001000010110001010000,,5,3,0,27.635
0,00011010000001000010011001000001110000001110111000100001100011000011010100010000,00001010101011100011000111000101011101110000001110000010011011000010100001111001,7,2,0,11.256
0,00000000001101000010010001000001110000101100101000100000000111000110010100010000,01000110001100011101110000011111011010001111001010010001000011010000100000000000,9,0,0,7.919
0,00011010001101000010011001001001010000101100101000100000100111000011010100010000,,5,1,0,24.899
0,00010010000101000010011001000001110000101100001000100000100111000111010100000001,,6,0,0,28.135
0,00000010001101000010011001000001000000101110101000100000100111000011010100010001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,6,0,1,2.34
0,10001000001011100011100000000100010101110100001110000010111001000010010000010000,00100100111100011101100000000111101010000111000010011101001011010000100000100100,6,1,0,0.232
0,00011010001101000010001001000001110000001010101000100010100111000111000100010001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,5,1,1,0.025
0,00000010001101000010001001000001110000101110101000110000100111000111010100000001,01000000001100111101110000100111101010000111010010001001000011111001100000001001,4,0,0,0.15
0,00011010001001000010011000000000010000100110101000110010000111000111010100010001,01100100011100011101110010001101111000100001000011011000000011010000100011101000,6,1,0,1.642
0,10001000001011000011101101001100010101110100001110000011111001000010010001001000,10000100011100001101110010111111100110000111000010011111000010111001101001001000,4,4,0,5.691
0,00011011001101001011001000000001110000001010101000100000000111000111010100010001,10001000101011101011100100000100010101110001001110001000010111010010100111011000,6,3,0,20.952
0,00001010001001000010111000000001110000101110001000110110100111000111010100010001,,4,3,0,19.387
0,10001000101001100011000000001100000100110000001110000010011001000000110001000000,01000000011101111001111100001011101000000111000000011001001011000000100000001000,9,0,0,0.524
0,00010000001001000010011001000000010000101110101000110000100111000011010100010001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,6,0,1,4.044
0,10001000101011000010100001000100010101100100001010000010011001000010100001111000,,7,2,0,30.436
0,00000010001101000010011001000001010000101000001000100000100111000111010000010001,10000100011100011101100000100111000010001101000010011000000011110100100000011000,8,0,0,7.466
0,10000000101011100011100100001100010101100000001110000010011001000000100001110000,10000000101011100011101100001100010111100000001110000010011011101010101001010000,6,1,0,2.459
0,10001000101011000011000100000100010100110100000010000010011001000010010001110000,01000100011100001101100000110011101010000101000010011011001010110000100100111010,8,1,0,14.397
0,00010010001001000010011001000001000000101110001000100000100111000111000100010001,01001100011100011101100000100111100010000101010110011001001011010000100001001000,7,0,0,9.541
1,11001110101000001101000000100000100111000110010100001000101100100000111011100000,01111100111111000011010100000000011001010011100110110100010011000001000000011101,7,1,0,9.069
1,01000110101000111110000000100000101101000111010100001000111100110000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,2.563
1,00000100011100000100011100010000100011100001100100000100000011111000010101100011,01011000111111110001110100000000011001000000001110011100011011000011000000111001,8,0,0,9.299
1,11001100101000000011000000100000100110000111010100001000001100110000111001100000,01011100111100011001000110010001011001000110101110110000010011000011000000011001,9,0,0,0.64
1,00000110011100001100011100010000101011000001110100000100000010111100000100110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,0.456
1,01001010101000111010000000100000001111000011010100001000111100100000111001000000,01010100101101110001000110000000111100000110101100111101010011100001000011001001,8,0,0,4.382
