"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b00000000010000000110100000000000000000000100010000100000000000000101100100000000",3,2527.523211585164,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",13,5,0,0,0.7737007742355503,60.882165915717906,217.07496825343344,0.8639245547934087,0
1,"b00010000110001000100000000110001100001000000010000000000001100000100110100011100",3,3971.282994261454,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",11,12,0,1,1.3199642551339053,278.0683685474348,490.5333247455673,4.3420976577599415,0
2,"b11001110101000111101000000000000101010000100010100001000111100100000001001100000",1,5775.520471448217,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",9,0,0,0,0.7796036916265104,338.4153326043864,304.4493233335801,3.4393864062527797,0
3,"b00000110011100000100101100010000001011100001110100000100000001110000010101010000",1,6231.445078829322,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",10,0,0,0,1.1517155344083971,219.08134253206987,40.30958335972885,3.100957267913452,1
4,"b00111100101100000110000010001000001000011000000100001001110000011110001111001101",2,3911.832088552926,"b10111011111001011111000111010001100000111000010000110001000000110000010110011100",11,5,0,0,0.9790281842227407,507.2239659944809,43.80392415641701,3.1665648704465985,0
5,"b11000000001000000010111011001000100000001011000000100000011000000000000100010000",0,2396.424230115435,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",21,8,0,0,1.2610678754509974,36.72501378811286,481.000914301463,2.1772378195012667,0
6,"b00000110011100001100001100010000100001100011110100000100000010111000010000111011",1,4846.075791549584,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",8,1,0,0,1.1479538295793517,373.8635048280991,11.671131235095261,1.7669503705029852,2
7,"b01000011000001001000111101100011001000011100000110000011110010010110001100000011",3,2944.570325716046,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",11,23,0,0,1.1167782135184983,68.17501078934157,463.5979683005902,3.434970482604263,0
8,"b00001000000010000001000000000000001000010000000000000000000001111000011101000000",3,5791.245324204429,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",7,1,0,0,0.7456309046616044,154.44019101292514,127.56346837544336,2.8175342782550445,0
9,"b11100100000000001011000000000000101111000010110100011001110000000010101011000011",1,3315.814129634586,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",16,8,0,0,0.9937410510772549,327.52907679400107,485.2186975614292,6.089786570832147,3
10,"b11011000000101111000000001111000000100010000010100100100010100010000000000000000",3,1280.3221387407953,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",12,15,-1,0,0.9516789753575803,503.66540418836803,141.53924499027312,1.5320837762124948,1
11,"b01000000000010000000000000000000001100010000010000000000000001010000011000000000",3,2768.459272895371,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",10,1,0,0,0.7276076626689808,205.43410862606578,236.10202052302807,2.3698916472448834,1
12,"b00000000000000000000000000000000001000000000110000001110000000100000000000000000",3,3581.1722375672666,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",16,4,0,-1,0.706482972160643,219.7475668560205,499.87922801012155,5.931900475968236,1
