node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,10001000101011000010100111000000010101110100001110000010111001000010110001000000,01000100011100001101010011110111101010000110001010011101011011011000100000001000,6,3,0,2.509
0,00010010001101000010011000000001110000101110101000100000100111000110010100010000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,5,0,1,0.513
0,10001000101111100011000100000100010101100100001010000010010001000010010001101000,01000100011100111111101000100001101110000101000010001000001011010011100001011000,7,2,0,1.152
0,00000010001001001010011001000001110000101110111000100000100101000110010100010001,10010000001101001001000010011001000011101001110111000100010110111010101010100010,6,2,0,7.903
0,10001000001011100011100100001100010001110100001010000000010001000000010000001000,00000100111101011101110000110111100010000101000010001000000110101000100001001000,9,0,0,0.085
0,10010010001101000010011001000000010000001110111000110000100111000011010100010000,01000000001100001111110000110111101110000001110000011001001011010100101001011000,6,2,0,24.576
0,10001000101001100001100100001100000101110100000010000010001001000010110000000000,01000100011010111001110000100111101100000110000010010101000011010100100001001000,9,0,0,12.779
0,00010010001101000010011001000000010000101110100000110000100011000111010000010001,11000100011100111101110001110001101000000001000010011001000011011000100001001000,6,0,0,12.797
0,00011010001001001010010001000001000000101110001000110000100111000011010100010001,01000100011111111101110000100111101010100110000010010001000011010010100001101000,6,1,0,10.193
0,00010010001101000010011000000001110000000110101000100000000011000011010100010000,01010100001100001101100000000101101010000111000010011010000011011000100001001010,9,0,0,13.089
0,10001000101001100011100000001100000111110100001000000010011000000010110001010000,01000100011100011001111000001111111000000111000110011010000011110000000000101000,7,1,0,0.75
0,10001000101011100001100100000100010101100100001110000010011001000010010001001000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,5,0,1,0.021
0,00010010001101000010111001000000010000001110000000110000100011000111010100010000,01000000001101111111110100100011100000000001000010111001000011110000100011001000,8,1,0,4.238
0,10001000101011100011100100001100010101110100000010000010000001000010000001100000,01000100011100011111010000100111111010000100100010000001010010010000100110011000,8,1,0,5.097
0,10001000101011000010100100001100011100110100001000000010111001000010010001001000,,7,2,0,32.809
0,10001000101011100011100100000100010100110100001000000010011000000010010001001000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,7,0,1,6.244
1,11001110101000111101000000000000101010000100010100001000111100100000001001100000,01010100111011111011000000000000010101100010100011111101010010000011000000011001,9,0,0,20.301
1,00000110011100001100001100010000100001100011110100000100000010111000010000111011,,8,1,0,28.755
1,11001110001100001111000000100000001110000111010100001100111000100000111001100000,00011100111111000011010100000100011100000010101110011100110011001101100001011000,7,2,0,1.033
1,00001110001100001100101100010000101000100000110100000110000011111100010001110011,00011100111111110101000110100000001111001110100010101100010011100011100000110000,7,2,0,3.538
1,00000110001100001000011100010000100011100011110100000100000010111000010101110000,01011100001011100001000100000100111111000110001110011100011011001110000000010000,8,0,0,0.267
1,10000110011100001100011100010000100011000001110100000100000010111000010101110011,11001100111011100001000100000010011101000011001101011101011011000111001000011001,6,1,0,16.481
1,11000100101000010111000000100000101110000010010100001000111000110000111011100000,,8,1,0,24.598
1,00000010011100001100011100010000100011100001110100000100000011110000010101110010,01011100101111001001110100010000011110100010001110011101010011000011000000001001,7,0,0,31.787
1,00000010111100001000111100010100101011100011110100000100000011111000010101110011,01111110111111100001011100011000111101000010101110111101010111000010000000001011,3,2,0,0.603
1,01000110101000011111000000100000101111000011010000001000111100110000111001000000,01011000101111101011000100000000111101000100101100110100010111000111000010101001,6,0,0,14.071
1,11001110001000001011000000100000101111000111010100001000111100110000101001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,4.523
1,00000110001000001100001100010000001011100001110100000100000011111000010001110011,00011100111111110001010101000000011111100000101110001100010010000011001000110000,8,0,0,0.42
1,11000010100000010011000000100000101111000111010100001000000100110000111001100000,,9,0,0,25.474
1,10000110101000111111000010000000101011000111110100001000111000110000111001100000,,5,2,0,28.899
1,11001110001000111110000000100000001110000111010100000000111100110000111111010000,,6,3,0,19.763
1,00000110000100000100111100010000100011100001110100000100000011111100000101110011,,6,0,0,29.395
1,00000110001100001100011100010000101011000001010100000100000010111100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,10.322
1,00000110010100001100011100010000111011100011010010001100000011111100010001110011,,5,3,0,19.221
1,11001110001000111111000000000000101110000111010100001000111000010000111011100000,01011100111111110001000100000000111101000010101110011100010111000011000010011101,5,1,0,12.294
1,00000110011100001100011000010000101011100001110000000000000011011000010101110011,01011100111111110001000000001000011101000010101010011000011111000011000000011001,7,0,0,1.01
1,11001010101000000111000000100000000111000111010100001000111100100000111001100000,11010100111111000001000100000001111000000011101110111110100011000001000000011001,7,0,0,6.529
1,11001110101000111001000000100000101111000011010100001000001100110000111101000000,01011100111011110011000100000000111101100010101100111000011111000011000001000011,6,1,0,0.135
1,11001010101000011111000000100000101101000100010100000000111100110000111001000000,01011100111111101101000100000001111101000010100110111100000011010011000000011001,7,0,0,2.317
1,11001010101000001101000000100000101110000111010100001000110100110000101101110000,11001100101010101101000000100000101110000111110100001010110111110000101101110000,7,2,0,15.754
1,11001010001000001111000000100000101111000111010100011000111000110000100000100000,,8,1,0,18.436
1,00000110010000001100000100010000101011100011010100000100000011111100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,1.187
1,11001110100000001100000000100000111111000010010100001000111000110000111001100000,00000110011100001101011000010000101001000111111100010100000011110000000101110011,8,1,0,0.306
1,00000110001100001100111100010000001000100001110000000100000011110000010101110011,00011110111111100101000100000000011100100000100011111100010011000011100000111000,8,0,0,5.46
1,00000110011100001100111100010000100011100000010100000000000011101100010101000011,01110000111110111001000000101000000101000011101110111100010011000011000000111001,8,0,0,21.922
1,11001110001000111110000000000000111111000111000100000000111100010000110001100000,00011010001011001011001000111101110001000010111100000000010011001111101100111000,7,1,0,13.536
1,00000100011100001100110100010000101001100011010100000100000001111000010001110011,,7,0,0,23.652
1,00000110001100001100011100010000001011100001110100000110000011111100000100110011,00000110011110011111011100010000001010100001110100000110010011111100000101110011,6,1,0,22.82
1,11001110101000011011000000100000101110000111000100001000111000010000111001000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,0,1,2.171
1,01001010101000101111000000110000101111000111010100001000111000110000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,1,1,1.898
1,11001010100000111100000001100000101111000111010100001000001100010000111001100000,,7,1,0,25.128
1,00000010001100001100111000010000101011100011010100000000000011011000010101110011,01011110111101100001100101001000110101000010111110111000010111000011001000001000,7,0,0,12.325
1,00000110001100001100010100010000101011100001110100000100000001111100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,19.144
1,11001110101000000011000000000000101111000011010100001000101000110000111001100000,01011100111100100001010000000010111101000110101100011100010011101011000010011001,8,0,0,0.124
1,11001110101000001011000000100000101111000111000100001000111100100000110000000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,8,0,1,16.767
1,11000010101000010100000000100000101110000111010100000000111100110000111000100000,,9,0,0,26.804
1,00000000111100001100010100010000101011100001100000000100000011111100010101110010,01011000101111110001010100000000111000000010101110010100010011011111100000001011,8,1,0,21.021
1,10001110001000001101000000100000101101000111010100001000111000110000111101100000,00011100011111000011000100000000101111001010101110011100010011001111100000011010,7,1,0,7.598
1,11001110101000111101000000000000101110000111010100001000111000110000001001000000,01011100111011110101000000001000011101000010111110011000010110100011000000011001,7,0,0,3.677
1,00000010011100001100011100010000101000100001100100000000000011111000010101010011,01010100011111101001001000000000011001000110100110011100010011110011000000101001,9,0,0,12.404
1,00000110011100001100111000010000101011100001110100000000000001111100010001110011,10011010001011000011011010011101110101000010101000010001001010001111101100111000,5,0,0,22.189
1,11001110001000011011000000101000111101000111010100001000111000110000011001100000,00011100111111100101010100000000101111010010111110011101010011000011001000011001,6,2,0,1.915
1,00000110001000001100011000010000101000100001110100000000000011111000010101110011,01011100111111100101000000001000011111110010101110011000110010000011000000011000,9,0,0,2.911
1,11001000101000001111000000100000101111000111010100001000111100010000100001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,0,1,9.323
1,00000100011100001100011100010000001011100011110100000100000001111100010001110010,,6,0,0,27.102
1,11000110101000011111000000100000101111000111010100011000111100100000101101100000,,4,2,0,18.665
1,01001100101000010111000000000000101011000110010100001000111000110000111001000000,,9,0,0,29.648
1,11001110101000011111000000000000111111000111000100001000101100110000111000100000,00011110111111100001000000001001111111000010001110110100011011100011000000010011,5,1,0,1.379
