node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,10000000101011100011000100000100011001110100001010000010001001000010110001011000,,6,1,0,29.188
0,10001000101011000011000100001000010101010100001010000010010001000010110001000000,,8,0,0,36.98
0,00010010001101000010010001000000000000101110101000100000100110000011010100010001,01000100011100011101100001100011101010000000000010010001001011010000100001001000,8,0,0,0.025
0,00000010001001000010011001000001110000101110000000100000100111000111000100010000,01000110001100011101110100100111100010001111000010011001000011010000100100001000,8,0,0,14.893
0,00000010001001000010011001000001010000100111001000100000000111000111010100010001,01001100011100011101100000000101110011100101000010111001001010010111100000001000,8,1,0,18.587
0,10001000101011100011100010000100010101010100001010000010011001000010010001010000,01000000011110011101110001010110101010100101000010011101000010010100100010101000,6,1,0,10.902
0,00010010001001000010010001000001110000001110001000100010100111000111010000010000,,8,1,0,33.409
0,00011010001101000010011000000001110000100100101000110000000101000101010100000001,,7,0,0,27.697
0,10001000101011100011100000000100010101000100001010000010010001000010010001011000,01100100011100011101100100100100111010000101000010011011000010010010100001101000,7,0,0,3.112
0,10001000101011000011100100000100010001100100001110000010011001000010000001011000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,6,0,1,3.444
0,10001000101011100011100000000000010100100100001010000010011001000010010001001000,11000100111101011101000000000101001010000101000110011001000011110001100001001001,8,0,0,3.971
0,10001000101011100001100110000100010101100100001000000010111001000010110001001000,01010100011001111101100001100101011110000001100010011101000011010100100001001000,6,2,0,1.756
0,00011110001001000010011001000001110000101100101000110000100101000011000100010001,,5,1,0,25.945
0,00010010001101000010011000000001110000001111001000100000100100000111010000010001,,8,1,0,23.801
0,00000000001101000010011001000001110000101110101000100000000111000111010100000001,01000000011100011101100100000111100010000111100010011001001011010000100001001000,6,0,0,1.303
0,00010000001101000010011001000000010000101110101000100000100101000111010100010000,,7,0,0,29.423
0,10001000101011100011100110000000010101110100001010000010000001000000010001001000,01000101011110111101010101100111101010000101000010000001000010010000100001101000,8,1,0,16.735
0,00011110001101000010010001000001010000101110100000110000000011000011010000010001,,7,1,0,24.298
0,00000010001101000010011000000000010000101010101000100000100111000111110100010001,11000101011100011111100101100110101010100000000010011001000011010010100000001000,7,1,0,12.234
0,10001000101011000011100100001100010101100100001000000000010001000010010001000000,01000100011100001101110000100101111010000001000010001100000010011010101001001001,9,0,0,18.605
0,00000000101011000011100100001100000001110000001110000010011001000010010001000000,,9,0,0,30.467
0,10001000001011100001100000001100010101100100001010000000011001000010100001011000,,7,0,0,28.131
0,00001000101011100011100100000100010001110000000010000010001001000010110001001000,00000100001101111101100000100111100011000100000000010001000011110000100011101000,8,0,0,3.305
0,10000000001011100011100100000100010101100100001010000010011001000010000000001000,,9,0,0,34.657
0,00000000101011000011100100001100010101110000001010000010011000000010110001000000,01000000101100001101110000101111101010010101100010011001000011010100100000001000,8,0,0,0.865
0,00010010001101000010011000000000110000101110101000000000010111000101010100010000,01000100001101011101000000010111111011000011000010011000101011010000100101001000,8,1,0,25.804
1,00000110011100001100011100110001101101000011111100000100000011111000010101110001,,5,4,0,24.068
1,11001100101000011111000000100000101111000111010100001000111100110000111000000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,3.465
1,00000110011100001100010100000000100010100001110000000100000011111100010101110010,,8,0,0,27.848
1,11001110101000110111000000100000101110000111010100001000011000110000110000100000,,6,0,0,29.567
1,11001110101000111110000000100000101111000010011110001000111110100000101001100000,11001111101000111111000001100000101111000010011110001000111110100101101001100101,5,3,0,7.642
1,01001110101000011010000000100000101110000100010100001000111100110000111001100000,,7,0,0,20.73
1,11001110101000010110000000100000101110000111000000001000011100110000111001100000,,7,0,0,27.206
1,11000110101000011001000000100000101111000111010100001000110000110000101001110000,,7,1,0,25.294
1,11000110101000001011000000100000101110000111010100001000100100110000111001100000,01011000111101000001010101000011011111010010101110100110010011000111000000011001,7,0,0,4.997
1,00000010001100001100101100010000100011100011110100000100000010111000010001010011,00010100111111111001000101100000111101000000011110101101010011000011000000001000,8,0,0,0.641
1,01000110101000111111000000000000101011000100010100001000110000110000111001100000,01111000101111111001010100100000110111000010100010001100010011000011000000111001,8,0,0,1.71
1,11001110101000111111000000100000111111000111010100001000111100110000010001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,2,1,1,0.011
1,11001110100000111110000000100000100111000111010100001000111110100000011001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,1,1,0.188
1,00000010001100001100011100010000101011100000110100000000000011011000010101110011,01011101111101100001001000001001001111000011101110011100010011010011000000001000,8,0,0,0.866
1,00000010011100001100111100010000001001100011001100000111000011111100010101110010,01011100101111110001000111001000110011100100100110111000010011010011000011001001,6,3,0,2.225
1,11001110001000111011000000100000001111000101000100001000111100110000011001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,2.453
1,01000110101000011111000000000000101111000111110000001001111100110000111001100000,,5,2,0,23.577
1,00000010001100000100011100010000100011100011010100000110000011011000010101110011,11011100111111100011001110000000110101000010001110011100010011110001000000001000,8,1,0,0.375
1,00000010011100001100100100010000101011000001110100000000000011111100000101110001,01011100011111110101000000001000011111000010101100100100011011001011000000100001,8,0,0,24.206
1,11001110100000011111000000100000101110000111010000001000101000110000000001100000,,9,0,0,32.664
1,10001010001000011011000010100000101111000111010100001000111100110000101001100000,,6,1,0,24.926
1,11001110101000011010000000100000001111000111010100001000111110010000011001000000,,7,1,0,29.923
1,00000010011100001100111000010000111000100001110100000100000010111100010001110011,00011101111011110111010101000000011101000011100011111000010011010111000000001001,7,1,0,3.571
1,00000110011000001100011100010000101011000011010100000100000011111100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,0.515
1,00000110011100001100011100010000001010100001100100000100000000111000010001110011,,9,0,0,31.128
1,11001110101000011101000000100000101010000111010100001000111100110000111001100000,01011100111111110111010100000000010101000010101110111100010011100011100000011001,4,0,0,0.028
1,11001110101000011010000000100000001111000111010101001000001110110000011001100000,,7,2,0,25.196
1,00000110001100001101111100110000101111100010111100000100000011111000010101110011,,3,4,0,19.876
1,11001010101000111101000000100000101111000111110100001000111000110000110001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,1,1,4.247
1,00000010010100001100111100010000101010100001010100000100000011011100010101110011,01011110111111110011000100000000010101010010101010111100011011010011100000001001,6,0,0,0.736
1,11001000001000011111000000100000101100000110010100001000101100110000111001000000,00100100111111100001010100001000001101001010100110110100010011001011101001001001,9,0,0,4.486
1,11001110000000011111000000100000101110000111010000001001111100110000111001100000,00000110011100001101111110010000001111100101100110000100000011111001000001110011,5,1,0,0.052
1,11001110101000101111000010100000101010000111010100001000101100110000111001100000,01011100101111010011000101000010011101000010101110110100010011100011000001011001,4,1,0,3.47
1,00000110011100001100001100010000101011100001010100000100000011111000010001010011,00010100111111110001000100001000010100010010101110001100110111000011001000011001,7,0,0,1.833
1,00000110011100001100011000010000101011100001110100000100000011111100010100110001,01001100001111110011000100100001011111001010101110011010010011000011000000011001,5,0,0,0.485
1,11001110101000111110000000100000101001000111000100001000011100010000111000000000,,8,0,0,25.747
1,00000110011100001100101100010000101010100011111100000100000011111000010101000000,01010000001111110001000110000001111111000010111110101100010011010011100000011011,7,1,0,18.985
1,11001100101000011011000000100000101100000111010100001000011100110000111001100000,01001100111101110001010100000000011101000000101110111000010111100011000000011011,6,0,0,6.325
1,11001110101000001101000000100000101111000111000100000000111110110000010001110000,,7,2,0,23.306
1,01001110101000011111000000100000101110000101011100001000111110010000111001100000,00100110011101001001111100010001111010100001110100011100001011111000000101110010,5,2,0,15.57
1,11001110101000011111000000000000100011000111000100001000111110100000111001100000,,6,1,0,27.609
1,00000110010100001100011000010000100011100001110100000100000010111000010101110011,11001110101000011101000010100100111110000111000110001000011010111000101011100000,7,0,0,23.729
1,01001110101000011111000000100000101110000111010100001000011100110000101001000000,01011100101111110001000100001010011100001010101110111000010111010011000000001001,6,0,0,10.058
1,00000110011100000101111100000000101011100010100100000100000011111000010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,1,1,9.761
1,01001110101000011111000000100000101110000111010100001000010100110000110011000000,11011100101111101001000100000100011101000010101110101001010011100011000010001100,7,1,0,2.173
1,00000110011100001100111100010000101011100011110100000100000011111000010101100011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,2,0,1,0.006
1,01000110101000011111000000100000101111000111010100001100111110100000010001100000,00011000001011000001001100111101111101100110111100000000100011001111100100011110,6,2,0,1.285
1,01000110101000010100000000100000101110000101010100001000111100110000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,8,0,1,18.8
1,11000110101000011100000000100000100111000100000100001000111100110000011001100000,11011000111011110001000110000000111001001110000010111100010010000011100000011001,9,0,0,6.069
1,01001110001000101111000000100000101111000011010100001000111100110000111001100000,00001100111111010011000100000001111101000010101100111100010011000111100000011001,4,0,0,0.026
1,01001110100000011111000000100000100110000111110100001000111100100000111001100000,,6,1,0,20.722
1,11001110101000110111000000100000101101000111010000001000100100100001101000100000,,8,1,0,31.367
1,01001110101000011111000000100000100110000111110100001100111010110000110001100000,,6,3,0,15.834
1,01000110101000011111000000100000101110000101010100001000111110100000110001100000,,7,1,0,25.553
1,00000010011100001100111100010000101010000011010100000100000011111000000101100010,,8,0,0,22.689
1,00001110011100001100111100010000101010100011110100000100000001111000010101110010,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,1,1,3.934
1,11001000100000111111000000100000101111000111010100001000111000110000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,13.552
1,11001110101000111111000000100000100111000100010100001000001000110000111001100000,01011100111111110101010100001000111000101010100010010000010011011011000000011001,6,0,0,0.301
1,11001110101000111000000000100000101110000111010100001000101000010000101000100000,,9,0,0,32.295
1,11001110101000011011000000100000101111000110010100001000111100100000110001000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,0.387
1,11001110001000011101000000100000101111000111110100001000111110110000111101100000,,3,3,0,16.386
1,01000110101000011110000000100000101111000101011101001000111100011000111001100000,,6,3,0,16.582
1,11000110001000001111000000100000101110000110010101000000111100110000110001100000,10011010111111000001000100001000010101001010101110111100000011010011100010011000,8,1,0,16.579
1,00000010011100001101111100110000111001100011111100000101000001111000010101110011,00010000001111000011101100111101100111010011111110000010101110001111101100111010,4,5,0,1.453
1,11001010101000001111000000000000101110000110010100001000011000110000111000100000,00010100111111000011010000000001011101000010110110011001010011000011000000010111,9,0,0,24.625
1,11001111101000101111000000100000001100000111000000001000111110100000111001100000,,7,2,0,16.666
1,11001110101000001111000000100000101111000011010100001000111110110000111101000000,,4,2,0,23.78
1,11001110101000101101000000100000101101000111110100001001111000110000001001000000,,7,2,0,20.676
1,00001110011100000100110100010000101010100010110100000100000011101000010101100011,01011010111110100001010100000000111101000010101010111100110011000101000000011001,7,1,0,20.28
1,01001010101000111111000000100000100111000111010000001000111100110000110001000000,01010100101111111101010100000010111001000010101110111110010011001011000000101000,6,0,0,7.847
1,01001110100000111111000000100000101110000100010000001000111000100000111001100000,,8,0,0,13.637
1,00000110001100001100111100010000101010100001100100000100000001011100010101110011,,6,0,0,27.782
1,11001110101000111111000001100000101111000111000100001000110100100000110001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,1,1,4.852
1,00000110011100001100011100010000001011100011110100000000000011001000010100010010,01000100101100110001000000100000011101000000101110011100010111100011000000011011,9,0,0,4.903
1,00001110101000011111000000100000101111000101010100001000111100110000110001100000,01011100001111100111010100000000111101000010111110111101010011000011100000011010,5,0,0,1.784
1,01001110101000111111000000100000001110000011010100001000111000110000100000000000,11011100101111110011000100000000011100000010101110011100010011000011100100000001,9,0,0,5.787
1,11001110101000011110000000000000101110000111010100001000111100110000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,0.49
1,11001110101000101111000000100000101111000110010100001000111100110000110001000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,0.019
1,00000110010100001100011100010000101011100011110000000100000011011100010001110011,11001110001010111011011000001000001111000111010100001100111011110000101001100000,5,0,0,10.102
1,11000100001000101111000000110000101111000111010100001001111000110100111001100000,00101000111111010001111100000000110111100010101110011110010011001011000001111001,5,3,0,5.586
1,01001110101000111011000000100000101111000101010100001000011110110000011001110000,,5,2,0,24.568
1,11001100101000011111000000100000100010000011010000001000111100000000111001100000,01001101111111100001001100000000010001000000101110111101000011010000000001011001,9,0,0,9.53
1,00001110011100000100111100000000101011100000100100000100000001111000010101110011,,7,1,0,28.071
1,11001100100000011110000000100000101011000111000100001000110110110000111001100000,00100110011100011101101100110000100011100001110100000100001011111000000100111011,7,1,0,32.902
1,01001110101000111111000000100000101110000111010100001000111000110000001001000000,,6,0,0,27.296
1,00001100001100001100111110010000101111000011110100000110000011111100010100110011,01001000111111110001000110001001111101010010111100111110010011001111000000111000,4,4,0,0.749
1,00000110011000011000111000010000100111100001110100000100000011111100010101110010,01011100101111110101000101000000111101000010111110111000010011000111001000001001,6,2,0,12.783
1,01001110101000111011000000100000101111000111110100001011111100110000111001100000,11111100101111110001000100010000111101000010111110111111110011000011100100001001,2,3,0,8.014
1,00000110011100001100111100010000101101100001110100000100000011111100010001110011,00011100111111110011000100000100011111000010110110111100011011000011100000010101,3,1,0,1.155
1,11001110101000010011000000100000101111000010000100001000111100110000111001100000,01011100111101100011000100000000111101100000000111111100011011010011000000011001,6,0,0,0.714
1,11001110001000101001000000100000101110000111110100001000111100110000111001000000,00011100111001010001000100001100011111000110111111111100010111010011000000001001,6,1,0,5.072
1,11001110101000011001000100000000101011000111010100001000111100110000011000000000,01001100111001100001000001100001111101000110101110111100010011000011100000000001,8,1,0,0.068
1,01001110101000111111000000000000101100000111010100001000111100110000111001110000,,4,1,0,19.262
1,00000010011100000000110100010000101011100001010100000101000010111100010101100011,,8,1,0,28.842
1,00000110011100001100111100000000101001100011110100000100000001110100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,0.02
1,01001100101000011110000000100000101110000010010100001000110110110000111001100000,10011000001011001011011000110100100101000110111010000010100011001111100100110000,8,1,0,3.521
1,11001110101000000111000000100000101010000101010100001000011000110000111000100000,01011100111110000001010100001000010101000010101011011001010011101011000000000011,9,0,0,20.872
1,01001010101000101111000000100000001110000111010100000000101110110000111000100000,,8,1,0,25.444
