node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00110001001000000100000010001100001000001100000110001001000011111010001111001101,,8,0,0,27.755
3,01000000001010000001000001000000000000010000010010000000000001111000010100000000,00000000111000010101000011001010010000000100100010010000000010000111100000000000,5,0,0,10.781
3,01001000001000000001000001000000001110010000010010000000000000111000001100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,4,1,1,0.024
3,00000000111000010010000000000000001000001001010000000010000010000001010000010000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,0.245
3,00000000010000001110000000000001000000001001110000000000010010000101000000010000,,7,2,0,47.678
3,01000000001010000001000011000000000110010000010000000001000001111000010100000000,00000001101000100101000011000010111000100000100000100010010011000111100000000010,5,3,0,0.043
3,00000010101000001110000000000001010000000001000000000010000010000001000000010010,00000110101000101111000000000001010000100001000001000000000010000101000000010011,7,2,0,27.532
3,01000000001010000000000001000000001010010000010000000000000001110000010101000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,6,1,1,15.2
3,01001000001000100000000000000000001010000000010010000000000000111000010100000000,00000100111000010001000000000000010100010100100100010000000010100111100000000010,6,0,0,0.162
3,01000000001010000001000001000000001110010000010010000000000001111000001000000000,00001000001000000101000010001010011100000100100001000000001010000111100000000001,4,1,0,9.163
