node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00000000001101000010011001000001010000101110001000010000100100000111010000010001,,9,0,0,32.906
0,10000000101011100011100100000100010001110000000110000010010001000010100001001000,,8,0,0,28.006
1,11001110101000110111000000100000100101000111011100000000110010110000111101100000,,6,3,0,19.745
1,01001010001000010110000000000000101111000111010100001000111100110000111001100000,,7,0,0,27.103
1,11000100001000110001000000100000101111000101010100001000111100110000110001100000,00001000111000110001000100001000111111100010101010111100110111000111000000010010,8,0,0,1.808
1,11001110101000001111000000000000101111000100010100000000111110110000101000100000,11001110101010001111000000000101101111000100010100110000111110110100101000110000,8,1,0,0.945
1,01001110101000010111000000100000101010000111010100001000011100110000010001100000,01011100101111100011000100000001010101010110101110111000010010000111001000011010,8,0,0,17.304
1,00000110001100001101111100010010101011100011110100000111000011011100010001110011,,3,4,0,21.123
1,01001110100000010111000000100000101011000101010000000000111100110000111001000000,,9,0,0,28.315
1,00000110010100001100111110110010111110100011110100000000000011111000010101110011,11001110101000011111000010000000111111010101101101001101111110111000101001110000,4,5,0,9.753
1,11001110001000111110000000100000101111000001011100001100111110111000011001100000,,5,4,0,23.014
1,11001100000000111101000000100000101010000111000100001000111100100000111000100000,00001100111011111001000100001001111101000010000110111110010011000001000000010001,9,0,0,14.451
1,00000110010100001100111100010000001011100001000100000100000011111100010100110011,,6,0,0,27.387
1,11000100101000111111000001100000001111000011010100001000101000100000110001100000,01001000111111111001000110000000111100100011001110010100110011000011000000011000,8,1,0,0.671
1,11001110101000011110000000000000101110000011010000000000111100110000001001100000,,9,0,0,23.836
1,10001100101000111110000000100000101110000011010100001101111000110000111001000000,10010000001011010111001101111010110101000010111010110000100010001111101000110011,7,2,0,3.941
1,11001110001000011111000000100000101110000011010000001000111100100000011000100000,00011100111111101101010100001100011111000000101000111100010010000001000010010001,8,0,0,7.215
1,10001110101000001101000000100000101111000111011100000000010100110000111001100000,01011100011011000001000100000000111111101111101110101000010011010011100100011001,7,1,0,8.714
1,01001110100000111011000000100000100010000111010000001000110100110000111001100000,00000110001100011101101100010001101011100101000100010101000011011100000101110010,8,0,0,7.275
1,00000110011100001100011100000000101010100011100000000100000011110100010101111010,,7,1,0,24.19
1,00000110011100001100110100010000000011100000110100000100000011111000010101100011,01011000111111100011000100000000001111000000001110111100001011001011000000011101,7,0,0,2.997
1,11001110101000011011000000100000101111000110000100001000111100110000111001000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,0.847
1,01001010101000111111000010110000101101000111010100001000101100110000110001100000,,5,2,0,21.939
1,00000100011100001100111000010000101011100011110100000000000001011100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,2.205
1,11001100100000011110000000100000101100000111010100001000111100010000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,0,1,0.275
1,11001010101000101011000000100000101111000101010100001000111100110000111001000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,2.215
1,11001110000000111101000000100000101111000111010100000000111100110000111000100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,14.453
1,00000010011100001101011100010000001111100001110100000100000011111000010101010011,,6,2,0,23.231
1,11001100101000101111000000100000101110000111010100011000110000110000001001100000,,7,1,0,21.635
1,11001110101000110111000000100000000111000001010100001000111100100000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,4.534
1,11001010101000111111000000100000101011000011000100001000001100110000100001100000,,8,0,0,32.263
1,00000010011100001100101000010000101011100000110100000000000011111100010101110011,,6,0,0,28.105
1,01001100001000110111000000100000101111000111010100001000111100000000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,1.0
1,01001110000000111011000000000000101101000111010110001100111000110000111001100000,,7,2,0,24.643
1,01001110101000011111000000100000100111000111110000001001111100101000111001100010,,5,4,0,22.74
1,00000110011100001000111100010000101011100001100000000000000010110100010101110010,01011100101011010001010000001001011010000010101111111100010011000010000110011011,8,0,0,27.714
1,11001000001000111111000000000000111101000110010100001000111110110000101001100000,11011010001000111111010000000001111101000111010110001000111110110000101000100100,7,2,0,25.228
1,00000110011000001100111100010000101011100011010000000100000001111000010100110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,16.812
1,11001110001000111010000000100000101111000111110100001000010100110000110001100000,,6,1,0,29.232
1,00001110101000011111000000100000101111000111010100001001011000010000001001100000,,8,1,0,20.789
1,11001110101000010111000000100000101110000110010100001000110100110000110001000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,0,1,2.809
1,11000000101000111111000000000000101111000000000100001000111100110000111001000000,01001000111111110001000001000000111101001010001010111100010011110111000000001001,9,0,0,1.915
1,11001100101000101111000000000000101110000110010100001000111100110000110001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,18.26
1,11001110101000111111000000100000001101000000010100001000111110110000110001100000,,6,1,0,23.498
