"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b00000000001000000000010000000000100001000001000100000010001001000000010000000000",0,2970.814161250738,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",25,3,0,0,0.7778329531983671,500.3785196865196,280.6746328407254,1.3879289799043353,0
1,"b11001010000111010110110011000000001011010000000001000110000000010000000101101000",3,1821.9448574414714,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",10,17,0,0,0.9853412319892588,91.83268308959552,308.4769110455609,4.709902698050847,0
2,"b00000000000001110000000001110100000111000101011100001100000010110000000100000000",3,3699.3651008266907,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",12,14,0,0,0.7657819526589416,21.723447342426002,125.50593721909051,5.861186506394321,0
3,"b00000000000000000000000000000000010000000011100000000011111000000000010000000000",3,5855.317933045907,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",16,7,1,0,0.7414314171284904,104.47414396268512,244.43825813433446,2.6037327526574536,0
4,"b00000000000000000000000100000001010010000001101000001010100000100001000000000110",3,3554.5960191774802,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",14,9,1,0,0.72029868945109,376.568995761483,35.681233803847284,0.6104497666704236,0
5,"b00100100000000101000001100100000010001000001001110000101001000010101000000010000",1,2499.43620833613,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",25,9,0,1,0.8263751428697027,143.85038009321391,453.8894483218495,5.434100745615462,0
6,"b01000000000101100000001101110000010111100001000110001111111001000000000000000000",0,2172.8451787490358,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",19,12,0,0,0.7734961456772156,40.12218476694274,393.5149585619238,3.0876029031357657,0
7,"b00000100000000000000011000000000000111110000001110000000111000000001010001000110",0,2429.6095269579387,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",21,8,0,1,0.7639517611078185,25.309447306618058,443.4582361222219,0.37084251704032045,0
8,"b00000000100000000100000001110100000110010010110010111110000011110000000011000000",3,2779.718644631077,"b01001000001010100001000001000000001010010000010010000000000001111000011100000000",11,16,0,0,0.8546995143055663,38.48487014723179,69.49322498880012,2.5292289020365484,0
9,"b00011001000100101110110001000001001100001110111000010000111000110000110001000000",0,2731.9949150467946,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",17,14,0,0,0.7103357652499686,303.7328285387618,345.9334153325031,0.7322004573154972,0
