node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
1,01000100001000011011000000100000101111000111000000001000111100110000110001100000,,9,0,0,26.392
1,01000110101000011111000000100000101001000110010100001000111100100000110001100000,01011000101111100001000100100000100001000010110111111100010011010101001010011000,8,0,0,14.757
1,11000110101000000001000000100000101110000110010100001000111100110000111001100000,01011000111000101001000100000101111101000010100110111100010011001111000000010001,8,0,0,1.904
1,00000110001100001000011100010000001111100001110100000100000010111000010101110011,01111100111011111111000100000000011101000000111110011000010011000010000000111000,7,1,0,1.99
1,11001110101000000111000000110001101111000111010100001000111000000000110001100000,01011110111110000001001100001010111001100011101111011100010011010100000000011000,7,2,0,8.087
1,11001110001000010011000000100000101010000101010100001000101100110000110001100000,,9,0,0,29.443
1,11001100101000111011000000100000001110000101010100001000111000110000111101110000,,6,2,0,23.679
1,00001110011100001100111000010000101011100000110100000100000010111000000101110010,,7,1,0,7.348
1,01000010101000011111000000100000101111000111000100001000111000110000111001100000,01010010101111100001000100001000011101010010001110111100010011000111000100011001,6,0,0,5.071
1,11001110101000011110000000000000101011000100010100000000111100100000111001000000,,9,0,0,28.264
1,00000100011100001100011100010000101001100011110100100000000000111000010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,1,1,15.647
1,11000110101000011111000000100000001011000101010100001000111000100000111001000000,01011000111111110001001100000001110100000011101010011101011011010001000000001101,8,0,0,4.752
1,00000110011100001100111100010000101011100000110100000000000011111000000101010010,,7,0,0,21.705
1,01001110001000111111000010100000101111000011010100001000110000110000101001100000,,6,1,0,17.346
1,00000010011100001100111100010000101011100001010100000100000001110000010001010011,,8,0,0,30.451
1,00000110011100001100001100010000100001100011110100000100000001111100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,0.681
1,01001110101000001111000000100000101111000111010100001000110100010000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,0.018
1,11000110100000011110000000100000100010000111110100001000111000110000111001100000,,8,1,0,29.213
1,11001010101000011110000001100000101111000111100000001000110000110000111001100000,,7,2,0,25.635
1,01001100101000011101000000100000001110000010010100001000111100100000111001100000,01011100101011100001001100001000011111000010110110111100010011001001000000011001,9,0,0,21.05
