node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,10000011111001001011000110010001100000111000000000110001000000100000010110011100,01110100011101001101011001100011000001100000000001000010001110001001001011100110,8,0,0,2.878
3,00000000000010000001000000000000001010010000010010000000000001111000011100000000,00010000001010100101000000000010001100000100100000000000000010100111100000000011,5,0,0,1.482
3,01000000001010100001000001000000001010010000010011000000000001010000001100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,4,1,1,7.4
3,00001000000010000001000001000000001010000000000000000100000001110000010100000000,00000000101010101111000000100000010001000000010000010010000010100001000000010000,8,1,0,15.259
3,01001000001010000000001001000000000010010000010000000000000001001000001000000000,,8,1,0,45.601
3,01001000001000000001000000000000001000010000000010000000000000001000111100000000,00000100101011000001000000000010000100100100100000000000000011001111000000000011,8,1,0,0.488
3,01001000001010000000001000000000001000010000000011000000000001101000011000000000,00000100101100000101000110010110000100001100000000010000000010000101100000000101,7,2,0,9.91
3,01001000000000000001000001000000001010010000000110000000000001010000010100100000,00000100101000011011000000101001100000101001010000000010000010001000000000010000,7,2,0,4.601
3,01000000001011000001000001000000000000010000000011000000000001110000011100000000,00010000101001101101010010001010000000001100000000000000000010000011100000010001,6,2,0,3.026
3,01001000001010100000000001000000001000010000001110000010000000011000001100000000,,6,3,0,52.052
3,01000000000010000001000001000000001010110000000010000000000000011000000100000000,,8,1,0,48.531
3,01001000000010000000000001000000001010000000011110000000000001110000011100000000,,5,2,0,15.613
3,01000000001110000001000001000000001010010000010000000000000011010000010000000000,,7,2,0,55.606
3,00000000101000011100000000000000101000001001010000000010000010000000000000010000,00000100001000000011000010000010010101000000100000100000000010001111000010000011,7,1,0,6.127
3,01001000000010000001000001000000000000010000010010000000000001111000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,4,0,1,0.029
3,00001000001011000001000001000000011010010000010010000000000001110000111100000000,00010100001100001111000110000010010110100101000000000000000011000011100000000011,3,3,0,2.626
3,01001000001010000001000101000000001010000000001010000000000000110000011101000000,01000100101000010101000010110001010100000101000010001000000010000011000010001111,5,3,0,2.484
3,01000000001000000001000001000000001010000000000000000000000000001000011100000000,10000001101100000001000010001000010100100000000000000000000010000110001000000011,9,0,0,0.647
3,00000000000000110001000001000100001010010000010000000000000000111000010100000000,10000000001001110001100010000010010100000000101000000000000011001111000100100010,7,2,0,25.073
3,01000000001010000001000001000000001010010000000110010000000001111000011100000000,00000000101001010101000011001010010100000110000000000000001010000111100000001111,3,2,0,0.034
3,01001000000000000001000001000000000010010000000010000000000001011000000100000000,,8,0,0,60.934
3,01001000001010100000000001000000001010010000001000000000110001110001001100000000,,5,4,0,40.615
3,01001000000000000001000001000000001000000000010010000001000001111000010101000000,00000101101000000101000010000000000000000100100010010010000011000111100000101010,6,2,0,11.996
3,01001000001010000001000001000000000010010000011000000000000001101000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,4,1,1,4.104
3,00001000001010100001000001000000001100000000010000000000000001101000000000000000,,8,1,0,42.45
3,01000000001010000001000001000000001000010000000000000000000001110000001100000000,01000000001010000001001001010001001000010000001000100000000111110000001100000000,7,0,0,37.747
3,00000000101000011110000000000001001000001001010000000010000010000001010000010010,00000100101000010101000010000010010100000100100000000000000010000111100000000011,2,0,1,0.008
3,01001000001010000001000000000000001010010000000010000000000001010000001100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,6,0,1,2.257
3,00001000000010100001001110000000001010010000011010000000000001001000011100000000,,5,4,0,42.507
3,01000000001010000001000001000000001111010000010010000000000000111000001100100000,01001000101011000001000001000000001111000000011010010000000010111000101100100000,4,3,0,14.664
