node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00110001101000000100000010000000001000010100000110001011100011011010011111001000,,9,0,0,41.565
2,00110001101000000100000010001100000000011100000100001011100011011010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,6,0,1,0.032
2,00100001101000000100000010000100001000011100000110001010000011011010011111001101,11110111011101111001001010010111000001101000100001100010001110000001100010000110,8,0,0,0.04
2,00101001101000000100000000001100001000011100000110001010100011010000011011001101,10110011111101000101001110100011000101100000100001000000101110001011000010110110,9,0,0,11.962
2,10110011110001011001000111000001100000111000000000110001000000100000010110011000,,8,0,0,32.578
2,00111001001000000000000000001100001000011100000010001011100011011010011111001101,11100011011101101001001011100011100000100100100101011000001110000001000011100100,7,0,0,1.6
2,00100001100000000100000010001100001000011100000110000011100011011010011101001100,,9,0,0,30.743
2,00110001001000000100000110001100001000011100000100001011000011011010011111001101,11110011011101101001011011000011000001001000100001010010101110110101000011000100,7,1,0,0.695
2,00110001101000000100000010000100001000010000000110001011100011011000010111001101,01110011011101100001001011101001000001110000000011001010000110000001100111000110,9,0,0,0.084
2,00100000101000000100000010001100001000011100000110000011100011000010011111001101,,9,0,0,31.181
2,00100000001000000000000000001100001000011100000100001011100011111010011111001101,11110010011111111001001011101011000001001000100001010000001111100000100010000000,9,0,0,2.008
2,00110001101000000100000010000100001000001000000110001011100011011011011111001101,,7,1,0,29.792
2,00000001101000000100000010000100001000011100000110000011100011010010011111001101,,9,0,0,36.851
2,00011001101000000100000010000000001000011100000110001011100011011010011111000000,,9,0,0,37.307
2,00111001101000000100000000000100000000011100000110001011100011010010001111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,8,0,1,14.246
2,00010001001000000100000010001000001000011100000110001011100011110010011100011001,,9,0,0,30.659
2,10110011111001011101000101010000100000111000010000110001000000100000010100010000,11110011011011101011001010100011000001000000100011001010101110100001001000100010,8,0,0,0.358
2,00111001101000000100000010001100000000011100000110001001100011011010010111001111,01110011111101101001001001100111000101100110000001000010001110010001001001100110,6,1,0,14.35
2,00111001101000000000000010000100001000011100000110001010100010001010011110001101,11101011011000101011011110100001000001101000100001000110000110000010000011100110,9,0,0,5.089
3,00001000001010100001000011000000001010010000010000000000000001110000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,3,1,1,0.648
3,00000000001110100000000001000000000010000000000000000000000001111000011100000000,11000000001111100001000100000000000000010000001000000000001011111000000010001000,7,1,0,19.707
3,00000000000000000001000001000000001010010000010000000000000001111000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,6,0,1,1.814
3,01000000001110100001000011000000000010010000110010000000000000100000001100000000,,6,3,0,46.388
3,01001000000000000001000000000000001010010000010010000000000000011000011000000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,7,0,1,7.858
3,00000000111000011110000000000001001000000001010000000100000000000100000000000000,,7,1,0,46.586
3,00000000110000011100000000000001001000001001010000000010000010000001000000010010,00000100101000010101000010000010010100000100100000000000000010000111100000000011,4,0,1,0.024
3,01001000001000100001000001100000001010010000000010000100000001101000011000000000,01000100101010010001010110000010010010000100000000000000101010000101100100000001,4,2,0,7.739
3,00000000101000010110000000000001001100000001000000000010000010000101010000010000,01000100001001110101000010100010110000010100110000000000001010000101100000000010,5,1,0,6.055
