"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b11000000101110110011001010000001111100100110110110010110110001100010000000001010",5,2199.4160368951557,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",12,14,0,0,0.7690778443655838,139.83559313394846,73.35072529182636,2.494013249002986,0
1,"b00000101001000010100001010101010111011100001000110000100000011110011000000010001",4,5638.083089519023,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",10,2,0,0,0.845015464848981,284.1681508555754,147.69826973143697,2.3944421050933897,0
2,"b10001000001001001111001000101000100010100011001100010101100011001100000011110000",4,2918.514400103337,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",12,6,0,0,0.8012043249095568,378.7334602802438,312.1889672434386,3.066535492401937,1
3,"b00000000001100001000011010101011111011000100010110010000010001110000010000000001",4,4054.5561577461176,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",12,2,0,0,0.7256585159809377,93.97607467917469,251.84732860269324,0.2933415223342303,1
4,"b00001001001100000111101110100001101000010011100000111101111101100000011000000000",1,4030.2621546616942,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",13,1,0,0,0.8762464956527547,399.2489675772656,357.0808936761587,1.1062858920432548,0
5,"b11101011001011111001101110011000011101110001110011011110111011000000111101100010",3,2737.8929870342217,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",10,14,0,0,0.9413049248204314,505.94712409115596,499.7323881098116,3.0203076341901784,0
6,"b01000000111101001001001111000000000010000001110111001111011101101000110100000100",2,4468.04261778783,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",9,6,0,0,0.8913281736690127,488.9158885141674,431.0668185275964,2.217049413022268,0
7,"b10000000000000000000101100000000011111000011011000000110100000000000000000000000",5,1794.6608222958012,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",23,7,0,0,0.7736755966062983,99.28921497208732,233.24591037205286,3.566447766774286,0
8,"b01111011001111111110101110001000011111110101110010010111101100110000011101100010",3,3047.095991843451,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",6,11,0,0,0.9369072192080152,470.57984602562095,221.49581261853646,3.932940833203719,0
9,"b01111001000001110011100001001100001101110101100001000110001100010000001001000010",3,3193.4191836358477,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",13,2,0,0,0.9793624379250317,214.31873866034098,479.0196759590178,2.129400461876988,1
10,"b10001000001011001111001000111001000000100010001101110101000000001000000010100000",4,5482.861140461848,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",11,1,0,0,0.7943238662491668,342.31915711838263,251.13789282674375,4.513800874739724,2
11,"b00000000000011101011001000101000101010000011011101000101111000011100010000100000",4,5798.8632366718375,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",10,2,0,1,0.7501978123354474,153.6304807613932,203.66200594423975,6.108487712835963,3
12,"b00010001000110010101001011010001000110000010010011000101001000010011000010100100",5,2680.6562907568305,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",15,10,0,0,0.8586121468279119,130.89470925945727,58.93975558461444,4.74238648802322,0
13,"b10001000000011100010000000101001000000100011011100111111010000000000010010110000",4,3418.179420565267,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",13,3,0,0,0.7751273270529571,285.5254250090252,365.0899010000303,0.59543151764226,4
14,"b01001100001011101101001110111100111111001111111000110111111100111000010011100001",4,2129.2169673243934,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",7,18,0,0,0.924486312101481,490.6339216798615,51.797025045514204,6.1009089361934485,5
15,"b00000100001000011000000010101110111011000101010110010100010011110010010100010001",4,5404.349653897316,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",6,1,0,0,0.7477929503326389,243.90200217878134,182.1912882481839,2.101155819110115,5
16,"b00000001000100011000011001110011100111001100101100111000000011100110000000000010",4,3065.164273430079,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",18,11,0,-1,0.766242482081233,22.367093692097363,87.74327142099045,3.842655896596046,6
17,"b00000000001110010100010011100100000111010010001100101010010010101000110100010001",0,3113.623693258184,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",16,5,0,0,0.8405333163706351,448.5138818615777,139.22357333876553,4.89049326418838,0
18,"b11111110001000000010100000001100011101110101100001111100101000110000010000100010",3,3326.376559305551,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",13,4,0,0,0.9115395487814648,497.46760805581226,59.65902213007633,3.3920370954831114,2
19,"b00000000000000100000000111000001010011100111000110011111111011101111000000011000",2,2747.03147543395,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",18,13,1,0,0.7954430375007091,428.7267559685376,16.65039163658626,2.504603045537512,1
20,"b10001000001001001111001000101001101010100011011100110101011000011000010010100000",4,6346.748066828603,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",4,0,0,0,0.771117573066894,386.91160691147996,80.47985637851738,5.578905639516906,6
21,"b01000000010100011001011001111000110111001001100011100111011110010000000000000110",2,2057.647258035628,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",17,14,0,0,0.8733563108583431,414.45846423132946,145.89918259170628,4.793878778649015,1
22,"b10001000001011101101001000111001101010000001011101110101010000011000000011100000",4,5446.627150192424,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",6,2,0,0,0.8335911541962342,74.5988156414743,19.823877461266225,5.757763587045786,7
23,"b00000000000000010100000010000011000010010111111100011101011101000110011000001001",1,3482.2888815050665,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",18,2,1,0,0.7820410130894655,234.6030960607565,465.8652574904918,5.2384717066329785,1
24,"b00100000000000000000000000000000000000000000110010000111000000000000000000000000",5,1895.3988266409015,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",28,3,0,0,0.7626849838304205,175.54014141196143,505.64158504555576,3.6190834594665384,0
25,"b00100000010001101000001001010101000001110111000111001110001100001000010000000000",2,3826.473363447859,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",17,7,0,1,0.8675394962497872,468.80632959803256,65.04549464018966,1.3675949750908063,1
26,"b01000100000000001100110101101010000110101100111000110000001100001111010001111110",3,4489.767941164561,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",10,2,0,0,0.8629472442690725,480.28685654087155,204.93237404266787,6.272171496010852,3
27,"b01100000001001011001000011101010000111100001100111001111111101001101100100000100",2,3388.626559613504,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",9,9,0,0,0.820172101449503,467.4272220170678,32.71202009574852,3.9585382558384534,1
28,"b01110000011111100011000000000010000011000001111101001111010000101000000100000100",2,3022.3479090181386,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",14,7,0,0,0.8925604355848649,304.3518659043715,375.87526792385637,3.3030406733961546,1
29,"b00110000001110101101011010100001000110000110000100101010011000001000110100000000",0,2432.3175725620677,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",18,6,0,0,0.8381959963275644,123.4837757294016,143.4920561413415,5.446986851434453,0
30,"b00000100001000011000011000111110111011000100010110010100000011110011010000010000",4,4847.012718249705,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",7,1,0,0,0.7750581479688967,99.63043442166308,120.70943566550196,3.4806634681479647,8
31,"b01100000001001001001000011001011000011000001100110001100010101000000110100000100",2,5075.466900592906,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",11,1,0,0,0.8011048906689057,133.32586056253186,20.592262954988342,0.31012199793878126,1
32,"b00110000000100010110110011110001000010000000000010110011010000010000010010000110",2,3924.6927014619287,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",16,5,0,0,0.8414946608250202,67.40539801977141,96.13480542688244,0.12499563267857877,2
33,"b00010000001100010111110001010000001111100000011110010110000001010001110001000000",5,3262.5275145253436,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",10,7,0,0,0.8008684137052309,259.89881128881575,113.9865156475741,1.927998612932701,0
34,"b00000101001110111000111101000011111100101100001000101001100000000001000000000100",0,2446.684071461077,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",20,9,0,-1,0.8300318339914332,479.9475759147429,311.77036275072754,6.100711395756754,0
35,"b00010000101100010010100001001001000101100000110110000011000000010000110000000000",5,3894.5435050495375,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",13,3,0,0,0.7803344210622671,138.73766490797712,228.0011688408612,1.5525615334740297,0
36,"b10001000001001101000000000100000101011100011011001011101011000011000010000100000",4,4688.594867203992,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",11,2,0,0,0.7656926589608737,103.1337579272409,385.32304695302287,0.30854079247130245,9
37,"b01101010000001111010000001001000011101110000100011011110101001110100100101000010",3,2555.6604658479678,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",15,7,0,0,0.8329595985793043,349.53795236846327,462.67681759955803,6.072474355058715,4
38,"b01000101010000001100110101100010000100100100111000101000000101101111010011101110",3,3237.115627782325,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",12,4,0,0,0.8325779492584986,275.66204275620584,5.629417570361377,0.20942173177369827,4
39,"b01011011001001110001000000000100001101111101100001000011101100110000011101000000",3,3797.9554159256368,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",12,2,0,0,0.8606226212763296,193.94840274195565,466.74132454206,4.10594577366035,5
40,"b00001001001110110111011010100001101011010111010111101101111110100000000000001000",1,3698.16658266827,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",11,5,0,0,0.7880748706283395,28.881401354483167,276.4423951445365,2.4797273410223726,1
41,"b00001000000100000111011010000011001111010011111100101101111100100000001000011001",1,4404.179231228224,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",14,4,0,0,0.8299932449106593,307.81840126631903,212.2704124482184,1.0287057139599116,2
42,"b00010000001010010100010011110001010110110110100000101010011100101100110100011000",0,2966.0450838375045,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",11,4,0,0,0.9763669888479752,91.9141501567229,446.4597677490687,4.753050257707335,0
43,"b10010000000011001111001000001001111010100011011111100100011000011000000011100000",4,4512.254087704816,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",8,4,0,0,0.8366402337220433,197.15587027284522,368.74400443353596,2.527033211760142,10
44,"b01100000011001011000000111010111000011000001101110001100111101111001110100000100",2,4455.888483185989,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",8,8,0,0,0.7715037969618823,468.8857794851806,296.0475808138871,6.08960360156461,2
45,"b00000000110000110000000001111011000111001100111000111111010101100001000110001000",5,1583.7167219700923,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",18,18,0,0,0.9792242818349317,473.7720998282357,177.60566114508262,3.449442725558576,0
46,"b00100000101100000000111010110011100110000001000001100011010010010110001000000110",2,4334.304971713687,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",9,1,0,0,0.831030274229994,503.817670158403,173.94778676617273,1.3571756727451645,3
47,"b01000011110100001100110101101011000110001111000000011000000011000011000010000000",3,1594.3787927919216,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",19,6,0,0,0.8062737095853688,508.8689705565736,406.822278882121,0.7115488397463707,6
48,"b00010000101100110100001000000001001011100010010110010011000000010000100010000000",5,5598.250769798922,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",9,0,0,0,0.7414359114143894,123.18938611223446,179.47103329083583,5.489866515056301,0
49,"b11000000100110010101011000010110100101000101101010101001011001101001000000001000",0,3559.579301459048,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",10,1,0,0,0.7801276433211408,223.92711318387973,284.14802406882274,4.202975369883779,1
50,"b00010000001100010111001000000001100111100010010100010011000000110000110010000000",5,5554.200283601228,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",8,1,0,0,0.7292739113954231,194.7015536732122,159.30269454611778,3.405627878344328,1
51,"b10000111000100001000111110101011111011011101010100111100110000110010000000100000",4,2249.8445017589775,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",12,12,0,0,0.8794736282502418,460.5644570724973,68.60972615103383,4.686578937099947,11
52,"b00000100000001011000000001001100100000001011100001011101000001100000010000000000",2,3473.519712320445,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",22,6,0,0,0.8001596393999001,19.22852496962902,66.96844097405426,2.679184974505375,4
53,"b00000100001100010000010001000000100100001010110000110000000100000100000010001010",3,1622.1145174598453,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",26,3,0,0,0.7942357803185447,198.12434330905776,180.84424657132251,2.1605697201268033,6
54,"b00110000001100000000101011011011100110000011000011100011010010010000011000000110",2,3373.3190344871637,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",10,3,0,0,0.8570354673780677,254.69853574548534,422.7768601345003,3.254347768989965,4
