node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00011000001110110110011010000101000110100110100101100010111010101101110100000000,,7,2,0,10.135
0,00011000001010000100011010010101010111100110100101101010111011101001110100010001,,5,2,0,5.504
0,00000000101110000101011101010100100101101101101100101001011001101000010000011000,,8,1,0,19.488
0,00011000001001010110011010110101010110000111100001101010011010100101110000010001,,7,2,0,11.114
2,01100000011001101001000011100111000011000001100111001101011101101000100000000100,,6,2,0,12.584
2,00100000101100010010100010110011010110000011000011100011010010010100011000000110,10000001101001011001100011010000110000111110011001101010110011011101100010000010,7,1,1,0.318
3,01011011000011010011100100000100011101111101100001010110101000110000011000100010,,8,1,0,20.755
3,01011011001011100011100000000100011101010101100001000110100100110000011100100010,,9,0,0,14.958
4,00000100001000011000000010101110111011000101010110010100010011110010010100010001,00000100011111011101010100010001010101101011101100011010101110010110000000010100,6,1,1,0.011
4,10001000001001001111001000101001101010100011011100110101011000011000010010100000,00000100011111011101010100010001010101101011101100011010101110010110000000010100,4,0,1,0.003
4,10001000001011101101001000111001101010000001011101110101010000011000000011100000,,6,2,0,11.329
4,00000100001000011000011000111110111011000100010110010100000011110011010000010000,,7,1,0,19.669
4,00000101000000001000011010101110111000000101000000010100010011110111010000000001,,9,0,0,18.966
4,00000101001000011000011010101010111011100101010110010101010001100101000000010001,,6,2,0,15.481
4,00000001000000011000011110101110111011000001010110010110010011110010010000000001,,7,2,0,19.629
4,00000100001000011000011010100100111011000101010110010101110011010011010000010000,,7,2,0,15.469
4,10001000001011001110000110101001101110100011011110110101011000011000010010100000,,5,4,0,7.675
4,10001000001011000111001001101001101110100010011101110100011000011000010010100000,,5,2,0,15.085
4,00000100001001011000011010101011111000000101000110010100010011110111000000010000,,7,1,0,16.643
4,10001000001011101110001100101001001110100011011000100100011000011000010010100000,,7,2,0,13.454
4,00000101001000001000011010101110111011000101100000010000010011110010010000010001,,8,1,0,12.363
4,10001000001011001111001000100001101010100011011100000101001000010000010011100000,,8,1,0,14.957
4,00000101001000010000011001111110111011000101010110011110010011110010010000010001,,5,4,0,16.132
4,00000101001000011000011011111110111010000001010100010100010001111111000000010001,,6,3,0,8.945
4,00000101001000011000011010101110111011000111010010010100010000110111010000010000,00000100011111011101010100010001110101101010101100011010111110100110000001010100,5,1,0,0.066
4,00000101001000011000010001100110111011000111000110010100010011110011010000010001,,6,2,0,9.346
4,00000101001000011000011010101010111001000101010100010000010010110001000000010001,,9,0,0,13.746
4,00000101001000001000011000101111111011000101010110010100010011110011000000010001,,5,1,0,1.423
4,00000001001000001000011010101111110011000001010110011100010011110111100000010001,,6,3,0,19.115
4,10001000000011101101001000100001001010100011011101100100011000011000010010100000,00000100011111011101010100010001010101101011101100011010101110010110000000010100,7,0,1,0.01
5,00010000101100110100001000000001001011100010010110010011000000010000100010000000,,9,0,0,23.937
5,00010000001100010111001000000001100111100010010100010011000000110000110010000000,,8,1,0,25.725
5,00010000101100010010100000000001001111100010001110010011000000110001110010000000,01000010001110110011000000010101111100100110100100000011001011110011000000000101,7,1,1,1.636
5,00010000101100111111100000000001001111100011011110010011000000010001110010000000,,4,3,0,16.313
5,00010000101100010010101000000001001101100011010110010011000000110111110000000000,,6,2,0,18.512
5,00000000001110000100000011001001001001000111110010000000010111101000110100001000,01000010001110110011000000010101111100100110100100000011001011110011000000000101,6,0,1,0.009
5,00010000101100010111000000001001001111100010010110010001000001110001111011000000,,5,3,0,21.865
