node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00010000001010010110011000000101110110100010100100101010011010101101110100010001,,8,1,0,21.857
1,00011001000110110111001110100001101111010111111001011111111101100010011000011001,,4,5,0,16.336
2,01100000011001001001001011010111000001000000100111001101011101101000110100000100,,6,2,0,15.717
2,00100000101100010110111010110011100100000011000011100011010110010010001000000010,,7,2,0,42.922
2,00100000011001011001001011000111000011000001100111011100011101101000110100000100,,6,3,0,11.701
2,01100000011001011001001011100111000011000001100111001111011101101000110100000100,,4,4,0,5.565
2,01100000010001001001001011100111000011000001100111001111010101101000110110000100,,5,3,0,12.079
2,00100000001101010100101011010011110110011011000011100011110010010010011000000110,,5,4,0,23.987
2,01100000011001001001001111100111000011101001100111001100010100100000110100000100,,6,3,0,32.209
2,01100000011001101000101111100111000011000001000111001111011101101100110100000100,,4,5,0,8.703
4,00000101000000011000011010101111101011000100000110010100010010110010010000010001,,8,1,0,19.19
4,10001000001001101111001000101000101011100011011111110101000010011000010000100000,,6,3,0,22.596
4,00000101001000011000011010100110110010000001011110010100010011010011010000010000,,8,1,0,32.901
4,10001000000000101011001100101001101010000011011101110101011000010000010010100000,,7,1,0,21.763
4,10001000000001101111001000101001101010000011011101110101011010001000000000100000,00000100011111011101010100010001010101101011101100011010101110010110000000010100,7,1,1,0.022
4,10011000001001000111001000101001101010000011001101110111011000011000010010100000,,6,2,0,13.358
4,00001000001011001011001000101001101010110010011111110100011000011000010010100000,,6,2,0,19.267
4,10000000001011001111001110101001101010100001011111110111011100011000010010100000,,4,5,0,10.371
4,00000101001000011000011011101110111010000101010110010100010011110010010000010001,,4,1,0,1.717
4,00000101000000010000011110111110111011000101011100010100010111110011010000010001,,5,4,0,13.381
4,00000101001100010010011010101110101011000101010010010100010011100011010000010001,,6,2,0,33.78
4,00000101001000011000010011101111111011100101010100010100000011110010010000010001,,6,3,0,10.741
4,00000101001100011000011011101100111010000101010110010100010001110010010000010000,,7,2,0,12.492
4,10001000001011001110001000101001101010100011011111100111111000001000010000100000,,6,3,0,35.335
5,00000101011110001100000011001001101001000101110000000000010011101100000100001000,01000010001110110011000000010101111100100110100100000011001011110011000000000101,6,1,1,0.016
5,00010000100000010011101000000000001111100010010110010011000000010001111010000010,01000010001110110011000000010101111100100110100100000011001011110011000000000101,7,1,1,0.711
5,00010000100000010111101000000001001111100010000110010011000000100001111010000000,01000010001110110011000000010101111100100110100100000011001011110011000000000101,6,0,1,0.012
5,00000001010110001100000010001001100001000011110010000000010101101000000100001000,,9,0,0,25.064
5,00011000100000010011101000000011001111100010010110010011001000100001111010000000,,6,3,0,53.105
5,00000001011110001110000011001001101001000111110000010000010111101110000100000000,,5,3,0,5.346
5,00000001011110001100000011001001101001000111010010000000000011001000000100001000,01000010001110110011000000010101111100100110100100000011001011110011000000000101,8,0,1,0.021
5,00000001010110001100000011001001111000000111110010100000010111101000000100001000,,6,2,0,42.476
5,00000101011110001100010011001001111001000111110010000000010110101000000100000000,,6,3,0,35.684
5,00100001001110001100000011001000111001000111110010000000010111101000000100001000,,6,2,0,28.537
5,00000001011100000100000011001000101001000110110010000000010111101000000100101000,,8,1,0,29.234
5,00100001011110001100010011001001101001000110110010010000000111101000000100001000,,6,3,0,32.156
