"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b10011000001001000010111100111000111110000001010001000110100011111001110010010000",1,5347.008329200375,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",14,4,0,0,0.8497868136775106,228.02590954619757,140.72966648916753,4.96026235965838,0
1,"b10000000011000000010110110110100001111101010010111000111010001110100100010010000",1,7354.426583784962,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",13,2,0,0,0.7309326516293563,150.99620844861644,247.36704429841328,0.529579394621295,1
2,"b10011000000111010110001001101001111110100011111111100101001000010000010010100000",4,8049.511363719723,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",8,8,0,0,0.7729753721454596,5.510496784283615,85.71428676917122,2.6534146584396847,0
3,"b00001000001110000111000010110011111111000111100000111101110001100000011000000000",1,6184.88132389429,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",14,3,0,0,0.8170134022308352,465.0458790776883,375.10198037928023,5.831521331613842,2
4,"b00010000000000101010000100011001000100110100011110011000000001110000000100000000",5,3788.5693289425662,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",20,10,0,0,0.7419501682665159,12.11413422237306,263.1122687503597,4.868627907271248,0
5,"b11011000001000000110111110111100001111101100010111000111010000111100100010010000",1,4813.853234079514,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",10,4,0,0,0.8450623875444883,237.39522231893338,502.6309026468851,2.879365160930943,3
6,"b00000111101100011000011111000111111111100111111110011110010011110110010000010011",4,6759.3279779254535,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",4,14,0,0,0.7891972617183779,376.2419510268438,25.152877540231867,5.786424994381921,1
7,"b00001001001010010110001010000001100001010111100000111001111001100000011000011001",1,7939.295969372524,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",13,0,0,0,0.722535601265937,129.64528448424286,281.7550650024113,5.3273301811743785,4
8,"b00001001001110010101001000000011111011000111110000111101111101100000011000010001",1,8059.206214195368,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",9,1,0,0,0.7306230253331927,215.67194153844673,341.7486136388535,2.004780628250007,5
9,"b00000000000000010111000000010001001001000010110000111000010100100000010000000001",1,2241.719649041253,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",26,1,0,0,0.7997568999653513,285.86042509842133,342.1973217332837,4.148715193121929,6
10,"b11100000101011011011011011000011100011010011100111001111111001101101100100000100",2,5318.6575186655855,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",7,13,0,0,0.8090434550194705,364.27663395288323,32.43350498829033,5.504473580419489,0
11,"b00000001001110111111000010110011101011010011110000111100011101100000010000000001",1,7645.417194625825,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",11,2,0,0,0.7062973643948429,187.04211451638508,243.6082368221189,0.8010792789682393,6
12,"b00001001000110110111001111100011111111010111100000111100101101100000011000000011",1,7602.880385334714,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",8,4,0,0,0.7683170206734925,72.2443393586985,64.91109191503509,4.475321785888869,7
13,"b11001100000111011111101111111011111110100111111111111111101000111000010010100000",4,5396.269185188532,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",4,19,0,0,0.8027156347454585,463.2465212110456,59.67263821896031,3.0443820922840166,1
14,"b00000101001000011000011010111110010011100101010110010100010011110011001000010001",4,11065.88455016628,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",5,3,0,0,0.7289643942779872,350.32950820454187,492.14045288599004,1.8418629629383823,1
15,"b00000001001100100100001100100011101000010011110000101100111101100000011000011000",1,7364.373996713655,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",14,0,0,0,0.6993527798577488,225.8827980839788,459.3113167507075,4.6391481740488345,8
16,"b11011000001000000101111110111100001111101001111101000110010011110101100010010000",1,6774.042821790827,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",10,6,0,0,0.8136435995398084,342.13905619538804,226.37710596089144,1.181254571941195,9
17,"b00001001000110010111001010100011100010010101110000011101101000000000000000000000",1,7521.202789439417,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",18,0,-1,0,0.6987747521809085,232.62430356017677,186.77518872854353,3.9943793394262164,10
18,"b11011000010000000010111010111000001111101000000111000111100011111101100000010000",1,7813.480017471056,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",12,3,0,0,0.7772743779465265,24.875849479114688,187.91125156814988,5.051265888834037,11
19,"b10000000000111000000000110000000010110000001010000010111000000111101110001110000",5,1187.5617627686345,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",21,14,0,0,0.8365362018800968,509.75314713374433,227.01420822955797,5.368225320822248,0
20,"b01100000001011000001001011000011100011000001000001001111010101111000110100000000",2,6604.751989861312,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",11,4,0,0,0.7559521597521583,346.3239178817154,274.9775716092004,4.525765008935554,0
21,"b00000000000101101111001001111001111111101111111110001011011000110000110010000000",5,3495.9417761573222,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",9,16,0,0,0.7561039978398233,343.91394451224005,103.30708298151688,3.9350698343842456,0
22,"b10011000000000000110010010100100001111101011010101000101010011100001110010000000",1,6760.619308002762,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",14,0,0,0,0.7234606643324104,264.0908478874444,193.31763536209786,1.2462053299425353,12
23,"b10001000000011000111001000001001101000100011010101111101011000011000010010100000",4,8913.501957258475,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",7,1,0,0,0.7221659529953122,246.36618483678188,201.77111515399864,4.749681499355569,2
24,"b00001000000000000110111010010100001111000010000110000001010011101001110000010000",1,6578.505061759977,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",18,0,0,0,0.7552543145867318,107.00752506442187,219.31139478171744,4.2890599927918345,13
25,"b10011000001000000110101100011110001111000011000100000100000011000001100010010000",1,4492.895021458531,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",18,1,0,0,0.8018507681641549,433.71832392856646,385.79117387390374,3.1281510254736844,14
26,"b00001001000110010110001100000011101011001111110000101101111101100000111000000000",1,7281.602070298331,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",12,2,0,0,0.739031475411216,251.8504400204107,197.08255462457598,5.972330736379105,15
27,"b00110000100001011011011100010001111011001111110000001001100000000010010000011000",1,2246.3160626421377,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",22,9,0,0,0.7849523894791337,192.8447502196631,428.0220042664461,1.4805039666514404,16
28,"b00100100000111011111001101000000111100000011111100111100000100010000000001010000",1,4735.4450045872,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",24,11,0,0,0.7898488483919073,508.0812739033686,32.45164199379401,3.180078397407712,16
29,"b00000001001000011000011010001011111111000101011110010100010011110011000000010000",4,5405.650890229573,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",7,3,0,-1,0.7397107465669763,13.597286709844282,124.87935701764421,1.0111789653133822,3
30,"b00001001100110010110001010100011101110010111110000011111100101100010011000011001",1,7656.7185312616475,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",9,3,0,0,0.6985556747118681,194.75952675328176,351.09244533627583,5.320062890560912,16
31,"b00000000000000000000000000000000001101100000111000000000000000000000000000000000",5,13951.046618872271,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",27,2,0,1,0.7000616214011788,343.1427084211485,486.3118276649872,4.9430421742479,0
32,"b00000000100000011110001001100101111100000111110110011101001101100000001000000000",1,6302.144473797882,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",22,8,0,0,0.7549155241518003,482.01731070987745,283.935461795171,0.7105502374239059,17
33,"b00010000011000000110011110110100000111101011010000000101010001101101110010010000",1,7930.160267574789,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",12,0,0,0,0.7285297248289617,173.0011541707968,178.9737354612934,1.9424979381544887,17
34,"b01000100010000001100000001100010000110100110010000110000000010000001000010000110",3,3897.7842532955365,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",21,0,0,0,0.7842811574086145,205.73502826865305,303.07187960092074,4.33157338060918,0
35,"b00000000000000000000011000000011110011000111110000000111111000001000110000000000",5,1969.338442689204,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",20,10,0,0,0.8092291079431141,507.90265332723,461.2336803187601,2.9088318828821,0
36,"b10010000001100000100011110111100001111101011000011000101010001110001100010010000",1,7436.162262871092,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",13,2,0,0,0.7622077102505534,60.149694602219505,179.84880674118295,3.051636261024946,18
37,"b01000000001101100000000000111000111010100000011110010100110100010000000000000000",4,5626.466345381336,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",21,8,0,0,0.7451499884526915,110.44176954283698,480.70998455615086,0.4511775121501418,4
38,"b10001000010001100110110110111100001011101001010011000111010000011001110010010000",1,7101.176532799045,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",11,2,0,0,0.7360114896684389,59.82278855935838,118.16898734861157,3.641270858902513,19
39,"b00001001000110110001010011100001100011010111110000111100011001100000011000011001",1,7939.25706843476,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",12,2,0,0,0.737402548263554,223.75103362661036,395.0832364087995,5.818640646599868,20
40,"b00001001001110010111001010100011101010000111110000111101011001100000011000001001",1,8636.12102316372,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",9,0,0,0,0.6879901758147724,259.21567952906105,449.6056895262262,2.146178457043579,21
41,"b00000000001100010111001110100001100001010111010000011101111110100000001000011001",1,7081.233371534508,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",13,1,0,0,0.7401613648831858,381.5136809132751,307.2602059767458,2.9823386376736485,22
42,"b00001001000110110110001000000001100111010011010000111101111100100000011000000001",1,7594.741627049601,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",14,1,0,0,0.7519110579661652,507.71492617895086,307.3729771165896,4.692471920481909,23
43,"b00011000011000000110111111111000101111101011111111001111111011011100100010010000",1,6596.557747226897,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",7,8,0,0,0.8402918943868881,432.91240447472984,179.1988889398867,4.2295410675856875,24
44,"b01100000011001000001001011000001000001000001100100000101010101101000010000000000",2,8132.364648644926,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",14,0,0,0,0.7363312146982078,159.31136811561154,296.4784302195846,6.188530933138843,1
45,"b00010000000100000000010000101101110001100001001000100010001110010001001001001000",5,1608.209501329694,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",23,14,0,0,0.7848022269422529,147.2864014526699,187.50367038890468,3.3000825997808065,0
46,"b10010000011001000110011110110100101111101011010111000001010011101101010000010000",1,6544.036775099405,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",8,1,0,0,0.807581670976454,116.77493223143279,464.13157725139985,5.340259570040423,25
47,"b01001000001000000001111010111000001111011111011110000111011001101101000010000110",1,3785.3114942437355,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",16,9,0,0,0.8306016203701165,486.06495273456704,268.134720909195,5.559504757115187,26
48,"b00000001000110010101001010000011001010000011110000111100111101000000011000001011",1,8069.547219034523,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",15,1,0,0,0.7099727193772556,128.07873139059842,412.98403532289126,5.48287499484173,26
49,"b10001000001011001001001000101001101000000011011101110101011000011000000010100000",4,9767.275015494433,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",7,0,0,0,0.7346549875509573,478.80388719105923,338.6586159702701,1.5469392385699745,4
50,"b00011000011000000110001110111100001100001000010110000101010011100000110010010000",1,6627.203189984026,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",15,0,0,0,0.8016184018659747,329.82690582275393,213.68905603435184,5.549203988521539,27
51,"b11011000010000000010011100011100001111101011000101000101010011100100110010010000",1,7410.570903938609,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",12,1,0,0,0.7214868000627989,179.76554264759693,231.53579462116846,1.182035608666904,28
52,"b00000001000110000111000010100011101110010111100000011101110100100000010000100000",1,7009.542581239515,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",17,2,0,0,0.6995176845839602,171.29329656985686,274.9814814372137,4.875711069685503,29
53,"b10011001101000000110010111111000001011101011110111001111101010111100100010010000",1,4723.780137973447,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",11,8,0,0,0.8787960252763132,214.24277811603443,43.500001038418844,4.471860117729621,30
54,"b00000000000010000000000000000000000010000000010100000001100000000111000000001000",5,806.1373306490023,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",26,4,1,0,0.7636159309441195,361.1500271317689,295.20150722864605,5.350582018113787,0
55,"b00001000001010010110000110110011101001011111110010111101101101100000011000001001",1,7594.490507857601,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",10,3,0,0,0.836465784104862,354.7845587554289,282.5617819309728,1.3304992315675308,31
56,"b00010000001000000110111110111100001011101011011111100100110010111101110010000000",1,7617.928833253339,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",9,3,0,0,0.7255057029500213,379.4676491351326,431.31060079341967,2.08162460792585,32
57,"b00011000011000100110111110100100000111101011111111001111010011111101110010000000",1,7811.579327070384,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",7,5,0,0,0.7550344438967872,452.90875977095556,176.5363908831129,2.7769778446684446,33
58,"b00001001000010000111001010100010101011110111110000111101111001100000011000001001",1,7949.107574865706,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",10,1,0,0,0.7282885237750453,117.20325318067978,293.29924807917985,5.7691344290247155,34
59,"b01111000010011001001001011000010000111000001100111001101010001101000110100000100",2,7567.180844227465,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",8,4,0,0,0.8032789750996193,224.44575875179558,145.63318889622897,4.1564363622689795,2
60,"b00001001000110010111000010100000001110010111110000011001111101000000010000000001",1,7055.223079021111,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",16,1,0,0,0.6943330360122989,47.57793592164786,492.6284168292592,1.709078284592222,35
61,"b00000101001000000000011011110110111011100001000110011100000011111000010000000000",4,7523.906783823833,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",12,5,0,0,0.825461774235098,414.3283659342173,309.2903450012207,6.202465802596619,5
62,"b10000000001011010110001010111001111110110011011101110110000100011000010010100000",4,3974.0407196128253,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",8,8,0,0,0.8470244509595296,387.9351816241398,470.5517924806561,1.9668631171483881,6
63,"b00010000000111100110001111100101100111000111111000111111111100100000000000001001",1,7745.362790471112,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",14,7,0,0,0.7438217277199225,373.57207766060674,219.76356536207618,3.1292039402227525,36
64,"b00000000000110100110001110100001101011010111110000001100111101100000001000010000",1,9658.13381165842,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",14,0,0,0,0.7269481555228009,354.0334495792484,339.74201707972645,5.378385877991644,36
65,"b00001000001001101001001000001001101000100001010111011101011000010010010010100000",4,4657.61625451307,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",10,2,0,0,0.7408984473211375,263.82381261362644,243.56799315186035,2.727828461075908,7
66,"b10000000001100000100010001010010001001000101101010101010011001101011010000001000",0,6971.15470802932,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",15,2,0,0,0.7333211553525418,192.5628679507548,298.18804460402777,3.3100757244939523,0
67,"b10001000011000000100111110110000001111101010011111000101100000111010100010010000",1,6609.0522886624785,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",13,3,0,0,0.7743091828839685,13.72960430234422,218.73713251505552,5.24938764794465,37
68,"b00010000000110000001111111011111100111000001000000000111001110011111001001001001",5,2296.756328919122,"b00000001011111001100000011001001101001000111110010000000010111101100110100001000",17,20,0,0,0.7817772777424998,358.09097113019874,466.159559058853,2.034373776318491,0
69,"b10010000011000000110011110111101101111101111010111000111000111101001010010010000",1,5107.804043430267,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",8,5,0,0,0.7950259522029606,160.32631372342445,91.86110315574528,5.818472706201382,38
70,"b00011000001000000010110110111100001111011010010111000100110001101001110010010000",1,8410.363894469601,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",11,1,0,0,0.7366816098753284,477.43376196270975,429.2022272908291,5.870529076051698,39
71,"b00000101001000011000010010111110111011100101111110010100010011111011010000010000",4,9297.022568810535,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",4,5,0,0,0.7649303956708992,182.99778195928502,87.46770228477463,3.6026811448185674,8
72,"b00000001001110111011001111100101111100000111100000011101111000000000010000001001",1,3878.9286980211727,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",15,5,0,0,0.777405817294347,325.86174064887274,78.46715669345087,1.0730441395952768,40
73,"b10001000000111101111001000101001111010100011111001011111011000011000000010100000",4,9642.210450999944,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",5,5,0,0,0.7634249449017416,416.1293078673292,265.8794601913791,1.6547300525392488,9
74,"b10000000000101100000000000000111100111110100111111010101000001110100000000000000",2,4344.1558811138075,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",20,11,0,0,0.882868081488796,159.17595605298243,384.53233166526445,5.729661009422298,3
75,"b00001000000100000111001000110010111111000111110000111100111101110000011000001001",1,5551.001389803732,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",13,4,0,0,0.877038482488656,508.04243674570426,207.44230000402197,1.671193584085455,40
76,"b00011000011000100110110111011000001111101011111111001111111011111101110010010000",1,6833.418173121093,"b10011000011001100110111110111100001111101011010111000101110011101101110010010000",5,7,0,0,0.8152126921717388,508.6602425893497,235.33203371141045,3.699304977486418,41
