node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
1,00001001001110010111001010100011101010000111110000111101011001100000011000001001,,9,0,0,23.452
1,10010000011001000110011110110100101111101011010111000001010011101101010000010000,,8,1,0,13.29
1,10010000001001000110111100111100001111101011010101000111010001101001110010010000,,8,1,0,13.314
1,10010000011000000110111100111100001111101000010011000101010011101001110010010000,,9,0,0,16.359
1,00001001001111110100001110110011101001010101110000111101111101100110011000011001,,4,2,0,3.374
1,10001000011000100100111110111000001111101011011111000101010010101001110010010000,00100100001110110111000101110010110101110000111110111110111110011001101001100001,7,1,1,0.469
1,00101001000010111101001111100010101011010111110000111101110101100110011000001001,,6,3,0,8.921
1,00001000011000100110111110110000001110101011010111000001110011001001110010010000,,9,0,0,24.182
1,00001001001110110111001010100011101011010101110000110101111101100000011000010001,00100100001110110111000101110010110101110000111110111110111110011001101001100001,6,0,1,0.025
1,00000000011000000110110110111100001111101011010101000101110011101001110010000000,,9,0,0,6.994
2,00100000101101000100101000110011100010010010000011100011010010011010011000000110,,7,1,0,25.981
2,00000000101100000110101010110011100110000011000011000011010010010010001000000110,10000001101001011001100011010000110000111110011001101010110011011101100010000010,8,0,1,1.675
2,00110000101000010110101010110011100110000001100010100011010010010110011100000110,,6,3,0,35.31
4,00000101001000011000011010111110010011100101010110010100010011110011001000010001,,5,3,0,12.171
4,10001000000011000111001000001001101000100011010101111101011000011000010010100000,00000100011111011101010100010001110101101010101100011010111110100110000001010100,7,1,0,0.019
4,10001000001011001001001000101001101000000011011101110101011000011000000010100000,00000100011111011101010100010001010101101011101100011010101110010110000000010100,7,0,1,0.012
4,00000101001000011000010010111110111011100101111110010100010011111011010000010000,,4,5,0,10.202
4,00000101001000001001011010101110011011000101110110010000010011110011010000000001,,6,2,0,24.793
4,00000101001000011000011011111110111011000101100110000100010011110001010000010001,,5,3,0,10.498
4,10001000000011001110001000101001101110100011011001110101011000010000010010000000,00000100011111011101010100010001010101101011101100011010101110010110000000010100,7,1,1,0.36
4,00000100001000000000011010111110110011000101010110010100000011110011000000010001,,8,1,0,25.089
4,00000101000000010000011010101100101000000100010110010100010010110111010000010001,,9,0,0,36.25
4,00000101001000001000011110110110111011000100010110010100110011110011010000010001,,5,3,0,13.031
4,00000101001000011000011010110010111011000000010110010100010011110011000000010001,,7,1,0,19.162
4,00000101001000011000010010100110111011000101000110010100010011110111000000000000,00000100011111011101010100010001010101101011101100011010101110010110000000010100,7,0,1,0.106
4,00000101001000011000011010111110110011000100010100011100010011110010000000010001,,7,2,0,20.663
4,00000101001000011000010010101110111010000101110110010100010001010010010000010000,,8,1,0,21.594
4,00000101001000011000011010100100101001000101010110010100010011110011010000010000,00000100011111011101010100010001010101101011101100011010101110010110000000010100,7,0,1,0.104
4,10001000001001001111001000111001001010100011010100100101011000011000000010100000,,8,1,0,19.986
4,00000101001000011000011010111110110011100101010110010100010010110011010000010001,,4,2,0,3.113
4,00000101001000000000011010101110111001000101010110010100000011110000110000010001,,8,1,0,23.522
4,00000101001000011000011010111110011011000001010100010100010010111111010000010001,,5,2,0,8.925
5,00010000001100100111111000000001001111100010010110010011000000110000001000000000,,7,1,0,13.755
