"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b00111100000000011100000001110001001100100100000001010101100001000000001110001000",0,527.6772231608985,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",22,15,0,0,1.1623379002823724,508.3951536253003,153.98114093960677,6.217091243009456,0
1,"b10001000101000000010100100000100010101100100000010000010000001000000010000001000",0,3583.5789394541416,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",14,0,0,0,0.7974834032578659,129.1706759768093,355.99364633392366,4.502932588117691,0
2,"b10001000001011100010000000001100101000011001110110000100011000000001100000000000",0,2022.9324416768713,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",17,8,0,0,0.7569917768737192,455.45141367006954,500.30457464708644,3.3109070062534602,1
3,"b10000000001000100010101110001000010000010101000110010000100000000001100000000010",0,4003.4145203124317,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",19,7,0,0,0.849009469488698,53.882413093321425,133.6928467682265,2.124190665699195,1
4,"b00000010000110000000011000100000011000010110100100110000110101000111000000010001",0,2814.130327509052,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",14,6,0,0,0.7952448784645564,413.59212719425244,38.41799036240736,2.297483639398374,1
5,"b00100001000011000000001000100111101000001110111011110000100000000110010000010000",0,1280.0971246244635,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",16,10,0,0,0.7500908637575024,349.8977946153509,472.6890916122822,1.2085183181167363,1
6,"b00000010001001000010000001000001010000100111111000100001100100000000010000000001",0,3059.91140335369,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",15,3,0,0,0.7629100419236016,154.5688772673891,108.24395257357894,4.888363705128101,1
7,"b11110000101101100011011100001101000111010000001000110000100000100100000010100000",0,1147.504792020552,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",18,15,0,0,0.9315360627279387,164.86074470689667,11.61526518378779,0.7033603177323202,1
8,"b00010101000000000000011100001000010000010101000001110010011011000010000100011100",0,1215.7259808322106,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",20,12,0,0,0.8825552694911704,307.52933992925915,406.1097071096667,0.5512336277977297,1
9,"b10001000001011100011100100000100000101100000001110000011011000000000110001010000",0,4149.702035412021,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",8,1,0,0,0.7787927365737926,122.74176070767501,461.83209000979895,2.1324289412555837,1
10,"b00001010001101000010011001000001000000100110000000100000100101000111010100010000",0,5519.493027482542,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",9,0,0,0,0.7584967390414279,228.52053404342297,505.46850335409476,3.1396881181887375,2
11,"b00000000000000000000000001000001000010100000100110010000101100010010000000000000",0,1419.3813731839712,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",24,5,1,1,0.7054251912137252,10.023311307523525,317.27109512214554,3.175347076510841,3
12,"b00000110000000010101001000000011100001000001000000101010000110000001010100010000",0,2986.2772812195517,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",21,9,0,0,1.0108425861667847,363.28454472778253,353.98660816391987,1.4613537072096467,3
13,"b00000010001001110010011001000000000000100100101000100000100111000111010100000001",0,4284.587122248615,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",10,2,0,0,0.8146064499700545,67.03289178792255,221.37648548360093,5.791330572826256,3
14,"b11001100101000000011101001001100110111110000101010000010001001000000000001100000",0,3753.8617691029963,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",12,8,0,0,0.8073222002064877,406.6561788622587,332.5988753833387,0.6870142013458137,4
15,"b10000000001010100000101010000100110000010100001111000001101000101111000000000110",0,1822.2286342162774,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",18,12,0,0,0.7575678756540765,324.24270281428716,264.44645975727485,2.6615176593020866,4
16,"b10001000101011100010100100000100010110100100001010000010010001000010010000011000",0,5563.47925606563,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",8,1,0,0,0.8380246033123734,216.08200315385892,203.1007267510257,6.011902590692332,4
