node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,10001000001011100011100100000100000101100000001110000011011000000000110001010000,00000101011101011101100000111101101001000111000000011011000011000010100000101000,8,1,0,3.234
0,00001010001101000010011001000001000000100110000000100000100101000111010100010000,01101100001100011101100000100101100000000100000010011001000011010000100000001000,9,0,0,7.062
0,10001000101011100010100100000100010110100100001010000010010001000010010000011000,,8,1,0,31.261
0,10001000101011100011101100001100000111110100001010000010011001000010010000001000,01000100011101011101110000111111110000001101000010011001000010011100100001101000,5,2,0,10.945
0,00001010001101000010010000000001010000101110000000100000000111000011010100010001,01100100011100001101100000000111100000100101010010110000000011011000100000101000,9,0,0,6.828
0,10001000111011100011100100000100010111110100001010000010011001000000010001001000,,5,2,0,23.745
0,10001000101011100011100100000100110101110100011110000010111001000010110001000000,01010100011100011101110000100111001011010111100010011101000011010000101100001000,3,3,0,16.168
0,00000010001101000010011001000001110000001111101000100000100111000110000100010000,,7,1,0,26.18
0,00000010001001000010011001000001010000101101101000110000100111000011010100010001,11000100011100011101110000101111010010101101000010011001000010010101100000001000,6,1,0,1.387
0,10001000101011100011100100001100010111110100011100000010010001000010110001001000,01100100011100111101111100101111111010000011100010001000000111011000100001001000,3,2,0,1.078
0,00010010001101000010011001000001000000101110001000100000100111000111010100010001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,5,0,1,7.764
0,10000000101011000001100100000100010111110100101010000010011001000010110001000000,,7,2,0,30.461
0,10001000101011100011100100000100010101100100001010000010011001000010110000000000,01000100011110011101100000100101001010000111000010011001001011010011100000001000,6,0,0,0.039
0,10001000101111000010100110000100010111110100011110000010011001000010110001000000,,5,4,0,26.974
0,10001000001110000011100100000100010001110100001110000010010001000010100001010000,,8,1,0,26.461
0,10001000001011100011100100000100010110110000001110010010001001000010110001010000,00001100011110011101000010100111011010000111000000010001001011010001100000101000,6,2,0,9.663
0,00000010001101000010011001000001100000101110101000000000100101000110010100010000,,8,0,0,25.644
0,10001000101011100011100100001000110101100100001110000010011001000010110001000000,11000100101110011101010000101111101111000111000010011001000011010001100000001000,4,1,0,7.834
0,10001000101011100011100100001000010101100100001010000010011001000010010001000000,,6,0,0,26.577
0,00011010001000000010011001000001110000101110000000110000000111000111010100010001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,5,0,1,0.531
0,00000010001111000010011001000001011000101110101000100000100110000011010100010000,01000100001000001101110000111111101010000101100011011011101011110000100001001000,7,2,0,4.646
0,00001000001101100010010000000001000000101110101000100000100111000111010100010001,01000110011101011101110000000111101010100100010011010000000011011100100000100000,7,1,0,2.019
0,00001010001001000010011001000001010000100111101000100000100011000111010000010001,,7,1,0,31.458
0,10001000101011100011100100001100110001000100001110000110111001000010110001001000,,4,3,0,25.285
0,10001000101011100011100100000100000101100100001110000010101101000010100001000000,01000100011100011111100011000101101010001111000010110101001011010000100000001000,7,2,0,19.352
0,10001000101011100011100100001100010101110100001110000010010001000010010001000000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,4,0,1,0.019
0,10001000101010100011100100000100010001100100001010000000011001000010100001000000,10001000101010100111100100000100010011110111001010000000011011010110100001000000,9,0,0,1.584
0,10001000101011100011100100001100010100110100001010000010001001000010010001001000,01011100011100011111110110100111011010100101100010010001000010010000100001001000,5,0,0,23.973
0,00000010001101000010011001000001010000101100100000100000000111000111010100010000,,8,0,0,30.835
0,00010010001001000010011001000001010000001100101000100010100111000111010100010001,01000100011100011101100010100111001010000111001000111001011011010000100001001000,6,1,0,2.964
0,00000000001101000010011001000001011000101010100000100000100111000111010100010000,,8,1,0,32.933
0,00010000001101000010011001000001010000101110101000100000100111000111000000000000,,8,0,0,33.605
0,00000000001101000010011000000001110000101110101000110000100111000010010000010000,11000110001101001001110000100101101010000111000010011000000011010000100000000000,8,0,0,11.753
0,10001000101011000011100100000100000100110100001100000010010000000000110001001000,,9,0,0,36.355
0,10001000101011100011100100001100010101110000011010000010011001000010110000011000,01000000011101011101110000100111101011100101100000011001001011010010100001100100,3,1,0,10.65
0,10001000101011100011100100001100000001010100001010000010001001000010100011000000,01000100011100011101111000101110100001000101000010010001010011010101100000001100,8,1,0,1.675
0,00000010001001000010011001000001100000101111101000100000100111000110010110010001,01100100011100111001100100100111110010001110100010011011000011010010100000001000,6,2,0,0.127
0,00001010001101000010011001000001010000101110001000100000100010000111010000010000,00000100001100111101110000100111100010010101000010011001001011011000100000101000,8,0,0,0.521
0,00010000001001000010011001000000010000101100101000100000100111000010010100010001,11000100011100011001100000100111001010000101100011111001000011010001100001000000,9,0,0,1.949
0,00000000001101000000011001000001010000101110101000100011100101000111010100010001,,7,2,0,30.769
0,10001000101011100010100100000100010101000000001010000010011001000010010001000000,01000100011100011101100010100100101010000101001010011101000010010000100000001001,9,0,0,2.512
0,10011000101010000011100000000100010111110100001010000000011001000010110001010000,,7,2,0,31.035
0,00010010001101000010001001000001010000101110000000100000100001000111010100010001,01000100111100111101100000101111110000000101000010001001000011011000100001001000,8,0,0,0.79
0,00001010001101000000011001000001010000101110101000100000100111000111010100010001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,4,0,1,0.017
0,10000000101011100010100000001100010000110100001010000010011001000010110001000000,01000000011110111101110110000111000010000111000010011001001011010000100000001000,8,0,0,5.082
0,00000000001101000000011000000001010000101110101000110000100111000011010100000000,01000000001111001111110000101011101010011101000010011000001011010000000000000000,9,0,0,1.198
0,10001000101001100011100100000100010101110100001000000010011001000010100001010000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,6,0,1,0.574
