node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00000010001101101010001001000001111000101110101000110000100111000011010100010000,,5,3,0,24.847
0,00011010001001100000011001000000011000101110110000110000100101000111010100010001,,6,3,0,25.342
0,10001000101011100011100100000100010001110000001010000010101001000010100000010000,,8,1,0,34.031
0,10001000001111100011100100000100010101100100001100000010001001001010100001001000,,7,2,0,26.748
0,00101000001011100001100100001100000101110100001110000010111001000010110000010000,00000101001000011101010000110111101000000111001010011101100011011110100000110000,6,2,0,0.351
0,00010010000101000000011001000001110000101110111000100000100111000101010100010001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,5,1,1,1.202
0,00001010001100000000011000000001011000101110111000100000100111000111010100010001,01000100011110011111100000101111101111000101100010011000000011010100000001100000,6,2,0,2.718
0,00011010001101000010011000000001010000001111101000100000100111000011010100010000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,6,1,1,2.942
0,00001100101011110011101101000100010101010100001010000010011001000010110001001000,,5,4,0,22.0
0,00010010001101000010011001000001010000101010101000100000100101000111010100010000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,6,0,1,12.108
0,00011000001101000010011001000001010000101100001000110000100111000011010100010001,01000100011110011101110000000111000010010101000010111001000111110010100001100000,5,0,0,5.321
0,10001000101011100011100100001100011101110001010110000010011001000010000001001000,,5,3,0,27.287
0,10001000101011000011100100001100110001110100001110000010111000000010100000110000,,6,3,0,26.915
0,00001000101010100011100100001100011100110000000010000010011000000010110001001000,11100100001100010101110100100111001110000100000001011001000011110100000101000000,8,1,0,19.758
0,00010010001101000010011000000001000000101110101000100000000111000011010100000000,,9,0,0,27.84
0,00011010001101000010011100000000110000100111110000110000000111000111010100010001,,5,3,0,30.07
0,00011000000100000010011001000001010000101110101000110000100111000001010100000001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,7,0,1,4.151
0,00001010001101001010011001100001011000101110001000100000110111000111010000010001,00000100011100011101100010110111110010110111100010011001100111010010100000101000,5,4,0,7.726
0,10000000101011100011100100001000010101110100000000000010001001010010100001011000,,7,1,0,23.735
0,00001010001101000010011100000001010000101110001000100000100111000111000100010001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,6,1,1,10.918
0,00011010001101001010010001000000110000100110000000110000000111000111010100010000,,7,1,0,29.78
0,10001000001011100010100100001100010101110100101000000010010001000010000001001000,,8,1,0,26.938
0,10001000101011000011100100000100010101100101001010000000001001000010110001000000,01000100011101001101100010100101101010100101001010010010001011011010101000001000,8,1,0,0.046
0,10001000001011100001100100000100011101110110001110000000111001000010110000011000,00000100001001011101100000100111111110100111000110011100100011010000100101100000,5,3,0,0.34
0,10000000001011100000100100000100010001110100001110010010111001000010110001010000,,7,2,0,32.316
0,00011010001001000010000001000001110000101110101000100000100101000111010100010000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,6,0,1,1.447
0,00010000001101000010011001000000010000101110100000100000100111000010010100010001,01000100011100011101110000100111101010000111000010011001000011010000100001101000,8,0,1,7.292
0,00011010001101000010001101000000010000001110001000100000100100000111010100010001,00010110001110001111000010110010000010000001100111100000000111111010001000100010,8,1,0,8.393
0,00000010001101000010011001000001010000100110001001110000100111000101010000010001,00000100011100010101110010100001100010010111000010011001001011111010100000001000,7,1,0,1.628
0,10001000101001100011100100000000010100110100001010000010010001000010110000000000,01010100011100011101100000101111001010000101000010001001001011010000100000101000,9,0,0,18.003
0,00010010001000000010011001000001110000101110101000100000100011000111010100010000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,6,0,1,1.598
0,00011010001010000010011001000001111000101111001000100000100111000110010100010001,01000100011100011111110000100111110010000111101010011011000010111000100001101010,5,3,0,1.493
