"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b00000000001011100011100100000000000000100110010110000000010000101011000000100000",0,3366.000474165427,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",18,6,0,0,0.7320284426481029,266.54626687166075,101.30828181775648,5.914847001361086,0
1,"b00101101000000000000000100010100010000000101010000010010100010000100001110001100",0,2114.371684343154,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",25,14,0,0,0.8649774486074714,250.01827857409447,234.75955027171247,5.896304734525154,0
2,"b00000000000100000000010001000000010111000001011111000000001100000000110000000000",0,2422.4086118909413,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",23,8,0,1,0.7128775492164976,68.28795350975753,224.73670208504186,2.2542633573778845,0
3,"b00010010001100000000010001000000010000100110001000100000000111000011010000010001",0,5933.936015163437,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",12,0,0,0,0.7385162545296319,345.8321865233385,118.58375329808887,4.780002941820506,0
4,"b00001000100001000001110101000101100001010010000010000000010100000000000000000000",0,3408.810152211607,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",21,6,-1,0,0.8109719607092621,190.1506634964085,376.05626122347456,4.663647302699276,1
5,"b00000000001000100011000100001100000111000100101010000000011000111101100000010000",0,3662.871792964182,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",16,7,0,0,0.7587276447051808,324.07634491433276,210.21436483271162,0.5984788898094465,1
6,"b10001000100011100011000100000000000001110100001000000010111001000010110000001000",0,5790.840233577442,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",10,1,0,0,0.732104728025155,469.39934754343824,172.91656804242425,5.6941798775968095,1
7,"b00000000000000000110000011000000000000000000000000001000000011101100000110000000",0,3603.7713711932647,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",26,6,1,-1,0.7144913672994249,349.32011839635686,345.49204348718536,0.9724829590735016,2
8,"b00010000000101001010001001100001000000101110101000100000000111000001010100000000",0,6448.68357817184,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",12,2,0,0,0.7876408939138642,461.9332454721816,445.9371152940425,5.196301019837722,2
9,"b01101101000011001000001110000000000000101000001000000011101000001000100000000000",0,2832.7531375078593,"b10001000101011100011100100001100010101110100001110000010011001000010110001011000",23,11,-1,0,0.7160922942338929,370.51252049420447,372.22420323647884,1.0523618174665526,3
