node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00010010001101000010011001000001010000101110001000101000100001000111010000000001,,8,1,0,33.619
0,10001000000011100011100100000100010111110100000100000010011001000010110001000000,00001010001101010011011000000000100000101111101010110001100111001111000000010001,7,1,0,23.689
0,10001000101011000000100100001100010101110100001000000010001001000010100000010000,,9,0,0,31.525
0,00011010001101001010011001000001000000100010000000100000100111000111010100010001,00011010001101001011011101001101001000100110000000100000101111000111000100010001,7,1,0,12.32
0,00001010001101000010011001000000110000100110101000010000000100000101010000010001,,9,0,0,32.305
0,10000000101011000011100101000000010101110100001010000010011001000010110001000000,01000000011110111101010010100111101110000101000010111001001011010000100000001000,7,1,0,1.539
0,00001000101011000010100000001100010001110100001110000000011001000010110001011000,,6,0,0,19.432
0,00001010001001000010011001000001010000101110101000100000100111000111010100010000,01000101001100011101100000110111101110000101000010011001000010011110100010001000,5,0,0,1.07
0,00000010001101000010011001000001010000101110101000110000000111000101010100010000,01000100001101110101110000000111101010000101110010011001001011011000100000001001,6,0,0,5.733
0,00001011001101001000011001000000100000101110101000100000100111000111010000000001,00100010011101011101000010100111101010000010000110011001001011010010000000101100,7,2,0,9.236
0,00011010001101000010011001000001010000101110100000100000000111000110010100000000,01000000001100011001110000001111011000000101100010011001001011010011100001101000,7,0,0,2.751
