"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b00000010001100001101110110110000111111100001111110000100000011010000010101000000",0,5116.4368344432805,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",11,7,0,0,0.8923311606723744,207.27277055393358,138.43198170928412,3.236146776547933,0
1,"b00000110110111001000001001101000111111000011110100111110000011111100110000110010",0,3306.598748635067,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",10,13,0,0,0.9066574317401045,379.5970329991025,8.257788560216733,1.813652027756487,0
2,"b00000100000000111000000111100100111111100010001110000000000010000000001100000000",0,1119.2019566003069,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",24,11,0,0,0.8256726015140269,303.4278077747817,4.034323467094675,5.1213229866070265,0
3,"b01000110000110011000011110101001101000111101111110000001111000000000000010000011",0,535.1365597663392,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",20,17,0,0,0.9002662370216999,49.78128771102354,77.96788800264922,1.5392452725824146,0
4,"b01001110001000111110000000100000111110000010001111001001101010111000110001000000",0,4547.46170503817,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",11,7,0,0,0.9275620635498752,198.6567512930923,336.15494528589693,0.060765837912812135,0
5,"b00000000000000000000000100000000111000000011101011001000001000000000110000000000",0,2827.851874050988,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",29,7,0,1,0.7442809622273266,4.64524230252553,296.8955225430355,0.6264241359642511,0
6,"b01101000001100011000000000110000101111000111111100001000111110111000001001100000",0,5018.653305142472,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",10,7,0,0,0.8733885867627545,342.7041823583857,294.94907339531545,4.8105832471111505,0
7,"b00000000000111000000001000000000111110000001110010111100000000111000000000100000",0,1745.4817806752314,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,8,0,-1,0.7382546154273434,230.33970638322242,254.59566879084082,1.1437688149132446,1
8,"b00000000000000000000011000000001110010000010111100000111000000111000010101110011",0,5086.82299806905,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",17,5,1,0,0.8022066678513882,76.58309104235248,97.79888574749562,1.2340650471316836,1
9,"b00000000000000000000001110011000111111100011011100001101100000110010000000000110",0,2808.721255632815,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",20,10,1,0,0.7594049976170073,56.79336827466159,272.59269466396665,0.5889412376671848,1
10,"b00000000000000000100000111010000011110000000011110000101111011111100000001100011",0,2717.4770415604853,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",18,10,1,0,0.7831369832731954,121.57477716405586,79.8903329543837,4.270912298476635,1
11,"b00001001000001111110000111000011111110100110011111011000011110110000000001000000",0,1932.5907039267793,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",15,14,0,0,0.8064830458067205,10.784513716231114,273.66684782728396,3.6788191677393103,1
12,"b00000100001100000100111100110000111110000011110100000110000011111100000101010011",0,6260.954420273007,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",7,4,0,0,0.7875861067205772,147.2676137038751,422.05264591351516,5.860373041380281,1
13,"b00000110111100000111011010110000111111000011101100101100000011111000110001100110",0,2279.9956013625706,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",9,12,0,0,0.9199908761183301,361.07459296182145,395.56897716744004,3.4401656225402912,2
14,"b00000000000000111000011101111001100111110000000000001110000010011000001000000000",0,2765.0152859320806,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,11,0,0,0.8199694959828964,371.4417824715878,98.36240592152373,1.2522109778280466,2
15,"b00000000000000000000000000000000100011000000101100001000000000000000000000000000",0,4049.3708677773,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",31,2,0,0,0.7286090035183747,432.94360962432296,11.155711410860933,3.419059202158955,2
16,"b00000100000001011100000011010100111111110011100000000100000000000110000110000000",0,1595.12566018155,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",21,10,0,1,0.807091465161836,27.904317438832905,140.2743153684378,4.0896485843843635,2
17,"b00100011000111001111001111011000111111100011111110111110001001111000000001100000",0,1624.0470421998075,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",12,18,0,0,0.912523997042568,447.55523132027133,24.952664659499092,2.2473596141802528,2
18,"b01100000000111001000111110110100011111000001111110011110000001111100010001000000",0,2652.9944247609046,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",14,14,0,0,0.8083048994363151,62.84597229480217,216.41240044909097,4.034515244851123,2
19,"b11000110100000011110000000100000101111000010011100001000111111010001111001000000",0,5138.96149054267,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",8,4,0,0,0.865603476873784,444.8579077779616,430.80384828706485,5.780430689496471,2
20,"b01000000001111000100001110111000011111101011000000111111000100011100110000000011",0,992.7076375627216,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",17,16,0,0,0.8253556936259209,411.33739642568526,422.1285394049841,0.3352142544336723,3
21,"b00000000000000000000000110010000111111001110001100100000000011100000000111000000",0,2195.5099385360577,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,8,1,-1,0.7737060810240534,352.22270791480406,146.3294319444631,4.825757402077042,3
22,"b10001110001100111010000000010100100101000111010000000001111010110001111001000000",0,2356.729018967966,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",11,6,0,0,0.9585603009525916,423.8977162514559,334.31721602377417,1.0903336146335616,3
23,"b01000011000111000010001111011000111111100001111100011110000011111100010100010011",0,3492.6076913677443,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",10,14,0,0,0.8709329548763953,491.7935610362657,444.47642802485035,0.49930428670247157,4
24,"b00000000000000000010000001101000000101100000000111111010011011110100000000000000",0,245.30162808706143,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",28,13,1,0,0.7762243865706044,411.9243833118491,353.97299523379866,3.887060061655361,4
25,"b01001110101000001011000000100000101111000111010100001100111110110000111001000000",0,7023.08837920493,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",5,2,0,0,0.8529705290909595,260.29695020649996,444.18930424865175,0.6010118665525203,4
26,"b00000100100000111100010011100000101111000111101111001100001000111100001000100000",0,3276.3647880958983,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",14,10,0,0,0.8334632091495736,51.02046248923973,217.0345190639241,2.037235276553993,5
27,"b01100000001100011000000001111100100111000111111100011111111000110000001100000000",0,1598.4633379603347,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",15,13,0,0,0.8626460664773349,495.5706152332363,92.32482068360741,6.196608147212601,5
28,"b00000000000011000000000100110000011011000000001100000000110100000000110000000000",0,3605.971129682991,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",26,6,0,1,0.751026877091729,214.1617812195185,89.225713851988,6.164815131065259,5
29,"b00000000110001111111111111110011001101000111100000011000000000000000000000000000",0,2224.212919323259,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",21,13,-1,0,0.8023332695540445,40.36963063315847,8.94386031378772,0.16182677443955407,5
30,"b00001110000100011001000000100100111110000011110001001100111100110000010001100000",0,4544.484979213839,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",12,6,0,1,0.7983783466257512,186.47373721320295,205.33805927041618,4.929363225997873,5
31,"b00000011000110000111111110010000111111000001001100100111000001111100010000000011",0,3027.723128729651,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",13,11,0,0,0.8814528321288051,278.8900251319141,179.4220331017107,3.5767807127340676,5
32,"b10000000000000000000000000100000000110000011010000000001000000000000000000000000",0,2147.9614076828566,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",29,1,0,-1,0.7267389005536439,255.83390130984915,266.48156826300635,4.670326450159548,5
33,"b00010000000011000000000010010011111101101111100110011110101111000010010000000100",0,329.97512844479263,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,19,0,0,0.8796539532402944,110.18820930260011,269.37038058197527,5.207399168400512,5
34,"b00000000000000000000000000000000011111000001111100000110000000110000000000000000",0,4267.132483701198,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",26,4,0,0,0.7234930376978201,341.72280452859707,181.30505717539071,1.6070583636378803,5
35,"b00000000000000000000000000000000111000000001100000000000000000000000000000000000",0,1181.1655889040856,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",32,1,0,0,0.7873496369995165,316.8646122744674,35.53577211168077,1.0852219655745325,5
36,"b00001000001000110100000000000000011100000011101000011100000000111000000001000000",0,6116.245551330103,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",23,6,0,-1,0.8295309287000362,10.251798172475983,34.86555067006183,2.7718715723981706,5
37,"b00000000000000000000111000000000100011100000111110001110000001111000000001110011",0,3587.890020222436,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",16,4,1,0,0.8031967469791912,402.9625347764995,98.11954159467476,4.5210487861716,5
38,"b00001001010011111011001100100000110000000001000000001000000000100000000000000000",0,1713.7845413248729,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",25,7,-1,1,0.8217907432996318,234.6217541174866,163.04940351151743,4.264827569170514,5
39,"b00000100000000011000000000100100100010000011011000001001110000010011111001000010",0,2547.5840891530333,"b11001110101000111111000000100000101111000111010100001000111100110000111001100000",19,6,0,0,0.8194868028336454,390.1545115762618,346.7920877835405,5.717049583607144,5
