node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
1,01001110101000001011000000100000101111000111010100001100111110110000111001000000,,5,2,0,19.965
1,01001110101000111111000000100000100111000111010010001000111100010000101001100000,,5,1,0,21.449
1,01001010001000001111000000100000101111000111000100001000111110110000111001100001,,6,2,0,25.662
1,11001110100000111111000000000000101111000111110000001100111000110000100001000000,,7,2,0,26.281
1,11001110101000011111000000000000101111000111010101001001111110100000110001100000,,4,3,0,24.149
1,11001110000000011111000001100000101111000111010000001000101000100000111001100000,,7,1,0,29.536
1,01001110101000100111000000100000101110000110000100001000101100110000101001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,8,0,1,28.601
1,11001100101000011011000000100000101101000110010100001000111110110000011001000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,1,1,21.437
1,01001010100000111111000000000000110111000111010110001000011110110000111001100000,,6,3,0,25.325
1,11001110001000011010000000100000101110000100010000001000111100110000011001100000,,9,0,0,23.031
1,11001110101000011110000000100000101110000111010100001100101110110000111001000000,10010100001111101011011100101111110101000010111000010000101010000111101100111010,5,2,0,2.07
1,11001110001000011110000000100000100101000101010100000000101100110000111001100000,,8,0,0,29.801
1,11001110101000011111000000110000101111000111110100001100100000100000110001100000,11011100111111100001111100001010111101000010111010000100111011000101000000011000,6,3,0,11.778
1,10001110101000011111000000100000011110000101010101001000111100100000111011100000,,6,3,0,26.728
1,11001110101000111011000000100000100110000101010100001000111100110000011000100000,01011100111101110001000101000000111111100010101110111101010010000111000000010001,6,0,0,0.415
1,01001110101000111111000000100000101111000111011100001100011010110001111001100000,,3,4,0,20.93
1,11001110101000111111000000000000001111000111000100011000111110110000110001100000,,4,2,0,21.596
1,11001110001100111101000000100000111111000001110100001000111111110000111001100000,,4,5,0,20.944
1,01001110001000011111000000100000101111000100010100001100011010110000111001100000,,7,2,0,18.41
1,11001110001000011111000000100000101111000101011000001000111100110000111001100000,00011100111111100101100100000000111101100001101010111100010111000011100000011001,4,1,0,0.021
1,11000110101000011111000000000000100011000110010100001000011100110000110001000000,,9,0,0,27.393
1,00000110001100000100011100010000101010100001010100000100000011111100010100110011,01001110111111111001000110100000010100010010101010011110010011000001000000011000,7,0,0,24.247
1,01001110101000011111000000100000101110000111110100001000011100110000111001100000,01011100101111110101000101000000111101000010111110111000010011000111001000001001,4,1,0,0.61
1,11001110101100011111000000100000111111000111011100000000011000110000111001100000,01011111111111100011000100100000111111000011101110011000010011000111100000111001,4,3,0,11.319
1,11000110001000011111000000100000101101000111010000001000111100110000101001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,3.207
1,11001010101000111111000000000000100111000111110100001000100000110000101101100000,11010110101111110001001000101000111001000010111110000100010011000011000000011011,7,2,0,1.704
1,00000110010110000100011100000000001111100011110000000100000011111000010101110011,,7,2,0,26.106
1,11001110100000111111000000100000111111000111001101011000111010110000110001100000,00001110001111001111111100011010110011100011111100000100000011111111100101110011,4,5,0,7.13
1,11001110101000011011000000110000101110000111110100001000110010110000011001100000,,6,3,0,21.82
1,00000110011100001100111000000000101010100001110100001100000001111000010101110011,,6,1,0,24.332
1,01001110001000111110000000000000101110000110010100001000101100100000111001100000,10011000001010000011001001101101100101100000111000000000100010001111100100111010,8,0,0,23.955
1,11001010000000111110000000100000001111000111010100001000101100010000001001100000,,9,0,0,34.736
1,11001110101000011111000000100000100100000101000100011100111000110000111001100000,01011110111111100001000100001000001001100010001010011000111011100011100010011001,7,2,0,2.017
1,01001110001000111011000000100000100110000101000101001000011100110000111001100000,00011110101101110001010100000000011001011010001010111001010011010111000001011001,8,1,0,0.647
1,11001110101000001101000000100000101100000111110100001000110000110000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,1,1,1.675
1,00000010010100001100111100010000101011100001110100000000000011011100010101110010,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,18.951
1,11001110001000011111000000110000101110000110010000001000111110110000111001100000,,5,2,0,18.153
