node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
1,00000110010100001000011100010000100011100001110100000100000011111000010101100001,10001110101000011111000101101000101110000111000100111000111010010000101001100100,8,0,0,14.169
1,01001010101000101111000000100000101111000010010100001000110100011000110001100000,01010100101111011111000100010000110101000010100100101101010011000110100000011001,8,1,0,9.315
1,00000010011100001100111000010000001011100001110100000100000010111100010101110010,01011100101111110101000101000000111101000010111110111000010011000111001000001001,6,0,0,3.131
1,00000110001000001100011000010000111011100011100100000100000011010100010101010011,01010101111101010001110100000000111001000111111110011100110010000011000000011001,8,1,0,0.603
1,10001110101000010111000000110000101111000111000100001000011000010000110001100000,01011100011110110011011100100000011101000010001110011011010011100010000000011000,8,1,0,2.299
1,11001110101000111010000000100000101100000111010100001000110100110000111101100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,1,1,1.458
1,10000110101000111110000000100001101111000111010100001000111000110000110001100000,00011000001011000011001100111101111101100110111101000000100010001111101000011010,5,1,0,8.794
1,11001000001000101111000001100000100111000111010100000000011000110000111001100000,00000100111111010101000111000100111011000110101110011000000011000011000000011011,8,1,0,2.879
1,00000110011101011100101100010000101011100001110100000100000001111100010101110001,,4,2,0,17.923
1,11001100001000011111000000000000101111000111010100011000011100110000111101100000,10101100111111100001000000000001110101100010101110111000011111001011001000011011,5,2,0,1.47
1,00001100101100111110000000100000100110000111010100001000011100110000111001100000,,7,1,0,23.771
1,11001110001000001011000000100000101111000011010100001000111100110000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,0.313
1,11000100101000111111000000000100101101000111010100001000111100110000110001100000,11001010111111111001100000000000111101001010101111111100011011000011001000011000,5,1,0,1.123
1,11001110101000011111000000100000001110000011010100000000111100110000110001000000,01011100111111100001000100000110011100001011101100111101000011011011000000001000,7,0,0,8.38
1,00000110001100001100111100010000101011100010100100001100000011111100000101100011,,5,1,0,20.859
1,01001110101000011111000000101100001111000111010100011001111100110000101011100000,,4,5,0,22.114
1,11001110001000010111000000100000101111000111110000001000111100110000010101100000,,6,2,0,15.222
1,00000110011100000100011101010000100011100011110000000100000010110100010101000011,11010000111111110001000101000000111100010010001110011101110011010001000000011001,8,1,0,1.842
1,10001010101000100111000000100000101111000111010100001000111100100000111000100000,01010100011110010101000100000100110101000010101110111101011011001101000000010001,6,0,0,0.117
1,00000110001100001100011100010000100001100001110100000100000011101100010101010111,,7,1,0,27.713
1,11001100001000001111000000100000101111000111000100000000111100000000111001100000,00001101111111000111000100001000111101010000001110111100101011000000000000011001,8,0,0,0.058
1,01001100101000111011000000100000001111000111010100001001111010010000111001100000,,6,2,0,25.244
1,00000110011000000100011000010000101011100001110100000100000010111000010101110010,00011100111011101001000100001000011101000010101110011000010010000101000000011001,8,0,0,0.211
1,11001010001000111011000000000000101110000111010100011000111100110000111001100000,00010100111111111001000001001100011101000010101110111101111011010011000000011001,5,1,0,2.393
1,00000110001100001100111100000000101011100001100100000100000011111000010101010000,01010100001111101101000101010100011001000010101110111100001011010011000000011000,8,0,0,1.002
1,11101111001000111101000000110000001111000111010100000000111000110000011001100000,01111101111011110001001100000000111100000010101010111100000011000011100000011001,6,3,0,0.253
1,01000111101000111111000000000000101111000110010000000000111000110000111001100000,01111000101111110001000000000001111101000001101010011101001011000011001000011101,7,1,0,12.82
1,01001110101000111011000000000000101111000111010100001000111000110000110001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,9.541
1,00000110001100001100011000110000100011100011110100000100000011111000010001110011,,6,1,0,22.672
1,00000110001000001100011100010000101011100001110100000100000011111100010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,0.025
1,11000100101000010111000000100000101111000011010100001000110100110000110001100000,01011000111110101001000100000101111101000010101100111100010011001011000000011001,7,0,0,7.383
1,00000100001100001100011000010000101011100001110100000000000011111100010101010001,,8,0,0,28.681
1,10001110101000111110000001100000101111000111010100001001111000110000111001100000,,3,2,0,19.073
1,11000110101000001110000000110000101111000111010100001000101000100000111001100000,,7,1,0,16.248
1,10001010001000111111000000100000101111000111010100001000111100110000111101100000,00010100011111111001010100000100111101000010111111111100010011000011000000001011,3,1,0,1.622
1,01001110001100000111000010100000101111000111110100001000111000110000111001100000,10011100101110110011001111000000111101000010101110111100010011010011000000011001,6,3,0,1.533
1,11001110101000111111000000000000101101000111010100001000011000110000111001000000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,9.038
1,11001010001000111111000010100000101111000101000100001000111000110000011001000000,00010011111111110011000101000000111101000010001010011100011010100111000000001001,7,1,0,6.237
1,11001110101000010110000000000000101111000010110100001000011100110000111001100010,,7,2,0,18.374
1,00000010001100000100011100010000101011100001110000000100000010111100010101110011,11011000111111110001100100000010011100001010101110011100010011010001000000001000,7,0,0,2.558
1,00001110001000001100011100010000101011000001100100100100000011111100000101110011,,7,2,0,20.126
1,11001110101000111001000000100000101011000111000100001000111100100000101001100000,01011100111001110001010110000000110101000010001110111100011011011001100010011001,6,0,0,3.013
1,11001110101000111010000000100000101111000111010100001000111100110000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,2,0,1,0.007
1,11001000101000001111000000100000101111000110010100001000101000110000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,0,1,18.276
1,11001010101000111111000000110000001110000111010100000001111000110000111001000000,,6,2,0,19.189
1,11001100101000011111000001100000101111000111010100001000110000110000100001100000,,6,1,0,16.195
1,01001110101100011110000000010000001110000111010100001000111100010000111001100000,01011100101111100011101010001000111100000010001110111100011011000010001000011001,7,2,0,4.725
1,00000010011100001100011100010000101011100001110100000100000001100000010100100011,11001000111110001001001100000000011001000010101110011100110011000011101000001001,9,0,0,22.398
1,11001110001000111111000000100000001110000111010100001000011100110000111100100000,00011100111111110011000100010001011100100010001110111000010011000011000000010011,5,1,0,0.021
1,01001110101000001110000000100000101110000111010000001000111100110000111000100000,10001000001011001011001000111101110101000010111000000000100010000011100100011010,7,0,0,2.899
1,11000010101000111111000000100000001111000111010100001000110100010000110001000000,00010010111111110101000100000000111101000010101110101100011011010010000000001000,7,0,0,2.404
1,01001110001000111111000000100000001110000111010110001000111100000000110000100000,00011100101111111101000100000000011100000111101110111110111111000000100000010000,8,1,0,0.572
1,01000110101000011110000000100000101110000111010100001000111100110000111001100000,01011000101111100001100100000000011101000010101110111101111011110011000000011001,5,0,0,1.228
1,11001110001000111111000001100000101111000111010100001000111000110000110001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,3,1,1,0.48
1,11001110101000001111000000100000001110000110110000001000111000110000111001110000,,7,2,0,24.987
1,11000110101000001111000000000000111110000111010100001000111100110000111000100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,1,1,13.482
1,00001110101000011111000000100000000111000011010100001000111100110000111001000000,01011100101111110001000100000001111100000010101100111100010011011111000000000001,7,0,0,0.629
1,00000110001100001100011100010000100011100001110100000100000001111000010101010011,,7,0,0,26.694
1,11001110101000011011000000100000101111000111110100001001111100110000111001000000,,3,2,0,19.822
1,11001110101000011111000000100000101110000111001100001000100000110000001001100000,,8,1,0,33.421
1,00000110011100011100011100010000101011000001010100000100000010110100000101110010,,8,1,0,24.373
1,00000110001100001100011100010000001011110001111100000100000011111100010101110011,01011000111111110101000100000000111111000011101111011100010011100011000110011000,4,2,0,9.899
1,00000110011100001100011000010000101011000001110000000100000011111100000101100000,,9,0,0,25.779
1,11001010101000011100000000100000111111000111111100001000111000110000111011100000,01011100111111100001000100000000111111010011111110011100011011010111000000011101,5,4,0,3.355
1,00000110001100001100011100000000101011100011110100000100000000110100010101110010,01011100111111110001000100000000111101000010101110111100010011000011000000011001,7,0,1,20.747
1,11001110001000011111000000100000101111000100010000000000101100110000110001100000,10011101111111100101000100000000111101111000100010010100000011000011100000011000,8,0,0,10.379
1,00000011011100001101011100010000101001000011110000000100000011110000010101110011,,7,2,0,21.814
1,11001110101000011011000000100000001111000101000100011000101000110000111001100010,01011111111101110001000100100000111100000010101010011100011011100011000100011101,7,2,0,3.76
1,10001110101000110111000000100000101110000111010100011000001100110000111001000000,01010100011110111101000101001000011101000010101110110000111011001011100000001001,6,1,0,5.539
1,01001110001000110010000000100000101111000111010100001000111000110000111001000000,,7,0,0,31.11
1,01001110101000111111000011110000101111000011011100001001111000110000110001100000,01011100101111111001001111000000111101100011101111010110010011000011100000011000,4,5,0,0.563
1,11001110001000111111000000100000111111000111111000001000010000110000111001100000,00011100111111110001001100001001111011100001111110001000011111000011100000011001,5,3,0,6.462
1,00001110001100000100011100010000001011100011110100000100000011110000010101100001,01011001011111001001000100010000111101100100101110011100000011000011000010111000,8,1,0,8.302
1,00000100011100001100011100010000100011100010010100000100000001111100000101110011,,7,0,0,29.267
1,00000110011100001100000100010000101011100001110100000100000011111000010001110011,00011100111111100101000100000100011100100011101110011100010011000011100000011001,6,0,0,0.041
1,00000110011110001100011110010000111011100001110100000100000001111100010001110011,,4,3,0,17.39
1,00000110011100001100100100010000101011100000010100000100000001110000010101110011,,8,0,0,26.238
1,11000000101000111100000010100000101110000111010100001000110100110000111001100000,,7,1,0,26.038
1,11000010100000011111000000100000101110000111010100001000111100100000110001100000,,7,0,0,18.059
1,00000110011100001100011100010000100011100001110100001100000011110000000001010011,00110100111111010001011000110000011101000010001110011100010011001011000000011001,8,1,0,17.107
1,00000110001100001100111100010000101111100011110100000100000001110100010101110010,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,1,1,15.439
1,11000010101000010111000001100000101111000111010100001000011000111000111001100000,01010000101110100001000110000001111101000011101111011000110011010111100010011001,6,2,0,2.815
1,01001110101000011101000000100000101101000111011000001000111000111000111101100000,,6,3,0,28.666
1,00000110001000001000111100010000101011100000110100000000000011110000010101110010,01011100101111000001001000000100001101001011111110111100010010110010000000011000,9,0,0,1.128
1,11001110101000100101000000000000001111000011010100001000111100111000011001100000,11011100111110010001000000000000111101100110101110111100011011000111000000011001,7,1,0,0.043
1,11001110001000001111000000100000101111000111010100001000110000111000111101100000,,5,2,0,21.067
1,01001110101000111111000000100000101110000011010110001000111000110000100001100000,,6,1,0,27.281
1,11001010101000101111000000100000101111000111000000001000111000100000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,0.437
1,00000110001100000100101110010000101001100001110100000100000010110100010101110011,01011100111011010001010100001011011101000010100110101110011011011001000001011000,7,1,0,1.35
1,00000110001100001000011110010000101011100011110100000110000011111100010001110011,,4,2,0,21.404
1,11001110001000101111000000100000101111000111000100001000010000110000111001110000,00010100111111111001000100001000111101000010001111001000111011000011000000111001,6,1,0,7.171
1,00000110011100001100011100000000101011100010110100000100000011111100010101010011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,0.67
1,00000110011100001000011000010000100001100011110100000100000011111000000101100010,,9,0,0,26.262
1,11100110001000011111000000000000101100000111010100001000110100110000111000100000,00010001111111100011010000000000101101100010101110111101010011000111000000010001,8,1,0,0.691
1,00001100101000111111000000100000101110000111010100001000110100110010011101100000,,6,2,0,20.992
1,00000110011100001100100100010000101011100001110100000100000010111000010101100010,01011000101111100001010000000000011101000111111111100100010011100011000000011001,7,0,0,22.629
1,11001110101000100111000000100000101111000111010100001000011100110000110001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,0,1,0.019
1,00000110001100001100011000010000101001000011110100000000000011111000010101110011,01111100111111100101000000000000111101000010100100011000010011010011100000011000,7,0,0,0.016
1,11001010101000111110000000100000101111000111011100001000111100010000110001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,1,1,0.033
1,00000110001100001000011100010000101011100001010100000100000011101100010100110011,01011100111110111001010100000000010101000010011110011100010011110010000000011000,7,0,0,0.801
1,11000010001000111110000001100001111111000111000100001000111000110000111001100000,,6,3,0,24.175
1,01001110100000110111000000100000100111000011010100001000111000100000111001100000,,7,0,0,29.546
1,11101110101010100111000000100000101011000110010100001000101100010000111001000000,,7,2,0,23.244
1,11001010001000011110000000101000101111000111010100001000111100010000111001100000,,5,1,0,28.593
1,00000110011100001100011100010000101010100001110100000000000011011000010001110011,01011100111111110001000000001000011101000010101010011000011111000011000000011001,7,0,0,1.358
