node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
1,11001110001000111111000000100000101110000110010100000000111100100000111001000000,00011100111111110001010100001000011101100010100110111100000011101011000000001101,6,0,0,0.686
1,11001110100000011111000000100000101010000111010100001000111110110000111001100000,01011100111111110111010100000000010101000010101110111100010011100011100000011001,4,1,0,0.193
1,00000110001000001100011100010000101001000011110000000000000011111000010101110011,01111100111111100101000000000000111101000010100100011000010011010011100000011000,8,0,0,0.279
1,00000110010000011101110100010010101001100010110100000100000011111100010101110011,,5,3,0,23.631
1,11001110101000011110000000100000101101000111010100000100111110110000011001000000,,6,2,0,17.589
1,00000010001100001001111000010000101010100001110100001100000011111000010101110011,,7,2,0,20.383
1,11001010101000111111000000100000101111000011101110001100101110110000111001100000,,4,5,0,21.175
1,00000110001100001100110100010000101011100011110100000100000001111000000101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,0,1,22.029
1,11001100101000011111000000000000101111000111000100001000011100110000010001100000,01001100011111110001010000000000111101010010001110111001010011100111000000011000,7,0,0,0.059
1,00000110011100001100111000110000100011100001110100000100000011111000010101110011,01011100111111110001000100000000111101000010101110111100010011000011000000011001,4,1,1,18.29
1,11001010100000011111000000000000101111000111010000001000111000110000010001100000,00000110001000011101011100010000001011101011110101000000001011111010100101110011,8,0,0,5.47
1,11001110101000011111000000000000101110000110010100001000111000110000110001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,0,1,6.242
1,11001110101000011111000000100000100010000110010100001000001100110000011000100000,01011100011111100001000100000000010001001010101110110010011010110011000000010101,9,0,0,7.952
1,11001110101001111101000000100000101111000111011110001000011100110000111001100000,,2,3,0,13.586
1,00000110010100001101111100011010101111100011110100001100000011111100010101110011,11001110111000111111000000110000101111100111100111011100111111110000101101110000,1,5,0,11.228
1,11001110100000111111000000100000101111000101010100101000101110110000111001100000,11001110101001111111000000100000101111000111010100101000101111110010101001100110,3,2,0,18.357
1,11001010101000111111000000100000101110000011010100001000011010010000111000100000,,7,1,0,23.824
1,00000110011100001101011100110000011001100001110100000100000011111100010101110110,,5,4,0,21.105
1,00000010011100001101111000110011101001100011110100000100000011111100010100110011,,4,4,0,16.2
1,00000010011100001101111100010000101011000001110100000100000000111000010100110011,10010000001011101011001000111100110101000010111010100000100010000111101100010011,7,1,0,2.079
1,11001110101000011011000010100000101110000001010100001000111100100000111001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,6,1,1,0.952
1,11001110100000110111000000100000101111000110010111001101111110110000111000100000,00101000011101001101111110110111101001100011110101010100000011101100100101110011,4,5,0,8.236
1,11001110100000001111000000100000000100000111010100011000011100110000111001100000,,8,1,0,28.081
1,11001110101000011101000000100000101111000111010100001000111010010000110001100000,01011100111111110001000100000000111101000010101110111100010011000011000000011001,5,1,1,7.514
1,11001110101000011010000000100000101111000101010100000000001100100000111001000000,01011100101101100001000100100001111101000110101010110000000111100101000000001001,9,0,0,18.217
1,00000010101000011011000000100000101110000110010100000000111100110000111001100000,01010100101111100001000100000001011101010010100110111101000111000111000000011001,9,0,0,25.994
1,01001110000000111011000000100000101111000100010100001000111100110000110001100000,,7,0,0,27.463
1,00000100001000001101011100110000101010100011110100000100000011111100010101110011,,5,2,0,25.347
1,11000110101000011111000000100000101101000011010100101100111110111000110001100000,,5,4,0,20.308
1,11001110100000010111000000100000101010000110010100001000111000110000101001100000,,8,0,0,26.573
1,00000010011100001000011100110000111111000011110100000000000011011100010101110011,10010000001001000011001100111001111111000011111100011000000011001110101100111010,6,3,0,11.347
1,11001010101000011111000000100000101111000111000100001000111000110000110001110000,01110100111111110001000100001000111101000010011110011100110011010011000010101000,5,1,0,16.816
1,11001010001000111101000000100000001110000111010100001000010100110000010001100000,10010100111011110001000101000000011100000010101010111000011010100111000100011000,9,0,0,12.737
1,00001110001000011111000000100000101111000101010000001100111100110000111001100000,,6,1,0,25.063
1,00000010011100001101001100010000101000100010010100000100000011111000010101110011,,8,1,0,25.159
1,11001110101000101011000000100000101111000111011100001000111010110000111000100000,,4,2,0,17.101
1,11000110001000110110000000100000001110000111000100001000111110110000111001100000,,7,1,0,31.148
1,01001110101000011100000000100000101110000111010100000000110000110000111001100000,,8,0,0,26.245
1,11001110100000111111000000100000101011000110110100001001111110110000110001100000,,4,3,0,19.691
1,11001110101000101111000000000000001110000111010100001000011110000000111001100000,,7,1,0,23.022
1,01001110101000011111000000000000001110000111010100001100110100010000101001100000,,8,1,0,22.814
1,11001110101000011111000000100000101110000111000100001000011100110000011001000000,00011100111111100001010100000000011101000010001110111000110110000111100000001101,6,0,0,3.957
1,11001110101000011111000001100000101101000111000100001100111110110000111001100000,,3,3,0,17.477
1,01000010101000111110000000100000101110000110010100001000111000110000100001100000,,9,0,0,26.497
1,00000010000100001000110100010000101000100011110100000100000011111000000101110011,,9,0,0,19.069
