node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00010001101000001100000010001100001000011100000100001011100011011010011111001100,11110111101101101011001011100011000001000000100001000000001110101111000011000110,6,0,0,8.774
2,00100001101000000100000010001100001000011000000100001011100011111010011111001100,11110111001111101001001011101011000001011000100011010110001110000001000010000110,7,0,0,5.762
2,00110001101000000111000010001100001000001000000110001011100011011010001111001101,00110001101100100111010010001100011000001100000010001011100011111010001111001111,7,2,0,7.17
2,00110001101000000100000010001100001000011100000110001011100011011010001110001100,11110111011111101001001011100011000001100000100001000010001110000011000011100110,7,0,1,27.609
2,00100001101000000100000010001100001100011100000110000011100011111000011011001001,10110010011111100001000011100011000001100110110101010110011110000001100010001110,8,1,0,16.161
2,00111000101000000100000010001100001000011100000110001010100011011110011110001101,11100011011101111001101010101011000001100000100001000011101110000101001011010010,6,1,0,19.292
2,00111001101000000110000011001000001000011100000010001011100011111000011011011000,00111011101000001111000011001000001000011100000011001011110011111100001111011000,7,2,0,16.348
2,00110001101000000100000010001000001000011100000100001011100011110010010111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,7,0,1,3.471
2,00110001101000000100000000001100000000001100000110001011100011110010011110001001,11101010011111001111001011101011000001100000010000100010001110000001001011000110,9,0,0,1.67
2,00111001101000000100000010001000001000011100100110001010100011111010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,4,1,1,10.889
2,00100001101000000100000010001100001000011110000010001010100011011000011111001101,11100011011101110011001010100011100001100000100001110110001110001001000010000110,8,1,0,1.323
2,00111001101000000110000110001100001000001100000110001011100011001000011111001100,11110011001101100001001011101011000001100000100000000110001111111001100001101110,7,2,0,2.596
2,00110001101000000001000000001100001000011100000110001011100011011010011110101101,,7,2,0,29.569
2,00110001101000000100000000001100001000001000000110000011100011111010001111001101,,8,0,0,30.32
2,00110001001000000100000010001100001000000100000000001001100011111010011111001101,11110010011111101001001001100001000010000100100000000010001110001101000011100100,9,0,0,1.292
2,00111001101000000100000010001100001000001100000000001111100011111000011011001100,10110011101111100001001111100011000000000001101100000010001010101001000111100110,8,1,0,11.53
