node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,00110001101000000111000010001100001000011100000100001011100011011010010101111101,,6,3,0,19.109
2,00110001101000000110000010000100001000011100000110001011100111011000011111001100,11110011001101100001011011110111000001100001101000000010000110101001100011000110,7,2,0,6.131
2,00110001101000000101000010000100001000001100000110001111000011111010011111011001,,6,2,0,30.625
2,00100001001100000100000010001000001000011100000110001010100011011010011011011101,11110111011101101001011010111011000001100000100001000010101011100001000010000110,8,1,0,2.522
2,00110011110001011011000111010001100000111000010000110000000000000000010010001100,11110011001101101001001011100011000001100000100011000100101110000000100010000100,9,0,0,1.52
2,00010001101000000110000010001100000000011000000110001011100011011110011111001101,11110011011111111001001011100011000000100101000001000011001110001001100001000111,7,2,0,2.827
2,00111001101000000100000010001000001000011100000100001011100001011000011011001101,,8,0,0,29.109
2,00110001101000000100000010001100001000011100000110001011100011011110011101001001,,6,1,0,30.16
2,00100001001000000100000010001000001000011100000110001011100011111010011101001100,11010011001111111001001011101011010001100000100001000000101110000101000011000100,8,0,0,17.419
2,01100001101000000100000110001100001000011100000100001011100001111110011111001101,,6,3,0,32.33
2,00110001101000000100000000001000001000011000000110001011100011011010011110001100,11100011001111111001001001100010000001100000110011000000001010100101100011000110,9,0,0,22.224
2,00010001101000000100000010001000001000011100000110001011100011011010011101001101,11010111011101101001101011110011000011100000100011000010101010000001100001000110,7,0,0,11.797
2,00011001101000000101000010000100001000011100000110001011100011010010011111001100,11110111011111101001001011100011000001100000100001000010001110000011000011100110,7,1,1,16.256
2,00110001101010000100000010000000001000010100000110001011100011111000011111001100,11110010001111100001001011100011000001111000100001000010100010100001000011000110,8,1,0,11.926
2,00110001101000000111000010001100001000001000000010001011100011111000011111001101,,7,2,0,26.197
2,00100001101000000100000000001000001000011100000110001011100011111010011011001001,,8,0,0,29.488
2,00110001101000000100000010001100000000011100000100001011100010111110011110001101,11100011011011111001000011110011000001100100000011000010001110000101100011000110,7,1,0,0.032
2,00110001101000000000000010001000001000010100000110001011100011011010011101001101,11000011011101101001001011111001001001100001100011000010001010000100000011001110,8,0,0,4.1
2,00110001001000000100000010001100001000011100000110001111100001111010001111001101,,6,1,0,29.757
2,00010001001000000100000010000000001000011100000110001111100011111010011011001101,10110011011111111011011111100011000000100000110001000010000110010101000001000100,8,1,0,0.177
2,10110011110000011011000101010001100000101000010000110000000001100000010110011100,,8,1,0,31.439
2,00110001001000000100000010001000001000011100000110001011100011111110011111001101,,5,1,0,26.883
2,00010001001000000100000010001000001000011100000100001011100011011010011011001101,10110011011101101001101011101011000011000000100001101010001010101101000001000100,9,0,0,0.27
2,00110001100000000110000010001100001000011100001110011111100011111110011111011101,,3,5,0,22.161
2,00100011101001011011000110010001100000111000010000110001000000100000010110001000,11110001001111101001101001100011000001110010100001001010001110000101100001000110,9,0,0,5.823
2,00000001101000000100000010001000001000011100000110001011100001001010011111001101,01111000101010000001010001000010000100100110000011011111010110010100101011001111,9,0,0,17.721
2,00010001001000000100000010001100001000011100000110001011100011011010001111001001,00010101001001100101000010001100001010011100000110001011100011111110001111000001,8,0,0,18.029
2,00110001101000000000000010001000000000011100000110001011100011011110011111001101,,7,1,0,31.104
2,00110001100000000000000010001000001000011100000110001010100011111010011101001001,11010000011111101101001110100011000001100000100011000010011010000000100111000110,9,0,0,26.413
2,00110001101000000010000010001100001000011000000100001011100011111010011011001100,10110011001111111001001011100010010001000100100001000010001110100100101011000101,8,1,0,8.937
2,00110001001000000100000010000100001000011100000110001011100001011010011111001001,11110111011111101001001011100011000001100000100001000010001110000011000011100110,8,0,1,6.681
2,00010001101000000100000010001100011000011100000110001011100011011000011011001101,10110011011111100001011110100011000001100001100011000010001111010001000101000110,7,1,0,0.114
2,00110001100000000000000000001101001000011100000110001011100011011010011111010100,,8,1,0,27.892
2,00010001001000000100000010001100001000011100000110001011100011011010011100001101,11000011111101101001111011100011100001100000101011000010001110000001000000100100,8,0,0,15.351
2,00111000001000000100000010001100001000001110000100001011100011011010011111001001,11010010011111101001011011100011100011010100100000010011001110000001000011100000,8,1,0,16.696
2,00110001001000000100000010001000001000010100000110001011100011110000011111000101,11110001001111000001001111100001000011100000100001001010001011000001100011000100,9,0,0,0.425
2,00111001100000000100000010000000001000011100000110001001100011110110011110001101,,8,1,0,31.854
2,00110001101000000100000010000101000000011100000000001011100011111000011111001101,11110011011111100011001011100011000000000100000011000010100110001101000011000100,8,1,0,0.249
2,00110001101000000100000010001100001000011000000010001111100011111010011111001101,11110111011111101001001011100011000001100000100001000010001110000011000011100110,5,1,1,0.477
2,00100001101000000100000010001001001000011100000110001000100011111010011111001101,,7,1,0,31.909
2,00100001101000000000000010001110001000011100000110001001100011010010011111001101,11111011011101111001001001100111000001101000100001001000001110010000000011000110,8,1,0,27.835
2,00011001100000000100000010001100001000011000000110001011100011011010011011001100,,8,0,0,34.441
