node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
3,01001000001100100001000000000100001010010000010000000000000001101000011100000000,00000101101000110011110000000010010110000000100000000000000011001101100000000011,4,2,0,0.147
3,00000000111000000110000000001000000000001001010000000110000010000000010000010000,00000100011000000001100110001011010100101000000000000000001010011001100000000011,7,2,0,0.984
3,01001000000010000001000001000000001110000000000010000000000001011000011100000000,00000100101000110101000010000000011100001100000000000000000010001111100000000011,5,1,0,2.163
3,00000000010000001100000000000001000000001001010000000010000010000101010000010010,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,2.412
3,00000001111000011100000000000001001000000000000000000110000010100101010000010010,01000100101011010101000111000000000000000110100000100000100010001111100000000111,4,3,0,25.9
3,00000000001000000001000001000000000000010000010010000000000000111000011100000000,10000001001000000101000010000010000000000100100000000000001010001111000000011011,7,0,0,3.658
3,01101000000010000001000001000000001010010000000000000000000000110000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,6,1,1,7.295
3,01001000000010000001000001000000001010010000010010000000000000110000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,4,0,1,0.019
3,01001000000010000001000000000000001010110000000011000000000001011000010100000000,,6,2,0,41.746
3,00000000110000011110000000000001000000000001010000010010000000000101010000001000,00000010001010100001010001001000001010000001000010000000000011111100001100000000,6,2,0,27.024
3,00001000001010000000000000000000001010010000000010000000000001111000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,20.81
3,01001000001010000001000000000000000010010000010000000100000001110000011100000000,00000100101001000111001000000010010000010000100010000000100010100111100000001011,5,1,0,3.161
3,00000000000010100000000000000000001010010000010000000000000001111000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,6,0,1,3.855
3,01001000000110000001000001000000000010010000000000000000000001111000010100000000,01010000101001100111000010000010010000000000000000000100000010000111100000000011,6,1,0,42.909
3,01001000001000100001000001000000000010010000000010000000000001101000010100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,0,1,1.665
3,01001000001000100000000000000000001000010000000010000000000001010000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,7,0,1,10.04
3,01000000001010000000000001000000001010000000010010000000000001111000001000000000,,6,0,0,56.324
