node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
3,01001000001010000001000001000000001010010000010110000000000001000000001100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,5,1,1,1.388
3,01001000000011000000000000000000000010000000000110000000000001111000011100000000,,7,2,0,47.123
3,01001000001010000001001001000000001010010000011111001100000001111000001100000000,00000100101001000101000010010010010100011111100101000000110011000111100100000011,2,6,0,19.459
3,01101000000011100000000001000000000010000000010011000000000001111000011100000000,,4,3,0,25.743
3,01001000001010000001000001000000001001110000000010000000000001111000001100000000,01001000001010000011100001000010001001110010000010001000000011111000101101000000,4,2,0,6.445
3,00000000111000010100100000000001011000001001110000000010000000000001000000010000,,6,3,0,38.947
3,00001000000010100001000011000000001110010000010000000000000001101000011100000000,00011100011000010101000111000010011000000000100000000000000010000101100000000011,4,2,0,34.335
3,01001000001010000000000001000000000000010000000010000000000001111000001101100000,,6,2,0,40.975
3,01000000001010000001000000000000001000010000010000000000000101110000011101000000,00000000101000100111000000000010000000000000100000100000000010100111101000011011,6,2,0,8.355
3,00001000001010000000000001000000000000010000010000000000000001101000110100000000,11000000001110100011000000000010000100000001000001010001000011110000000010100000,8,1,0,16.099
3,01101000001011000000000001000000001110010000000010000000000001101000011000000000,10000000001110100001110000010011000000100000111001000001000010110010000111100000,5,3,0,5.541
3,00000000001010000001001001100000000110010000010010000000000011110000011100000000,,5,4,0,51.499
3,01100000001011100001000001000000001010010000011010000000000001110000011100000000,00000100101000011111010010000011010100000101100000000100001010000111100000000011,2,3,0,0.383
3,01001000001010000000000001000000001000010000000000000000000001111000001101000000,,6,1,0,50.328
3,00001000001000000001000001000000001010000000011010000000000001111000011101000000,00000100001000000101000010000010010100010111100100000000000010000111100000001011,4,2,0,11.714
3,00000000001010000001001111000000001100010000011010000000000001111000011100000000,00000000001000010101000011110110001100000101110110000000000011000111100010000011,4,5,0,19.879
3,01001000001010000001000001000000001000010000000010000000001001111000011100000000,01000100101100000101000010001010000100000100000000010010000010001111101001000011,3,1,0,19.848
3,01001000001010100001000101000000001010010000010011000000000001100000001101000000,01101000001010101001010101100000001000010000010011000001000011100000001101000010,3,3,0,6.85
3,01001000001111100001000000000000001110010000001110000000000001111000011000000000,00000100101000011111000101000100011100000111000001000000000010100111100010000001,3,5,0,13.414
