node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
3,01000000001010100001000011000000001110000000001010000000000001111000010101000000,10000000101110110101000111000000011100000101000010000001010010000111100000001010,4,4,0,44.73
3,11000000001000000001000000000000001110010000011010000000000001111000111100000000,00000000111000000001000000001110011100010101100010010000000011000111100010001111,4,4,0,1.106
3,01000000001000110001000001000000001010000000010010000000000000111000011100000000,00000000101000110001000010001010010101100100100001000000000010100111100000000001,4,1,0,17.284
3,01000000001010100001000010000000001010010000010000000000000011111000001001000000,01000100001011100101000010000000001010110000010010100000000011111000101001000001,5,3,0,15.849
3,01000000000011000001001111000000000010010000010010000000000001011000011100000000,,5,4,0,38.526
3,01000000001010000001001000000000001010010000000010000000000001111000011100000000,00001000101100110101000000010110010100010100000000000000000010000111101000000011,4,1,0,16.88
3,01000000000010000001000001000000001010010000010000000000000000101000010100000001,10000000101000010101000000000010001000001101011010000010010011100001000000000010,7,1,0,20.08
3,01100000001000110001000011000000001010010000010010000000000001111000011100000000,,2,3,0,23.901
3,00000000000010000001000001000000001110010000010011000000000001111000011100000000,00100011001000000101000010000011011100101101100000000000000010000111100000000011,4,2,0,37.006
3,01000000001011000000001001000000001010010000010010000000000001111000011101000000,00000110101000101101000010010010010100000100100000010000001010100111100000000011,3,3,0,0.919
3,01000000001010000001000001000000001000010000000010000000000001111000011100000000,00000100101000010101000010000010010100000100100000000000000010000111100000000011,4,0,1,0.03
3,01000000001010000001000000000000001010010000010000000000000001001000011100000000,00000010101011000101000010000010010100000000101100010000000010001100100000000011,6,0,0,0.088
3,01000000001011000000000000000000001000010000010010000000000001101000011100000000,11000000001110100001000010000000000100100000100011000000000011111000001100001000,6,1,0,21.995
3,01000000000110100001001011000000001110010000010010000000000001110000011100000000,,3,4,0,30.749
3,01000000001010100001000011000000001010010000010010000000000000101000011110000000,00000000101001010101000011001010010100000110000000000000001010000111100000001111,3,2,0,4.156
3,01000000001010000001100111000000000010010000010011000000000001101000011100000000,00000000111001001101010011100110010000001100100000110000000010000111100000000011,4,4,0,1.101
3,01000000001000000000000011000000001010010000000010000000000000111000011100000000,00100000101000000001000011000011110100100100000000000000000010101111001000000011,6,1,0,10.853
