node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,00011000001000010110011010010100010110100100100110101010111010101100100100010001,,8,1,0,11.679
0,10001000001110110101011000010100100100100101101010101001011001100000010000011000,,9,0,0,27.432
1,10011000001001000100111110111010001111101111010111001101110011100001110010010000,,6,3,0,5.091
1,00000000001110110000001110100011101011000111110000111101111101100000011000011000,,9,0,0,15.912
1,10011000011001000110111110111100001011101111000111000101010011100101100000010000,,7,1,0,10.74
1,00000000001110010111001110100010101111000111110100111101111101100100011000011001,,6,2,0,6.025
1,00000001001100110111001010100010101011000111110000111101111000100010001000011001,,9,0,0,13.272
2,00100000100100010110101010110011101010000011000011100111010010010110110000000110,,6,3,0,11.046
2,01100000001001011001001011000111000011000001100111001101000000101000110100000100,,8,1,0,13.153
2,01100000001001001001001000000110000001001001100111001101010001101000110100000100,,9,0,0,15.503
2,00100000001001001000001011000111000011000001100111001101010001101000110100000100,10000001101001011001100011010000110000111110011001101010110011011101100010000010,8,0,1,0.281
3,01111010001011010011100000001100001001111101100001000110101101110000011100100010,,7,1,0,6.59
3,01000100111000001110110101101010000010101110111000110000000111001011010011001110,,6,1,0,7.647
4,10001000001001001111001000111001111010100011001101110101001000010010000010100000,00000100011111001001011101010101010111101111101100011010101110010111000000010100,6,2,0,0.013
5,00000001011110001100000011001001100001000110110011000000010111101000000100001000,01000010001110110011000000010101111100100110100100000011001011110011000000000101,6,1,1,0.825
5,00010000100000110110001000000000000111100010010110000011000000110001110010000000,,9,0,0,23.328
5,00010000100000010111001000000001001111100010010110000011000000010001111010000000,01000010001110110011000000010101111100100110100100000011001011110011000000000101,7,0,1,0.393
