"Cluster ID","Binary String","ID","Match Score","Exact String","False Negatives","False Positives","Row Shifts","Column Shifts","Fit Quality","X Position","Y Position","Theta","Group Number"
0,"b00000000000000000000100000000011111100000001000000000000000000000010000000000000",2,2370.624124721976,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",29,2,0,-1,0.738431151028774,309.7326167196883,242.39484463994046,3.752719831591849,0
1,"b01101000000100001000000100000000011000000011011101000101110000010100100000000000",4,1807.3954415584228,"b00000101001001011000011010101110111011000101010110010100010011110111010000010001",23,8,0,0,0.8091124272576006,395.4223317797337,498.48261663277583,5.50682139931709,0
2,"b00000000000000000011000000000100001000000011000000001110000000010000100000000001",5,2841.1630039180236,"b0000000101111100110000001100100110100100011111001000000001011110110011010000100",25,5,0,1,0.719361787370921,259.1719942792576,411.8966580721601,1.9322552487759648,0
3,"b00001000100000110101000011010001100110100111111010101011111001101100010010011000",0,2571.1386441616078,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",13,9,0,0,0.7841725502578873,487.195304857244,87.10130384481934,4.692093597130698,0
4,"b00000000000000000000000000000001100010010101101000000000000000000000000000000000",5,2434.5741182813445,"b0000000101111100110000001100100110100100011111001000000001011110110011010000100",27,3,-1,0,0.703711990645142,166.20297640955428,423.38530020913487,4.659754454193733,0
5,"b10001000100110010101011001000000100110101101101010001000001001000001010000010000",0,5176.5985106648395,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",14,1,0,0,0.7320762512315724,130.24158186082647,238.66277031513516,4.423207044775642,0
6,"b00000000000000000000110011000011101100000111100000011111000000100001000000000000",5,5143.95008974174,"b0000000101111100110000001100100110100100011111001000000001011110110011010000100",22,10,0,-1,0.7281900848167683,111.49644825922563,102.48057308373035,1.3114258082892563,0
7,"b00000000000000000000000000000000000101100001110010000000000001100100100000001000",5,7801.688669209374,"b0000000101111100110000001100100110100100011111001000000001011110110011010000100",25,5,0,1,0.6830034475547303,180.56374365534842,157.9010121489177,3.0682746707028787,0
8,"b00001000000010000011010000001000001111100000010100010010000000010001101010000000",5,4173.140201259332,"b0000000101111100110000001100100110100100011111001000000001011110110011010000100",16,4,0,0,0.7843259872272674,93.15011192300118,77.84850217307283,6.1032236485284415,0
9,"b00000100000000000000100000000000000000100100000000110000000001000000000100000100",3,784.440354283239,"b01000100111001101100110101101010000110111110111000110000000111001111010011011110",34,1,0,0,0.8967162246861735,111.2881510694262,262.8367911504468,5.771666689033722,0
10,"b01100000001001011000001011000100001011000001101000001110000001000000000100000000",2,4083.808991622871,"b00100000101101110110101010110011100110010011000011100011010010010110011000000110",19,4,0,0,0.7492516509087093,104.87415269983418,262.86493154580614,3.314705933839294,0
11,"b00011100000000010010011010000101011111100110100100110000011011101101110000010000",0,5184.5737130285615,"b00011000001011010110011010010101010110110110100101101010111010101101110100010001",12,5,0,0,0.7909250029863324,358.437817813068,100.18071490063934,0.42950286212687716,1
