node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,10110011110000011011000111010000000000101000010000010001000000100000110011000000,,13,2,0,32.527
2,11010111110001110011001111010010100100011000010000110001000101000000010111110100,,10,10,0,21.335
2,10000010111001001011000001010011100000110000010000110001000010100000010100000000,,14,2,0,32.951
2,00000000000000000011000110000100001001101100001000011011100111011011010111001000,00010011101011011011100111011011110100110111010000100001100111000001000000000000,17,9,0,1.556
2,00100001101000000100000010001100001000011100000110001001100011011010011111001100,,7,0,0,29.436
2,00011001101000000100000010001000001000011000000100001011101011111100011111001101,11110011111111110001001011101010011001000000100001000110011011000111000001100110,7,2,0,4.02
2,00110111101000000100000110001100011000111000000110011011100001001110011110001001,,9,7,0,25.111
2,01010011101000000100000010001000001000011100000100000010100010011000011111001011,11110010111101100001100010100011000001100000100000000011001010000111000101101110,12,3,0,1.74
2,10010011110001110011000111000001100000011000010000110001000000100000010110001000,,10,1,0,23.872
2,00111001101000000111000010001000001000011100000110001011100011011010001111001101,,5,2,0,14.517
2,00100000001010000101000000000100001000011100000100001011100001011010011111001101,,11,2,0,32.194
2,10010011000000010011000111010001100000111000010000110001000001100000010110011000,,10,1,0,32.216
2,00111001001000000100000010001100001000011100000110001001100011111110011111101101,11111011111111111101101001100011001001100000100001000010001110001001000011101100,4,2,0,15.908
2,10110011111001010011000011010000100000111000010000010000000011100000010110001100,,9,2,0,22.816
2,00010001100000000100000010001100001000011100000000001000100011111010011110001101,10111001111001111111000100011000000000111100010001110011001010100000000110001000,10,0,0,19.884
2,00110001101000000100000010001000000000001100000110000010100011010010010011001001,,13,0,0,35.476
2,00010001101000000100000010000100001000000100000100000010100010011000011111001101,11110011011001100011010010100001000001000011100001000010000110010101000001000110,13,0,0,1.111
2,10010000110001011011001100000001100100011000010000100001000000000010010110111000,00011101101011000001001010000100001000011001110110000000110011011010001100001001,14,4,0,6.931
2,01110011000000001100100010001100001000000000000010110010100000001010011111001100,,15,5,0,28.758
2,10100011001001001110000110010100100000110100011000011000100011010000000011001110,,15,9,0,19.327
2,00110101101000000100000000001100001000011100000110001111100011011000011101001101,11010011011101110001111111100001000011100000100011000000001110000011000011010111,7,2,0,2.381
2,00110001101000000100000010001000001000011100000110000001100010011010010111001001,01110010111001101001000001101011010101100000100001000010001110010001000010000110,10,0,0,7.973
2,00110001110001001000000111010001100000001000010000000001010001000010000110011000,,16,3,0,33.895
2,00100001101000000000000000001100001000011100000110001011100011111110011101001100,11011011001111111001001011100011000001100000100011010000001110101000100110000110,8,1,0,0.717
2,00110001001000000100000010001000001000011010000100001111100011111000011111001000,11110010101111100001001111100010100001100100100101011011001010000001000011000100,10,2,0,7.467
2,00111001101000000100000000001100001000011100000100001010000011000110010110001100,01000011001100011111001010000011010001100000100011010010001110000001000011100110,12,1,0,22.221
2,10010010001001001001000111010000100000111000010000110001000001100000010110011000,00010010011001011001011011100001000001000000110001100010001110011001100001100111,11,1,0,26.496
2,00110001111000010011000111010011000000110000010000001001000001100000010000101000,11100011001100101101001011100011010000110101100000000010010010000001100000010000,15,4,0,0.551
2,00010000001000000100000011001000001000011100000110001011100011011010010111001100,01110011101111101001001011100011001000100000100001010011001010100011000001000000,10,1,0,8.745
2,00110001001000000101000010000100001000011100000110001011100011011010011111101100,,7,2,0,29.563
2,00110000001000000000000010001000001000011100000100001011100010001110001010001001,10100010111100111001001011101111000001001000100001000010001010000010000011000100,15,1,0,0.253
2,00000000001000000100000010001000001000001100000100001111100011111010011111001100,10110011001111111001001111110011000001010000100000000010001010001001000100000000,11,1,0,5.663
2,00011001101000000000000000000100001000001000000110000011100011011110011100001100,,13,1,0,30.908
2,10010001111001001011000111000101100000111000010000110001000000100000010110001100,11100010011101011111100011100011001001100000100101000010101110000001000011100110,8,1,0,26.798
2,00100001001000000010000010001100011000011100000110001001100011111010010101001001,,10,2,0,26.18
2,01000001000000000000000100001000010000001000000100010011000000110100011110001001,,22,5,0,40.059
2,00110001111000010010000110010000100000011000010000010001000000100000010110001000,01000010101010000001010001010010001100100010000001000110010111000100100011000111,14,0,0,39.464
2,00110101001000000100000010001100001000010100000000001011100001010110011111001101,,10,2,0,25.069
2,00100101001000000000000010000000001000011100000110001011100001011000011001001101,00101001001101000001000001000010000100000110000011001101010011000110101111001011,13,1,0,25.845
2,00110001101000001100000000001100000000010100000100011011100001011110011111001101,01100111001011000001110010001011000000000010000010000111011010011111101011101111,8,2,0,4.97
2,00110001101000000100000010000100001000011000000010001011100010011010010111001101,,9,0,0,34.97
2,10010010111001011010000011010001101000111000110000010001000001100010000111001100,01110010001110001001010011001011011100000110100011000011010010010110101001001011,10,5,0,19.691
2,10010011110001101011010000010000000000111000010000001001000011100000100001101000,,18,8,0,30.003
2,10110001111001001010000111000000100000111000010000110001000010100000010110001000,00100110001110010001110001100010000100000010100011010111000010010010101011010111,10,1,0,2.007
2,00111001100000000000000010001100000000011100000110001011100011010010011110001000,,10,0,0,41.343
2,00011000000000000100010010000011001000011110000110011111100001011110010111001100,00110011101101111111000111111001100011111100000011000001001010100001000000011000,12,7,0,16.521
2,01111101101000000110000110001000011000010100000110001010100011001110011111001100,01110011001100111001011010101001000001110011100001010110001010000111100111110110,8,6,0,3.555
2,00111001101000000011000010000100001000011100100100001001100011110110010110000001,,11,4,0,27.595
2,11110001001010000100011011001100100000000010000000010010011000000000100110011000,,22,11,0,36.427
2,00010001101000000111000010001100001000010100000100000011100011010010011101001100,,11,2,0,22.782
2,00101101001000000100000011000100001000000100000010001011100010010010011111001001,11111010011001011001001011100001000100100000100000000011001110100001001110010100,12,2,0,14.495
2,10000001111001011111000111010000100000111000010000100001000001100000010110100000,11100000011111101001001111100011000011100000100011000010001110000001100001000110,10,2,0,6.277
2,00110001001000000100000100001000001000011100000100001011100011011110011010001000,10100011011101111001001011101011000000101000100001000100001011000001000011000100,12,2,0,4.388
2,01000000100000100110000110000000000000101100011000001011100111011011011110000000,11100000001101101101011011100111100110000010000010000110010010111001101100000010,18,9,0,15.49
2,00110001101100000100000010000100001000011100000010001011100011011110011101001100,,8,2,0,35.416
2,00111001001000000000000010000100001010010000000100001011100011110110011111001101,11110011011111011001001010100001100001000110101001011010000110000100000011100100,9,2,0,26.927
2,00110011111001001100000111000100110000010100011000010000000111010000001011000010,,17,10,0,34.956
2,00010010111001011010000100010000100000011000010000110001000000100000010010001000,00100010001011000111110001000011000100000010000101000100010010110111100001001011,14,0,0,1.051
2,10010011100001111001000100010001000100111100010000000000000001100000010010110000,,16,5,0,39.191
2,00011000101000000010000010000100001000001100000110001011100011010110011111001000,,11,2,0,38.385
2,00110101101000000100000000001100001000001100000110001011100011011100001111001101,,8,2,0,34.212
2,00000100000001010001000111100011010101100101010010011100011000000000000100101000,,24,14,0,28.737
2,00011001101000000111000010001100001000011000000110001011100011101110011110001001,,7,3,0,26.821
2,00010001100000000110000010001000001000011100000110001010000011001110010111001101,10110011001101110011000001011011100000111000010010010001010011100001000110001000,11,2,0,20.775
