node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
0,11000000001000000010111011001000100000001010000000100000011000000000000100010000,,21,7,0,41.454
0,10010000000000100000000011100000011111100000000000000000001101110000000100000000,,24,10,0,42.468
0,01000001000111000001001110000001110000011100100000110000100101000101010000000001,,14,7,0,31.501
0,01001001000111100001000111100001110000001110001000100000100101000011010000010000,,13,8,0,19.287
0,11010000101110000010011001000001110100010001000000011111011100000001100011001000,,18,16,0,25.404
0,00011011000101000010000011001000000000011100000001001000000011011110001101000000,,18,10,0,31.56
0,01000101000010010100000000100001100000000111000000110000110001000010000100000000,,22,9,0,40.871
0,01101001000011100000000001100110100000000100011000110000100000000110010000010100,,19,10,0,34.665
0,10101000001011100011000100001110010001110000001110100100011000100101000111100010,,11,11,0,20.669
0,00000000000000001000010000000001000001001100000000110000000011000000000100000000,,23,2,0,35.981
0,00001010000101001010001001000001010000101010111000100000010101000111010100010000,,9,3,0,29.542
0,10001000101011100010100011000000010101110100001110000010111001000010010000000000,,8,3,0,29.295
0,10011000001001000011001100001100000101110000000100100000000000100101100010000010,10011000001001000111001100001100000111111000000110000000001010100101100011000010,17,8,0,23.209
0,01100000100101000000011000001001110100000011000001111100000100011000100100011000,,19,13,0,22.844
0,00010010001001000000001101000001110000100110000000100000000111000101010100010001,01001000011100110101100010000101100100100111000010001101000010010100100001001000,10,1,0,12.153
0,00100000000000000110001010111000100101000000001110100000001100001000100011000000,,22,11,0,31.139
0,01000000000110100000001100100001101000001110111101110000000001000011010000010000,,16,9,0,26.838
0,11110000101000000011000100000101000110010000101000100000000000100100100001000000,11110000101000100011001100000101010110010000101010110001000010100101100001000000,20,9,0,2.807
0,00001000000000010000000001000000000000000000101100000000110000000000010010000000,,26,4,0,43.288
0,01101001000101000000010000001001100100000001000001111000000100011001000101011100,,20,13,0,29.976
0,00000000000011001000000100100001000000111100000100100000010101000100010000000001,,21,7,0,37.435
0,00001000001010000011100000000000000101010000001000000000011001000010010001001000,00011100001110000101000000000110101001000001000000011000000110110100100001001000,15,0,0,0.558
0,10111100001001000011000101000001010111110001001010100110110000100100100011010000,00011111011101001011010011101011111010100101001000101101100111001001000000101100,13,13,0,8.516
0,00001000001001000000000100001100110000110100011110000101111000000111100010010010,,14,9,0,26.354
0,00001110000101100011011000000001110000101111111011110000100011000011010100010001,10001000101011000111000101111101011111110100001110010100011011001110100001110000,5,7,0,8.308
0,00010010001101000010011000000001110000101110101000100000100111000110010100010000,01000100011100011101110000100111101010000111000010011001000011010000100001101000,5,0,1,0.467
0,01000000000100100101001101100000011000001110111100110000100101100011000000010000,,15,10,0,22.588
0,00000100000001000010010001000001010000101010101000100000100101000001010100010001,,12,1,0,30.001
0,00001000100000000000110001000011000100000100000001000100110001101111000110000100,,21,11,0,30.403
0,01000000000110110000000110100000111000001111000000010001010001000001010100001010,,21,13,0,24.31
0,00000001000101100000011001000001010000101110100010110000000011000011010100010000,,11,3,0,28.474
0,01000010000100110000111101000010011000001001000110000010011000010110001000000010,,22,15,0,32.073
0,00000000100000000010000000000000000000001100000010110101110001111101000110100100,,22,11,0,27.342
0,00000011011101101010001111000101111000010110011000010000010101100001100000000000,,15,13,0,21.986
0,00000000011001100001100000100000000000000000000110000001111001111001100100001000,,20,9,0,30.924
0,10001000001011100010100100000100000100010100010110000010101001000010100000000000,,12,2,0,32.689
0,10000000101110010010001100010100111000000011000001010000010001000001000000001100,,22,13,0,32.73
0,00001010001100000000011001001011110000001101100010000000000010000000001000111010,10001110001011010001000000001011011000111111000000011001001011010000000000101000,17,8,0,6.176
0,10101000001010100011100100000100000001111000001000000110110000100001100000000010,00010101011101010101100000100111110000000001000001011110100011100001100100000000,15,7,0,6.859
0,10001000101011000001100001000000010101010100001010000010011001000000010001000000,01000101011100001101000010000111101011010101000010010001000010100000100000001000,11,1,0,8.634
0,00011001000001100010011001000001010000101110100000100000000111000011010100010000,00001000101011000011101000001101000101111100001010011000011011000110000010011000,9,2,0,11.499
0,10110000101001000011000001001000000111100001011000100000110000000000100000110000,01010011011110011011010000000001111000000001101010001100010111000000000000110000,18,9,0,0.192
0,10001000101011100001000101000100010100110000000110000010010001000010110001010000,01000100011000111101100010100111001010000111101000011001000011010100100000100000,8,1,0,0.733
0,00001100000000001000110111001101110000010101000000011000000011000000001100000001,,20,11,0,25.902
0,10000000001001100010100100001100001000010100011110000000111000000100000010010010,,15,6,0,29.509
0,11010010000101000110111000001111000000000100000001000000000010100000001000000010,10000100101010011001000000000001000000011100000010110000001111011001101101001000,22,11,0,7.998
0,10001000101011100011000100000100010101100100001010000010010001000010010001101000,01000100011100011101100000101011101011000101000010001001001111010000100001011000,7,1,0,1.066
0,00000001100010100000001100000101100000001111100011110000100001000000010000011101,,18,11,0,30.262
0,00110100000001100000011111000011110100011100000000010000110000000110000000000000,,18,9,0,33.608
0,00000010001001001010011001000001110000101110111000100000100101000110010100010000,,7,2,0,22.415
0,00011110001101000010011101000001010000001110100000110000010101000111010100010000,,6,3,0,19.748
0,10001000001011100011100100001100010001110100001010000000010001000000010000001000,00000100111101011101110000110111100010000101000010001000000110101000100001001000,9,0,0,0.076
0,00000000000000000000000000000000000101000000010110001011011100110010000010000001,,24,8,0,38.27
0,01001000000111100001001000100011100000001000100000000000100101000111010000010001,,15,6,0,28.004
0,10010010001101000010011001000000010000001110111000100000100111000011010100010000,01000101001100001111100000111111101110000001000000011001001011010100101011001000,7,2,0,2.328
0,10001000001011100011100000000000000101110000011110000010111000000010010001000000,00000100011110011101000000001011101010100111110000011101000010110000000000001010,10,2,0,8.41
0,00000010001101000010001001000001010000001000001000100000100110000011010000010000,10000110001101001101100000101110000010001101000000001001000011011000100000001000,13,0,0,1.91
0,00000000000000000000000000000000000001000000000110000000011000000000000001100000,,26,1,0,48.534
0,00000000000000000000000000000001000011110000001111000000011100000001100000000000,,23,5,0,39.861
0,00010001101001100000000000000000011000000000001100011110010011000000000000011000,00001110001100101001011110010000010011000001100000000000001110011000000001001110,20,7,0,1.115
0,00000000000001000010110001000001110000101110010000011001010101000010000110001000,,16,7,0,34.352
0,01000000001000011000101010000001111010000111101011100011010001000011010000000001,,17,13,0,29.968
0,00000010000100000000001001000001010000001110101000100000000111000011010100010001,11000100011100101101101000001111101110000101000010001101000011000000000000001000,11,0,0,25.745
0,01101011000111100000011101100011111000101000101000010000100100000001010000010000,,12,9,0,25.142
0,10001000101001100001100100000100000101110100000010000010001001000010110000000000,11000100001000011011111000100111101000000110000010010001000111110000100000000000,10,0,0,26.713
0,00000001100110100100001100000100100000000111000001110000110010000000000100010001,,20,10,0,37.012
0,00010010001101000010000001001001010000001100001000100000100111000001010100010000,01000100111100001111100000100011000010000101000010000001001011011000100101001000,11,1,0,2.038
0,00011000110111101001000000000000001101100000000110001110011011000001000000001100,00001000111111101001001000000000001101110000001110001110011011010101000000001101,16,10,0,7.134
0,00001001000110100100001101100001100000000100110000100000000011000011010000010000,,17,7,0,29.961
