node,origami_data,decoded_stream,false_negatives,false_positives,success,decoding_time
2,10010001111001011011000111111000111000111000010000100001000001100000010110000101,11100010111111101001011111100111000111000000100011000110001110100001101010000110,9,6,0,0.682
2,00110001111000011001000110010001000000011000010000100001000000100001110010001110,11100011011001100011011001100010000011100000100001000010000111100001000111000101,13,3,0,1.274
2,00110001101000000100000000001100001000011100000100001011000001011110010101001001,01101111001010000001110000000010000100010011000011000011010010011111101001011010,11,1,0,13.188
2,00110001101000000110000000001100001000011100000110011111000011110110011111001001,10010011111001101111000011111001110010111000010000110000000011110000101110001101,7,4,0,18.977
2,10110011001000011001000110010001100000111000010000100001000000100000010100111000,00111011011001110001001001101111000001100000100011000010000110000111000000110010,11,1,0,5.24
2,00010001001000000100000010001000000000011000000110001011100010001000010101000101,01011001011000100001001011100010010001101000011001000010001010001001000001000100,15,0,0,0.79
2,00100000101000000110000010010000001000011000000100000000100011011010011111001100,11110011001101111101000001100010000001000000110101000010011110000101100010000010,14,2,0,11.021
2,00110010010001000010000111011001100001110000010000110000000001100000010110011000,,13,3,0,29.815
2,00110000001000000010000010001100001000011000000010011111100011010000010110001101,11100011011101000001011110100010000100100100100101000010001110000100100111001000,13,3,0,2.015
2,00110011110000011011000101010001000000111000010000010011000000000000010110101100,,11,2,0,31.614
2,00110001111001011001000111010000100000101000010000100001000000100000000110000000,,13,0,0,21.571
2,00110101101000000100000010000100001000001100000110001010100001111110011111101001,,8,3,0,22.894
2,00100001000000000100000010000100000000001000000110001011100010000010000000000000,00000000001000001001001011100010000001100000001000010110010110000001000010000100,22,0,0,18.14
2,00110001001000000100000010001000000000011100000100000111100010011000010101001001,01010010011101101111000110100011000011000000000011000010001011000001000011000100,14,1,0,10.368
2,00000001000000000100111110001000011000011101000110001010100011011010011111001101,,10,6,0,25.139
2,00100011011000011001000110010001100000110000110000111001010100110000000110001100,,11,4,0,20.44
2,00111001101000000100000010001100001000011100000100001001100001011010010101001101,,8,0,0,22.335
2,00110000010000001010000111010001100000111000010000011001000000100000010110001100,,13,1,0,30.008
2,00111111101000000110000010001100001000001100000010001011000011001010011110001101,11100111011110101001001011001011001000100000100010000010001110000101100011111100,8,3,0,13.081
2,00010001000000000100000010000100001000011100000110000011100010011010011111001001,,11,0,0,29.593
2,00110001101000000100000000001100001001111100000110001000010000001010000011001101,,14,3,0,33.954
2,00110001001000000100000000001000001000011100000110001001100011011000011011000101,10110111011101100011010001100011100001100000100001000000001010100001100011000100,11,0,0,10.325
2,00110001001000000100000010001100001000011100000100001010000001001010001101011001,,12,0,0,31.123
2,00110001001000001100000010011100001000111100000110000011100011011010011101001001,11010010011111101001010011100011000001100000110111000010011110001111000011100100,7,2,0,0.534
2,10110011110001011000000101010001100000101100010000110001000000100000010110000000,,11,1,0,30.091
2,00100001101000000100000010001100000000011100000100001010100001110010011111000001,,11,0,0,33.849
2,01111001001011001000100000001100001000010000000110111001100001111000011011001100,,11,6,0,22.541
2,00111001101000000000000010001100001000011100000110000011000001011010010010001001,00100011011101101001000011000011000001100000100011001000001110100001000011100110,11,0,0,8.052
2,00010001101000000100000010000100000000011100000110001011100011011000011110001101,11100011011101101001001011101011100001111000000001000010000110110011000001000110,9,0,0,2.033
2,00110001101000000100000000001100001100001100000110001011100011111011011111001101,,5,2,0,23.639
2,00000001000000001100011000100111101000011000100100001011100011111010001111001101,,11,7,0,18.615
2,10110011011000001011000101010000100000010000010000110001000000000000010110011100,01110011011101000001101010100010000001000000100000000010011111001100000011100110,11,0,0,3.314
2,00111001001000000000100000001000001000011000000100000001100001100001011111001100,,15,2,0,37.711
2,10010011110011011011000101010000100000101000000000100001000000100000010110001000,11110010011101111101001110000001000001000001000001010010000110010011000001000110,12,1,0,4.074
